name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
kMRCD,0.965,0.882352941176471,0.75,0.988888888888889,0.810810810810811,0.864301681661421
kMRCD,0.97,0.875,0.816666666666667,0.987037037037037,0.844827586206897,0.907467280097983
kMRCD,0.946666666666667,0.85,0.566666666666667,0.988888888888889,0.68,0.866363713239614
kMRCD,0.926666666666667,0.722222222222222,0.433333333333333,0.981481481481482,0.541666666666667,0.763531132260382
kMRCD,0.956666666666667,0.84,0.7,0.985185185185185,0.763636363636364,0.783208813263572
lof,0.64,0.0666666666666667,0.2,0.688888888888889,0.1,0.0926585165431072
lof,0.633333333333333,0.0555555555555556,0.166666666666667,0.685185185185185,0.0833333333333333,0.0771037205967472
lof,0.653333333333333,0.0888888888888889,0.266666666666667,0.696296296296296,0.133333333333333,0.0958475711250741
lof,0.626666666666667,0.0444444444444444,0.133333333333333,0.681481481481481,0.0666666666666667,0.0789631037788698
lof,0.63,0.05,0.15,0.683333333333333,0.075,0.0887414171153479
iforest,0.72,0.196629213483146,0.583333333333333,0.735185185185185,0.294117647058824,0.187123404870681
iforest,0.721666666666667,0.201117318435754,0.6,0.735185185185185,0.301255230125523,0.180839438301476
iforest,0.74,0.233333333333333,0.7,0.744444444444444,0.35,0.267364692583159
iforest,0.728333333333333,0.205714285714286,0.6,0.742592592592593,0.306382978723404,0.16638749551988
iforest,0.728333333333333,0.209039548022599,0.616666666666667,0.740740740740741,0.312236286919831,0.196810614391855
robustcov,0.9,NaN,0,1,0,0
robustcov,0.9,NaN,0,1,0,0
robustcov,0.9,NaN,0,1,0,0
robustcov,0.9,NaN,0,1,0,0
robustcov,0.9,NaN,0,1,0,0
