accuracy,precision,sensitivity,specificity,f1Score,aucpr,name,iteration
0.906666666666667,1,0.0666666666666667,1,0.125,0.0682073751371502,Linear,1
0.923333333333333,0.888888888888889,0.266666666666667,0.996296296296296,0.41025641025641,0.323778177912062,RBF,1
0.9,NaN,0,1,0,0.11813420572605,Dirac,1
0.901666666666667,1,0.0166666666666667,1,0.0327868852459016,0.118146607148272,k1,1
0.78,0.3,0.9,0.766666666666667,0.45,0.0218539758466651,Aitchison-Aitken,1
0.78,0.3,0.9,0.766666666666667,0.45,0.0115061866059312,Li-Racin,1
0.9,NaN,0,1,0,0.0188228829159235,Ordered Aitchison-Aitken,1
0.78,0.3,0.9,0.766666666666667,0.45,0.0124054498347635,Ordered Li-Racin,1
0.78,0.3,0.9,0.766666666666667,0.45,0.0213362705847723,Wang-Ryzin,1
0.901666666666667,1,0.0166666666666667,1,0.0327868852459016,0.0688173416446581,m3,1
0.973333333333333,0.823529411764706,0.933333333333333,0.977777777777778,0.875,0.904065197575826,SSK,1
0.905,1,0.05,1,0.0952380952380952,0.0849788013119383,Linear,2
0.906666666666667,1,0.0666666666666667,1,0.125,0.150570430544467,RBF,2
0.9,NaN,0,1,0,0.152154634475392,Dirac,2
0.9,NaN,0,1,0,0.15217338197876,k1,2
0.78,0.3,0.9,0.766666666666667,0.45,0.0135772821855472,Aitchison-Aitken,2
0.78,0.3,0.9,0.766666666666667,0.45,0.0165287760669283,Li-Racin,2
0.78,0.3,0.9,0.766666666666667,0.45,0.0128869419591313,Ordered Aitchison-Aitken,2
0.78,0.3,0.9,0.766666666666667,0.45,0.0208618272537913,Ordered Li-Racin,2
0.78,0.3,0.9,0.766666666666667,0.45,0.0153458317581457,Wang-Ryzin,2
0.9,NaN,0,1,0,0.0699172966932227,m3,2
0.955,0.714285714285714,0.916666666666667,0.959259259259259,0.802919708029197,0.902841215727726,SSK,2
0.913333333333333,1,0.133333333333333,1,0.235294117647059,0.150773455831392,Linear,3
0.926666666666667,0.722222222222222,0.433333333333333,0.981481481481482,0.541666666666667,0.513181551070784,RBF,3
0.9,NaN,0,1,0,0.0851393485305675,Dirac,3
0.9,NaN,0,1,0,0.0851436225745834,k1,3
0.79,0.316666666666667,0.95,0.772222222222222,0.475,0.00644157848627693,Aitchison-Aitken,3
0.793333333333333,0.322222222222222,0.966666666666667,0.774074074074074,0.483333333333333,0.00477904251627287,Li-Racin,3
0.793333333333333,0.322222222222222,0.966666666666667,0.774074074074074,0.483333333333333,0.00605199033276597,Ordered Aitchison-Aitken,3
0.793333333333333,0.322222222222222,0.966666666666667,0.774074074074074,0.483333333333333,0.00699092180373215,Ordered Li-Racin,3
0.793333333333333,0.322222222222222,0.966666666666667,0.774074074074074,0.483333333333333,0.00435533961832424,Wang-Ryzin,3
0.9,NaN,0,1,0,0.051911109198468,m3,3
0.976666666666667,0.848484848484849,0.933333333333333,0.981481481481482,0.888888888888889,0.92544608622539,SSK,3
0.908333333333333,1,0.0833333333333333,1,0.153846153846154,0.0513841342682402,Linear,4
0.913333333333333,0.722222222222222,0.216666666666667,0.990740740740741,0.333333333333333,0.223600122602308,RBF,4
0.9,NaN,0,1,0,0.0531245420004465,Dirac,4
0.9,NaN,0,1,0,0.0568793562317832,k1,4
0.79,0.316666666666667,0.95,0.772222222222222,0.475,0.00882723864093184,Aitchison-Aitken,4
0.786666666666667,0.311111111111111,0.933333333333333,0.77037037037037,0.466666666666667,0.0113430154485885,Li-Racin,4
0.79,0.316666666666667,0.95,0.772222222222222,0.475,0.00872493248437602,Ordered Aitchison-Aitken,4
0.786666666666667,0.311111111111111,0.933333333333333,0.77037037037037,0.466666666666667,0.0130419843318214,Ordered Li-Racin,4
0.79,0.316666666666667,0.95,0.772222222222222,0.475,0.00848431999713727,Wang-Ryzin,4
0.9,NaN,0,1,0,0.0534014761817256,m3,4
0.958333333333333,0.727272727272727,0.933333333333333,0.961111111111111,0.817518248175182,0.849363190981665,SSK,4
0.906666666666667,1,0.0666666666666667,1,0.125,0.0515217002556051,Linear,5
0.925,0.941176470588235,0.266666666666667,0.998148148148148,0.415584415584416,0.287639438368072,RBF,5
0.9,NaN,0,1,0,0.0559997275256795,Dirac,5
0.9,NaN,0,1,0,0.060859245930554,k1,5
0.79,0.316666666666667,0.95,0.772222222222222,0.475,0.0103268527780462,Aitchison-Aitken,5
0.79,0.316666666666667,0.95,0.772222222222222,0.475,0.00853624777730602,Li-Racin,5
0.79,0.316666666666667,0.95,0.772222222222222,0.475,0.0107760502640035,Ordered Aitchison-Aitken,5
0.79,0.316666666666667,0.95,0.772222222222222,0.475,0.00754935383049013,Ordered Li-Racin,5
0.786666666666667,0.311111111111111,0.933333333333333,0.77037037037037,0.466666666666667,0.00914643423159049,Wang-Ryzin,5
0.9,NaN,0,1,0,0.0559987166183517,m3,5
0.961666666666667,0.746666666666667,0.933333333333333,0.964814814814815,0.82962962962963,0.828904926635659,SSK,5
0.91,1,0.1,1,0.181818181818182,0.22170752631778,Linear,6
0.915,0.8,0.2,0.994444444444444,0.32,0.227765521511851,RBF,6
0.9,NaN,0,1,0,0.0769672744437887,Dirac,6
0.9,NaN,0,1,0,0.112670642581724,k1,6
0.783333333333333,0.305555555555556,0.916666666666667,0.768518518518518,0.458333333333333,0.014833374197695,Aitchison-Aitken,6
0.786666666666667,0.311111111111111,0.933333333333333,0.77037037037037,0.466666666666667,0.0105687332591422,Li-Racin,6
0.786666666666667,0.311111111111111,0.933333333333333,0.77037037037037,0.466666666666667,0.00930459649559049,Ordered Aitchison-Aitken,6
0.783333333333333,0.305555555555556,0.916666666666667,0.768518518518518,0.458333333333333,0.0124608928695204,Ordered Li-Racin,6
0.783333333333333,0.305555555555556,0.916666666666667,0.768518518518518,0.458333333333333,0.0147367738986427,Wang-Ryzin,6
0.9,NaN,0,1,0,0.0519667036186042,m3,6
0.95,0.682926829268293,0.933333333333333,0.951851851851852,0.788732394366197,0.856765521548237,SSK,6
0.915,1,0.15,1,0.260869565217391,0.21660785736409,Linear,7
0.93,0.95,0.316666666666667,0.998148148148148,0.475,0.464779251798297,RBF,7
0.9,NaN,0,1,0,0.102916040608679,Dirac,7
0.9,NaN,0,1,0,0.103131404830024,k1,7
0.773333333333333,0.288888888888889,0.866666666666667,0.762962962962963,0.433333333333333,0.0192832415446102,Aitchison-Aitken,7
