accuracy,precision,sensitivity,specificity,f1Score,aucpr,name,iteration
0.998333333333333,0.983606557377049,1,0.998148148148148,0.991735537190083,0.983333333333333,Linear,1
0.963333333333333,0.731707317073171,1,0.959259259259259,0.845070422535211,0.983333333333333,RBF,1
0.8,0.333333333333333,1,0.777777777777778,0.5,0.978599532642817,Dirac,1
0.8,0.333333333333333,1,0.777777777777778,0.5,0.977909743807108,k1,1
0.8,0.333333333333333,1,0.777777777777778,0.5,0.978556571021596,m3,1
0.663333333333333,0.105555555555556,0.316666666666667,0.701851851851852,0.158333333333333,0.0669491085679156,Aitchison-Aitken,1
0.66,0.1,0.3,0.7,0.15,0.0692240639111819,Li-Racin,1
0.888333333333333,0.230769230769231,0.05,0.981481481481482,0.0821917808219178,0.191774535507123,SSK,1
0.655,0.0939226519337017,0.283333333333333,0.696296296296296,0.141078838174274,0.0635707864325241,Ordered Aitchison-Aitken,1
0.646666666666667,0.0777777777777778,0.233333333333333,0.692592592592593,0.116666666666667,0.0658537630238254,Ordered Li-Racin,1
0.65,0.0833333333333333,0.25,0.694444444444444,0.125,0.0737538822543046,Wang-Ryzin,1
0.993333333333333,0.9375,1,0.992592592592593,0.967741935483871,0.983333333333333,Linear,2
0.973333333333333,0.789473684210526,1,0.97037037037037,0.882352941176471,0.983333333333333,RBF,2
0.8,0.333333333333333,1,0.777777777777778,0.5,0.977408547992584,Dirac,2
0.8,0.333333333333333,1,0.777777777777778,0.5,0.975713870023606,k1,2
0.8,0.333333333333333,1,0.777777777777778,0.5,0.969913375364315,m3,2
0.663333333333333,0.105555555555556,0.316666666666667,0.701851851851852,0.158333333333333,0.0760024048137182,Aitchison-Aitken,2
0.64,0.0666666666666667,0.2,0.688888888888889,0.1,0.0770533776967227,Li-Racin,2
0.876666666666667,0.15,0.05,0.968518518518519,0.075,0.183472399613454,SSK,2
0.653333333333333,0.0888888888888889,0.266666666666667,0.696296296296296,0.133333333333333,0.0650850126566724,Ordered Aitchison-Aitken,2
0.653333333333333,0.0888888888888889,0.266666666666667,0.696296296296296,0.133333333333333,0.0752350819752252,Ordered Li-Racin,2
0.683333333333333,0.138888888888889,0.416666666666667,0.712962962962963,0.208333333333333,0.060017924103526,Wang-Ryzin,2
0.996666666666667,0.967741935483871,1,0.996296296296296,0.983606557377049,0.983333333333333,Linear,3
0.938333333333333,0.618556701030928,1,0.931481481481481,0.764331210191083,0.981526394979785,RBF,3
0.8,0.333333333333333,1,0.777777777777778,0.5,0.973958260242491,Dirac,3
0.8,0.333333333333333,1,0.777777777777778,0.5,0.972702795387024,k1,3
0.8,0.333333333333333,1,0.777777777777778,0.5,0.969566112518233,m3,3
0.65,0.0833333333333333,0.25,0.694444444444444,0.125,0.0645324172498151,Aitchison-Aitken,3
0.656666666666667,0.0944444444444444,0.283333333333333,0.698148148148148,0.141666666666667,0.069055084841298,Li-Racin,3
0.883333333333333,0.1875,0.05,0.975925925925926,0.0789473684210526,0.169218055257416,SSK,3
0.68,0.133333333333333,0.4,0.711111111111111,0.2,0.0613039104655989,Ordered Aitchison-Aitken,3
0.646666666666667,0.0777777777777778,0.233333333333333,0.692592592592593,0.116666666666667,0.0728277799109369,Ordered Li-Racin,3
0.676666666666667,0.127777777777778,0.383333333333333,0.709259259259259,0.191666666666667,0.0703650829208688,Wang-Ryzin,3
0.99,0.909090909090909,1,0.988888888888889,0.952380952380952,0.983333333333333,Linear,4
0.931666666666667,0.594059405940594,1,0.924074074074074,0.745341614906832,0.972113579221933,RBF,4
