accuracy,precision,sensitivity,specificity,f1Score,aucpr,name,iteration
0.8,0.5,0.05,0.9875,0.0909090909090909,0.307540571674934,kMRCD,1
0.69,0.316666666666667,0.475,0.74375,0.38,0.295907671345538,lof,1
0.669,0.277966101694915,0.41,0.73375,0.331313131313131,0.267142028618275,iforest,1
0.8,NaN,0,1,0,0,robustcov,1
0.781,0.297872340425532,0.07,0.95875,0.11336032388664,0.261456045737214,kMRCD,2
0.658,0.263333333333333,0.395,0.72375,0.316,0.26417156261542,lof,2
0.642,0.23489932885906,0.35,0.715,0.281124497991968,0.251300443870154,iforest,2
0.8,NaN,0,1,0,0,robustcov,2
0.786,0.294117647058824,0.05,0.97,0.0854700854700855,0.274707619822135,kMRCD,3
0.652,0.253333333333333,0.38,0.72,0.304,0.262885073739052,lof,3
0.667,0.277591973244147,0.415,0.73,0.332665330661323,0.273631154539741,iforest,3
0.8,NaN,0,1,0,0,robustcov,3
0.794,0.3125,0.025,0.98625,0.0462962962962963,0.256408432634102,kMRCD,4
0.676,0.293333333333333,0.44,0.735,0.352,0.268478193593586,lof,4
0.676,0.293333333333333,0.44,0.735,0.352,0.285955774847022,iforest,4
0.8,NaN,0,1,0,0,robustcov,4
0.789,0.333333333333333,0.055,0.9725,0.0944206008583691,0.26299286167893,kMRCD,5
0.658,0.263333333333333,0.395,0.72375,0.316,0.245963377870207,lof,5
0.658,0.260135135135135,0.385,0.72625,0.310483870967742,0.232148711656073,iforest,5
0.8,NaN,0,1,0,0,robustcov,5
0.806,0.59375,0.095,0.98375,0.163793103448276,0.373101489995618,kMRCD,6
0.68,0.3,0.45,0.7375,0.36,0.32098992450966,lof,6
0.686,0.308724832214765,0.46,0.7425,0.369477911646586,0.331955881905036,iforest,6
0.8,NaN,0,1,0,0,robustcov,6
0.785,0.363636363636364,0.1,0.95625,0.156862745098039,0.293879800570802,kMRCD,7
0.684,0.306666666666667,0.46,0.74,0.368,0.285399645311835,lof,7
0.687,0.308474576271186,0.455,0.745,0.367676767676768,0.275528233918982,iforest,7
0.8,NaN,0,1,0,0,robustcov,7
0.791,0.418181818181818,0.115,0.96,0.180392156862745,0.270722480587904,kMRCD,8
0.668,0.28,0.42,0.73,0.336,0.25833427277057,lof,8
0.654,0.256666666666667,0.385,0.72125,0.308,0.258696332408606,iforest,8
0.8,NaN,0,1,0,0,robustcov,8
0.785,0.340425531914894,0.08,0.96125,0.129554655870445,0.27696923643756,kMRCD,9
0.668,0.28,0.42,0.73,0.336,0.27185212862048,lof,9
0.664,0.273333333333333,0.41,0.7275,0.328,0.260666434515866,iforest,9
0.8,NaN,0,1,0,0,robustcov,9
0.786,0.266666666666667,0.04,0.9725,0.0695652173913043,0.259647995564477,kMRCD,10
0.652,0.253333333333333,0.38,0.72,0.304,0.238872183810815,lof,10
0.654,0.251700680272109,0.37,0.725,0.299595141700405,0.236341538947514,iforest,10
0.8,NaN,0,1,0,0,robustcov,10
0.787,0.324324324324324,0.06,0.96875,0.10126582278481,0.28072081671953,kMRCD,11
0.662,0.27,0.405,0.72625,0.324,0.267623021149533,lof,11
0.659,0.264214046822742,0.395,0.725,0.316633266533066,0.267257785261589,iforest,11
0.8,NaN,0,1,0,0,robustcov,11
0.783,0.27027027027027,0.05,0.96625,0.0843881856540084,0.270574065321054,kMRCD,12
0.682,0.303333333333333,0.455,0.73875,0.364,0.286833449134416,lof,12
0.666,0.275167785234899,0.41,0.73,0.329317269076305,0.269119618370852,iforest,12
0.8,NaN,0,1,0,0,robustcov,12
0.775,0.264150943396226,0.07,0.95125,0.110671936758893,0.251986516930831,kMRCD,13
0.658,0.263333333333333,0.395,0.72375,0.316,0.252819259209985,lof,13
0.638,0.228187919463087,0.34,0.7125,0.273092369477912,0.232231527903172,iforest,13
0.8,NaN,0,1,0,0,robustcov,13
0.77,0.333333333333333,0.15,0.925,0.206896551724138,0.25770778424838,kMRCD,14
0.666,0.276666666666667,0.415,0.72875,0.332,0.267142365498597,lof,14
0.659,0.264214046822742,0.395,0.725,0.316633266533066,0.271746223197082,iforest,14
0.8,NaN,0,1,0,0,robustcov,14
0.788,0.40625,0.13,0.9525,0.196969696969697,0.291407063517856,kMRCD,15
0.68,0.3,0.45,0.7375,0.36,0.294523729702486,lof,15
0.665,0.274247491638796,0.41,0.72875,0.328657314629259,0.28013131134628,iforest,15
0.8,NaN,0,1,0,0,robustcov,15
0.796,0.375,0.03,0.9875,0.0555555555555556,0.287110710589278,kMRCD,16
0.66,0.266666666666667,0.4,0.725,0.32,0.253804333258145,lof,16
0.655,0.25752508361204,0.385,0.7225,0.308617234468938,0.258193138976244,iforest,16
0.8,NaN,0,1,0,0,robustcov,16
