kernel,accuracy,precision,sensitivity,specificity,f1Score,aucpr,iteration
Linear,0.802,1,0.01,1,0.0198019801980198,0.276743720226897,1
RBF,0.8,NaN,0,1,0,0.289363872631314,1
Dirac,0.804,1,0.02,1,0.0392156862745098,0.337545395538725,1
k1,0.808,1,0.04,1,0.0769230769230769,0.333514639496321,1
m3,0.804,0.6,0.06,0.99,0.109090909090909,0.326668090820151,1
Aitchison-Aitken,0.8,NaN,0,1,0,0.0988283875437112,1
Li-Racin,0.504,0.204,0.51,0.5025,0.291428571428571,0.099483451216143,1
Wang-Ryzin,0.8,NaN,0,1,0,0.104408223639858,1
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.0993900686248526,1
Ordered Li-Racin,0.508,0.208,0.52,0.505,0.297142857142857,0.0993477270606392,1
Linear,0.8,NaN,0,1,0,0.257566865569242,2
RBF,0.8,NaN,0,1,0,0.268735995128434,2
Dirac,0.8,NaN,0,1,0,0.231556049337763,2
k1,0.802,1,0.01,1,0.0198019801980198,0.2328088815512,2
m3,0.796,0.25,0.01,0.9925,0.0192307692307692,0.261611401447032,2
Aitchison-Aitken,0.8,NaN,0,1,0,0.0996388161176557,2
Li-Racin,0.492,0.192,0.48,0.495,0.274285714285714,0.101344921808578,2
Wang-Ryzin,0.8,NaN,0,1,0,0.107275534063127,2
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.110208868540104,2
Ordered Li-Racin,0.48,0.18,0.45,0.4875,0.257142857142857,0.110485344473295,2
Linear,0.8,NaN,0,1,0,0.218471577046078,3
RBF,0.8,NaN,0,1,0,0.247837309443568,3
Dirac,0.798,0,0,0.9975,0,0.264301524094544,3
k1,0.798,0,0,0.9975,0,0.268271516738248,3
m3,0.804,0.75,0.03,0.9975,0.0576923076923077,0.261343662817605,3
Aitchison-Aitken,0.472,0.172,0.43,0.4825,0.245714285714286,0.108114903454876,3
Li-Racin,0.496,0.196,0.49,0.4975,0.28,0.101064456358185,3
Wang-Ryzin,0.8,NaN,0,1,0,0.0976626343857898,3
Ordered Aitchison-Aitken,0.484,0.184,0.46,0.49,0.262857142857143,0.106433009524451,3
Ordered Li-Racin,0.488,0.188,0.47,0.4925,0.268571428571429,0.103909792249766,3
Linear,0.8,NaN,0,1,0,0.23878498472315,4
RBF,0.8,NaN,0,1,0,0.252532597878338,4
Dirac,0.802,1,0.01,1,0.0198019801980198,0.241917103344557,4
k1,0.802,1,0.01,1,0.0198019801980198,0.236157857773691,4
m3,0.796,0.25,0.01,0.9925,0.0192307692307692,0.234807598925251,4
Aitchison-Aitken,0.48,0.18,0.45,0.4875,0.257142857142857,0.1080180684852,4
Li-Racin,0.484,0.184,0.46,0.49,0.262857142857143,0.102849552134861,4
Wang-Ryzin,0.8,NaN,0,1,0,0.106027921535596,4
Ordered Aitchison-Aitken,0.464,0.164,0.41,0.4775,0.234285714285714,0.115835453633753,4
Ordered Li-Racin,0.476,0.176,0.44,0.485,0.251428571428571,0.112431789283425,4
Linear,0.802,1,0.01,1,0.0198019801980198,0.333433526030088,5
RBF,0.8,NaN,0,1,0,0.292293133658268,5
Dirac,0.8,NaN,0,1,0,0.277483768377991,5
k1,0.8,NaN,0,1,0,0.283154451444561,5
m3,0.788,0,0,0.985,0,0.275919161151075,5
Aitchison-Aitken,0.8,NaN,0,1,0,0.099029127290002,5
Li-Racin,0.492,0.192,0.48,0.495,0.274285714285714,0.0967654946780691,5
Wang-Ryzin,0.8,NaN,0,1,0,0.0963797474938856,5
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.104413279734654,5
Ordered Li-Racin,0.512,0.212,0.53,0.5075,0.302857142857143,0.100615652082179,5
Linear,0.8,NaN,0,1,0,0.253446782629863,6
RBF,0.8,NaN,0,1,0,0.289650875180855,6
Dirac,0.8,NaN,0,1,0,0.26734511046179,6
k1,0.8,NaN,0,1,0,0.263494692110285,6
m3,0.794,0.285714285714286,0.02,0.9875,0.0373831775700935,0.297475844166454,6
Aitchison-Aitken,0.8,NaN,0,1,0,0.102100127463692,6
Li-Racin,0.48,0.18,0.45,0.4875,0.257142857142857,0.104050510421122,6
Wang-Ryzin,0.8,NaN,0,1,0,0.101054014015566,6
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.104376738652327,6
Ordered Li-Racin,0.496,0.196,0.49,0.4975,0.28,0.103205723729485,6
Linear,0.796,0,0,0.995,0,0.229490595573651,7
RBF,0.8,NaN,0,1,0,0.244833399338385,7
Dirac,0.8,NaN,0,1,0,0.258720159412048,7
k1,0.8,NaN,0,1,0,0.266412351295739,7
m3,0.798,0.428571428571429,0.03,0.99,0.0560747663551402,0.270188188124312,7
Aitchison-Aitken,0.46,0.16,0.4,0.475,0.228571428571429,0.113057010584675,7
Li-Racin,0.488,0.188,0.47,0.4925,0.268571428571429,0.101616814065519,7
Wang-Ryzin,0.8,NaN,0,1,0,0.103065514964454,7
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.106074752813586,7
Ordered Li-Racin,0.48,0.18,0.45,0.4875,0.257142857142857,0.110605171926167,7
Linear,0.804,1,0.02,1,0.0392156862745098,0.311153741778032,8
RBF,0.8,NaN,0,1,0,0.309295841563335,8
Dirac,0.8,NaN,0,1,0,0.290020416604547,8
k1,0.798,0,0,0.9975,0,0.296699695635981,8
m3,0.798,0.333333333333333,0.01,0.995,0.0194174757281553,0.317734448746814,8
Aitchison-Aitken,0.8,NaN,0,1,0,0.102292024489451,8
Li-Racin,0.484,0.184,0.46,0.49,0.262857142857143,0.104611381085314,8
Wang-Ryzin,0.8,NaN,0,1,0,0.103273869978115,8
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.109981131702619,8
Ordered Li-Racin,0.52,0.22,0.55,0.5125,0.314285714285714,0.0922604393918102,8
Linear,0.8,NaN,0,1,0,0.292744579071201,9
RBF,0.8,NaN,0,1,0,0.267646660414739,9
Dirac,0.8,NaN,0,1,0,0.221373501187673,9
k1,0.8,NaN,0,1,0,0.213739887520302,9
m3,0.796,0.4,0.04,0.985,0.0727272727272727,0.202661058107141,9
Aitchison-Aitken,0.8,NaN,0,1,0,0.103505847009576,9
Li-Racin,0.472,0.172,0.43,0.4825,0.245714285714286,0.108475625074335,9
Wang-Ryzin,0.8,NaN,0,1,0,0.0941415351762075,9
Ordered Aitchison-Aitken,0.436,0.136,0.34,0.46,0.194285714285714,0.114176295257504,9
Ordered Li-Racin,0.476,0.176,0.44,0.485,0.251428571428571,0.110703379602772,9
Linear,0.822,1,0.11,1,0.198198198198198,0.961136101905421,10
RBF,0.8,NaN,0,1,0,0.458033354093746,10
Dirac,0.8,NaN,0,1,0,0.379769409174286,10
k1,0.8,NaN,0,1,0,0.357058690358236,10
m3,0.804,0.583333333333333,0.07,0.9875,0.125,0.375275870228542,10
Aitchison-Aitken,0.8,NaN,0,1,0,0.0936632815288828,10
Li-Racin,0.5,0.2,0.5,0.5,0.285714285714286,0.10256416177637,10
Wang-Ryzin,0.8,NaN,0,1,0,0.109346323585098,10
Ordered Aitchison-Aitken,0.496,0.196,0.49,0.4975,0.28,0.109308376677697,10
Ordered Li-Racin,0.5,0.2,0.5,0.5,0.285714285714286,0.106256391540143,10
Linear,0.802,1,0.01,1,0.0198019801980198,0.297257594647853,11
RBF,0.8,NaN,0,1,0,0.335269035801417,11
Dirac,0.798,0.333333333333333,0.01,0.995,0.0194174757281553,0.281404773125253,11
k1,0.798,0.4,0.02,0.9925,0.0380952380952381,0.277028325317258,11
m3,0.798,0.444444444444444,0.04,0.9875,0.073394495412844,0.272934529625693,11
Aitchison-Aitken,0.8,NaN,0,1,0,0.0941734886735146,11
Li-Racin,0.52,0.22,0.55,0.5125,0.314285714285714,0.0918761106058987,11
Wang-Ryzin,0.8,NaN,0,1,0,0.0902960169709155,11
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.102714099422917,11
Ordered Li-Racin,0.504,0.204,0.51,0.5025,0.291428571428571,0.103795646974266,11
Linear,0.8,NaN,0,1,0,0.254535278435344,12
RBF,0.8,NaN,0,1,0,0.251198227343125,12
