accuracy,precision,sensitivity,specificity,f1Score,aucpr,name,iteration
0.902,0.505102040816326,0.99,0.892222222222222,0.668918918918919,0.910796697062124,kMRCD,1
0.67,0.04,0.1,0.733333333333333,0.0571428571428571,0.062050604386274,lof,1
0.749,0.194331983805668,0.48,0.778888888888889,0.276657060518732,0.168843502278217,iforest,1
0.892,0.480769230769231,1,0.88,0.649350649350649,0.916218427441115,kMRCD,2
0.66,0.02,0.05,0.727777777777778,0.0285714285714286,0.0594658592258966,lof,2
0.751,0.198380566801619,0.49,0.78,0.282420749279539,0.195901706319326,iforest,2
0.873,0.436018957345972,0.92,0.867777777777778,0.591639871382637,0.405610203923172,kMRCD,3
0.656,0.012,0.03,0.725555555555556,0.0171428571428571,0.0554859779027542,lof,3
0.739,0.168724279835391,0.41,0.775555555555556,0.239067055393586,0.167641585793045,iforest,3
0.9,NaN,0,1,0,0.278089597658615,kMRCD,4
0.658,0.016,0.04,0.726666666666667,0.0228571428571429,0.0604783762472474,lof,4
0.715,0.1285140562249,0.32,0.758888888888889,0.183381088825215,0.125883800921463,iforest,4
0.799,0.201183431952663,0.34,0.85,0.252788104089219,0.220659159941618,kMRCD,5
0.656,0.012,0.03,0.725555555555556,0.0171428571428571,0.0572929867973582,lof,5
0.747,0.192771084337349,0.48,0.776666666666667,0.275071633237822,0.174054114859564,iforest,5
0.895,0.48780487804878,1,0.883333333333333,0.655737704918033,0.886044982553981,kMRCD,6
0.654,0.008,0.02,0.724444444444444,0.0114285714285714,0.0563927775122291,lof,6
0.71,0.116935483870968,0.29,0.756666666666667,0.166666666666667,0.119648793404109,iforest,6
0.813,0.317991631799163,0.76,0.818888888888889,0.448377581120944,0.186901036832796,kMRCD,7
0.66,0.02,0.05,0.727777777777778,0.0285714285714286,0.0606551022162425,lof,7
0.714,0.125,0.31,0.758888888888889,0.17816091954023,0.121883914987319,iforest,7
0.884,0.461538461538462,0.96,0.875555555555556,0.623376623376623,0.473586793236382,kMRCD,8
0.666,0.032,0.08,0.731111111111111,0.0457142857142857,0.0606363368549738,lof,8
0.794,0.288,0.72,0.802222222222222,0.411428571428571,0.257429106479582,iforest,8
0.871,0.434389140271493,0.96,0.861111111111111,0.598130841121495,0.627485989664563,kMRCD,9
0.662,0.024,0.06,0.728888888888889,0.0342857142857143,0.0588076088447732,lof,9
0.78,0.258064516129032,0.64,0.795555555555556,0.367816091954023,0.248626759250786,iforest,9
0.885,0.464454976303318,0.98,0.874444444444444,0.630225080385852,0.852768031715416,kMRCD,10
0.676,0.052,0.13,0.736666666666667,0.0742857142857143,0.0686282392365827,lof,10
0.758,0.211382113821138,0.52,0.784444444444444,0.300578034682081,0.195561782755429,iforest,10
0.786,0.233644859813084,0.5,0.817777777777778,0.318471337579618,0.146276866471402,kMRCD,11
0.668,0.036,0.09,0.732222222222222,0.0514285714285714,0.0600878061647768,lof,11
