e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,0.5,0,NaN,0.5,0,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.501,0,NaN,0.501,0,NaN
0,0.5,rrcforest,0.5,0,NaN,0.5,0,NaN
0,0.5,ocsvm,0.5,0,NaN,0.5,0,NaN
0,0.75,kMRCD,0.75,0,NaN,0.75,0,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.752,0,NaN,0.752,0,NaN
0,0.75,rrcforest,0.75,0,NaN,0.75,0,NaN
0,0.75,ocsvm,0.75,0,NaN,0.75,0,NaN
0,0.9,kMRCD,0.902,0,NaN,0.902,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.9,0,NaN,0.9,0,NaN
0,0.9,rrcforest,0.9,0,NaN,0.9,0,NaN
0,0.9,ocsvm,0.9,0,NaN,0.9,0,NaN
0.1,0.5,kMRCD,0.9,NaN,0,1,0,0.102074976259562
0.1,0.5,lof,0.43,0.03,0.15,0.461111111111111,0.05,0.0639601168622243
0.1,0.5,iforest,0.546,0.146,0.73,0.525555555555556,0.243333333333333,0.119356050081744
0.1,0.5,rrcforest,0.486,0.086,0.43,0.492222222222222,0.143333333333333,0.0891542730094201
0.1,0.5,ocsvm,0.566,0.166,0.83,0.536666666666667,0.276666666666667,0.135950457068866
0.1,0.75,kMRCD,0.803,0.29535864978903,0.7,0.814444444444444,0.415430267062315,0.195066513944991
0.1,0.75,lof,0.67,0.04,0.1,0.733333333333333,0.0571428571428571,0.0639601168622243
0.1,0.75,iforest,0.678,0.0524193548387097,0.13,0.738888888888889,0.0747126436781609,0.0774739821430828
0.1,0.75,rrcforest,0.702,0.104,0.26,0.751111111111111,0.148571428571429,0.106367748863579
0.1,0.75,ocsvm,0.726,0.152,0.38,0.764444444444444,0.217142857142857,0.13356164569184
0.1,0.9,kMRCD,0.871,0.325301204819277,0.27,0.937777777777778,0.295081967213115,0.164357504835577
0.1,0.9,lof,0.812,0.06,0.06,0.895555555555556,0.06,0.0639601168622243
0.1,0.9,iforest,0.803,0.0101010101010101,0.01,0.891111111111111,0.0100502512562814,0.113322252890342
0.1,0.9,rrcforest,0.818,0.09,0.09,0.898888888888889,0.09,0.0926891396996954
0.1,0.9,ocsvm,0.82,0.1,0.1,0.9,0.1,0.12546971537814
0.2,0.5,kMRCD,0.8,NaN,0,1,0,0.151023562210351
0.2,0.5,lof,0.374,0.074,0.185,0.42125,0.105714285714286,0.12529898886596
0.2,0.5,iforest,0.404,0.102409638554217,0.255,0.44125,0.146131805157593,0.135937298710997
0.2,0.5,rrcforest,0.409,0.108216432865731,0.27,0.44375,0.15450643776824,0.138276269216627
0.2,0.5,ocsvm,0.54,0.24,0.6,0.525,0.342857142857143,0.204835321791394
0.2,0.75,kMRCD,0.934,0.819047619047619,0.86,0.9525,0.839024390243902,0.63553403707444
0.2,0.75,lof,0.584,0.068,0.085,0.70875,0.0755555555555556,0.12529898886596
0.2,0.75,iforest,0.584,0.0645161290322581,0.08,0.71,0.0714285714285714,0.147093577367215
0.2,0.75,rrcforest,0.584,0.068,0.085,0.70875,0.0755555555555556,0.132489013052303
0.2,0.75,ocsvm,0.638,0.176,0.22,0.7425,0.195555555555556,0.210988007039426
0.2,0.9,kMRCD,0.766,0,0,0.9575,0,0.108455772784464
0.2,0.9,lof,0.712,0.06,0.03,0.8825,0.04,0.12529898886596
0.2,0.9,iforest,0.7,0,0,0.875,0,0.129611517075585
0.2,0.9,rrcforest,0.714,0.07,0.035,0.88375,0.0466666666666667,0.139490266619585
0.2,0.9,ocsvm,0.714,0.07,0.035,0.88375,0.0466666666666667,0.208422661638967
0.3,0.5,kMRCD,0.7,NaN,0,1,0,0.170027849638614
0.3,0.5,lof,0.3,0.1,0.166666666666667,0.357142857142857,0.125,0.20014895866562
0.3,0.5,iforest,0.237,0.0360721442885772,0.06,0.312857142857143,0.0450563204005006,0.172724871836701
0.3,0.5,rrcforest,0.304,0.104,0.173333333333333,0.36,0.13,0.184491603307925
0.3,0.5,ocsvm,0.502,0.302,0.503333333333333,0.501428571428571,0.3775,0.267975816488914
0.3,0.75,kMRCD,0.7,NaN,0,1,0,0.170183021866149
0.3,0.75,lof,0.494,0.088,0.0733333333333333,0.674285714285714,0.08,0.20014895866562
0.3,0.75,iforest,0.46,0.0161290322580645,0.0133333333333333,0.651428571428571,0.0145985401459854,0.177698792827709
0.3,0.75,rrcforest,0.472,0.044,0.0366666666666667,0.658571428571429,0.04,0.182316495463144
0.3,0.75,ocsvm,0.516,0.132,0.11,0.69,0.12,0.265776228837965
0.3,0.9,kMRCD,0.7,NaN,0,1,0,0.170579188185709
0.3,0.9,lof,0.63,0.15,0.05,0.878571428571429,0.075,0.20014895866562
0.3,0.9,iforest,0.601,0,0,0.858571428571429,0,0.176357772223601
0.3,0.9,rrcforest,0.614,0.07,0.0233333333333333,0.867142857142857,0.035,0.184128615255881
0.3,0.9,ocsvm,0.618,0.09,0.03,0.87,0.045,0.273557300874992
