e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,0.5,0,NaN,0.5,0,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.5,0,NaN,0.5,0,NaN
0,0.5,rrcforest,0.5,0,NaN,0.5,0,NaN
0,0.5,ocsvm,0.5,0,NaN,0.5,0,NaN
0,0.75,kMRCD,0.758,0,NaN,0.758,0,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.75,0,NaN,0.75,0,NaN
0,0.75,rrcforest,0.75,0,NaN,0.75,0,NaN
0,0.75,ocsvm,0.75,0,NaN,0.75,0,NaN
0,0.9,kMRCD,0.902,0,NaN,0.902,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.9,0,NaN,0.9,0,NaN
0,0.9,rrcforest,0.9,0,NaN,0.9,0,NaN
0,0.9,ocsvm,0.9,0,NaN,0.9,0,NaN
0.1,0.5,kMRCD,0.763,0.294294294294294,0.98,0.738888888888889,0.452655889145497,0.33622619512264
0.1,0.5,lof,0.416,0.016,0.08,0.453333333333333,0.0266666666666667,0.0583565656897606
0.1,0.5,iforest,0.59,0.186234817813765,0.92,0.553333333333333,0.30976430976431,0.209977766434731
0.1,0.5,rrcforest,0.516,0.116,0.58,0.508888888888889,0.193333333333333,0.109001440877598
0.1,0.5,ocsvm,0.56,0.16,0.8,0.533333333333333,0.266666666666667,0.138986276660219
0.1,0.75,kMRCD,0.764,0.211864406779661,0.5,0.793333333333333,0.297619047619048,0.111776438241837
0.1,0.75,lof,0.656,0.012,0.03,0.725555555555556,0.0171428571428571,0.0583565656897606
0.1,0.75,iforest,0.727,0.152610441767068,0.38,0.765555555555556,0.217765042979943,0.145785932542575
0.1,0.75,rrcforest,0.716,0.132,0.33,0.758888888888889,0.188571428571429,0.121022894153508
0.1,0.75,ocsvm,0.72,0.14,0.35,0.761111111111111,0.2,0.132429311702436
0.1,0.9,kMRCD,0.829,0.141414141414141,0.14,0.905555555555556,0.14070351758794,0.0703578782022075
0.1,0.9,lof,0.804,0.02,0.02,0.891111111111111,0.02,0.0583565656897606
0.1,0.9,iforest,0.803,0.0101010101010101,0.01,0.891111111111111,0.0100502512562814,0.105264773587114
0.1,0.9,rrcforest,0.814,0.07,0.07,0.896666666666667,0.07,0.115305657466125
0.1,0.9,ocsvm,0.82,0.1,0.1,0.9,0.1,0.124676475807805
0.2,0.5,kMRCD,0.8,NaN,0,1,0,0.107555749163982
0.2,0.5,lof,0.34,0.04,0.1,0.4,0.0571428571428571,0.114407159143327
0.2,0.5,iforest,0.399,0.094949494949495,0.235,0.44,0.135251798561151,0.133356402937716
0.2,0.5,rrcforest,0.44,0.14,0.35,0.4625,0.2,0.145914572781846
0.2,0.5,ocsvm,0.584,0.284,0.71,0.5525,0.405714285714286,0.221988538834145
0.2,0.75,kMRCD,0.939,0.793248945147679,0.94,0.93875,0.860411899313501,0.81822856213068
0.2,0.75,lof,0.576,0.052,0.065,0.70375,0.0577777777777778,0.114407159143327
0.2,0.75,iforest,0.57,0.04,0.05,0.7,0.0444444444444444,0.133686063239569
0.2,0.75,rrcforest,0.586,0.072,0.09,0.71,0.08,0.141212667936436
0.2,0.75,ocsvm,0.642,0.184,0.23,0.745,0.204444444444444,0.221159752915991
0.2,0.9,kMRCD,0.702,0,0,0.8775,0,0.109841030091621
0.2,0.9,lof,0.706,0.03,0.015,0.87875,0.02,0.114407159143327
0.2,0.9,iforest,0.7,0,0,0.875,0,0.133784883158349
0.2,0.9,rrcforest,0.712,0.06,0.03,0.8825,0.04,0.146587211227789
0.2,0.9,ocsvm,0.712,0.06,0.03,0.8825,0.04,0.208638686858757
0.3,0.5,kMRCD,0.7,NaN,0,1,0,0.181188525730859
0.3,0.5,lof,0.312,0.112,0.186666666666667,0.365714285714286,0.14,0.194447394170182
0.3,0.5,iforest,0.258,0.0562248995983936,0.0933333333333333,0.328571428571429,0.0701754385964912,0.175940793933176
0.3,0.5,rrcforest,0.346,0.146,0.243333333333333,0.39,0.1825,0.198828532209833
0.3,0.5,ocsvm,0.506,0.306,0.51,0.504285714285714,0.3825,0.278864789416782
0.3,0.75,kMRCD,0.7,NaN,0,1,0,0.169773272625834
0.3,0.75,lof,0.498,0.096,0.08,0.677142857142857,0.0872727272727273,0.194447394170182
0.3,0.75,iforest,0.477,0.048582995951417,0.04,0.664285714285714,0.0438756855575868,0.183695358034517
0.3,0.75,rrcforest,0.482,0.064,0.0533333333333333,0.665714285714286,0.0581818181818182,0.189609298456142
0.3,0.75,ocsvm,0.532,0.164,0.136666666666667,0.701428571428571,0.149090909090909,0.30003233082028
0.3,0.9,kMRCD,0.674,0,0,0.962857142857143,0,0.169621711655375
0.3,0.9,lof,0.632,0.16,0.0533333333333333,0.88,0.08,0.194447394170182
0.3,0.9,iforest,0.601,0,0,0.858571428571429,0,0.174285168527175
0.3,0.9,rrcforest,0.606,0.03,0.01,0.861428571428571,0.015,0.207217186998449
0.3,0.9,ocsvm,0.622,0.11,0.0366666666666667,0.872857142857143,0.055,0.28917975502208
