accuracy,precision,sensitivity,specificity,f1Score,aucpr,name,iteration
0.876,0.353658536585366,0.29,0.941111111111111,0.318681318681319,0.146305384900564,kMRCD,1
0.81,0.05,0.05,0.894444444444444,0.05,0.0661873367683126,lof,1
0.814,0.07,0.07,0.896666666666667,0.07,0.123115518669142,iforest,1
0.857,0.273684210526316,0.26,0.923333333333333,0.266666666666667,0.0972971896316728,kMRCD,2
0.808,0.04,0.04,0.893333333333333,0.04,0.0587271693922883,lof,2
0.809,0.0404040404040404,0.04,0.894444444444444,0.0402010050251256,0.122718729421906,iforest,2
0.835,0.150537634408602,0.14,0.912222222222222,0.145077720207254,0.0776888104249984,kMRCD,3
0.808,0.04,0.04,0.893333333333333,0.04,0.0634790426287668,lof,3
0.826,0.13,0.13,0.903333333333333,0.13,0.158674341544832,iforest,3
0.886,0.4,0.28,0.953333333333333,0.329411764705882,0.183547087611297,kMRCD,4
0.806,0.03,0.03,0.892222222222222,0.03,0.0588066649118772,lof,4
0.807,0.0303030303030303,0.03,0.893333333333333,0.0301507537688442,0.0991284054925073,iforest,4
0.885,0.411764705882353,0.35,0.944444444444444,0.378378378378378,0.182590337784111,kMRCD,5
0.804,0.02,0.02,0.891111111111111,0.02,0.0629333485126864,lof,5
0.829,0.134020618556701,0.13,0.906666666666667,0.131979695431472,0.156472972796692,iforest,5
0.875,0.318840579710145,0.22,0.947777777777778,0.260355029585799,0.133179301258213,kMRCD,6
0.806,0.03,0.03,0.892222222222222,0.03,0.0611622809843682,lof,6
0.804,0.02,0.02,0.891111111111111,0.02,0.104749963714036,iforest,6
0.833,0.139784946236559,0.13,0.911111111111111,0.134715025906736,0.0768013164992054,kMRCD,7
0.802,0.01,0.01,0.89,0.01,0.0573365267032639,lof,7
0.813,0.0515463917525773,0.05,0.897777777777778,0.050761421319797,0.10756937750404,iforest,7
0.967,0.845360824742268,0.82,0.983333333333333,0.83248730964467,0.658853983884265,kMRCD,8
0.804,0.02,0.02,0.891111111111111,0.02,0.0585087140013757,lof,8
0.81,0.05,0.05,0.894444444444444,0.05,0.108920374033521,iforest,8
0.854,0.25531914893617,0.24,0.922222222222222,0.247422680412371,0.100196136464219,kMRCD,9
0.806,0.03,0.03,0.892222222222222,0.03,0.0619381692172937,lof,9
0.804,0.02,0.02,0.891111111111111,0.02,0.094523708322821,iforest,9
0.832,0.145833333333333,0.14,0.908888888888889,0.142857142857143,0.0723029316489626,kMRCD,10
0.802,0.01,0.01,0.89,0.01,0.0601191965793125,lof,10
0.816,0.08,0.08,0.897777777777778,0.08,0.137491429028729,iforest,10
0.809,0.010752688172043,0.01,0.897777777777778,0.0103626943005181,0.0577233716518142,kMRCD,11
0.808,0.04,0.04,0.893333333333333,0.04,0.0594432207058769,lof,11
0.824,0.104166666666667,0.1,0.904444444444444,0.102040816326531,0.15150282361394,iforest,11
0.836,0.119047619047619,0.1,0.917777777777778,0.108695652173913,0.0787719864505025,kMRCD,12
0.806,0.03,0.03,0.892222222222222,0.03,0.0591394738434275,lof,12
0.813,0.0606060606060606,0.06,0.896666666666667,0.0603015075376884,0.0944295870937201,iforest,12
0.83,0.111111111111111,0.1,0.911111111111111,0.105263157894737,0.0753789257425653,kMRCD,13
0.804,0.02,0.02,0.891111111111111,0.02,0.056348962401315,lof,13
0.809,0.0309278350515464,0.03,0.895555555555556,0.0304568527918782,0.112907947293595,iforest,13
0.828,0.117021276595745,0.11,0.907777777777778,0.11340206185567,0.0697719201282086,kMRCD,14
0.804,0.02,0.02,0.891111111111111,0.02,0.0636562388508486,lof,14
0.807,0.0303030303030303,0.03,0.893333333333333,0.0301507537688442,0.113150223283535,iforest,14
0.85,0.222222222222222,0.2,0.922222222222222,0.210526315789474,0.101945050278628,kMRCD,15
0.81,0.05,0.05,0.894444444444444,0.05,0.0727373213980551,lof,15
0.813,0.0606060606060606,0.06,0.896666666666667,0.0603015075376884,0.123543458532073,iforest,15
0.882,0.397727272727273,0.35,0.941111111111111,0.372340425531915,0.166769965670484,kMRCD,16
0.8,0,0,0.888888888888889,0,0.0578967725815367,lof,16
0.806,0.03,0.03,0.892222222222222,0.03,0.102253628682956,iforest,16
0.83,0.119565217391304,0.11,0.91,0.114583333333333,0.0818210251579415,kMRCD,17
0.808,0.04,0.04,0.893333333333333,0.04,0.0590206537623239,lof,17
0.83,0.15,0.15,0.905555555555556,0.15,0.160552877571682,iforest,17
