e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,0.608,0,NaN,0.608,0,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.501,0,NaN,0.501,0,NaN
0,0.5,rrcforest,0.5,0,NaN,0.5,0,NaN
0,0.5,ocsvm,0.5,0,NaN,0.5,0,NaN
0,0.75,kMRCD,0.773,0,NaN,0.773,0,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.75,0,NaN,0.75,0,NaN
0,0.75,rrcforest,0.75,0,NaN,0.75,0,NaN
0,0.75,ocsvm,0.75,0,NaN,0.75,0,NaN
0,0.9,kMRCD,0.9,0,NaN,0.9,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.9,0,NaN,0.9,0,NaN
0,0.9,rrcforest,0.9,0,NaN,0.9,0,NaN
0,0.9,ocsvm,0.9,0,NaN,0.9,0,NaN
0.1,0.5,kMRCD,0.86,0.17741935483871,0.11,0.943333333333333,0.135802469135802,0.296252021194571
0.1,0.5,lof,0.41,0.01,0.05,0.45,0.0166666666666667,0.0547077085943724
0.1,0.5,iforest,0.597,0.195171026156942,0.97,0.555555555555556,0.324958123953099,0.177315017233458
0.1,0.5,rrcforest,0.556,0.156,0.78,0.531111111111111,0.26,0.123342547649246
0.1,0.5,ocsvm,0.564,0.164,0.82,0.535555555555556,0.273333333333333,0.146481711797726
0.1,0.75,kMRCD,0.804,0.0294117647058824,0.03,0.89,0.0297029702970297,0.157508472848544
0.1,0.75,lof,0.652,0.004,0.01,0.723333333333333,0.00571428571428571,0.0547077085943724
0.1,0.75,iforest,0.746,0.192,0.48,0.775555555555556,0.274285714285714,0.163927421080948
0.1,0.75,rrcforest,0.718,0.136,0.34,0.76,0.194285714285714,0.140733732454877
0.1,0.75,ocsvm,0.742,0.184,0.46,0.773333333333333,0.262857142857143,0.150372622339207
0.1,0.9,kMRCD,0.83,0.15,0.15,0.905555555555556,0.15,0.11288937461036
0.1,0.9,lof,0.802,0.01,0.01,0.89,0.01,0.0547077085943724
0.1,0.9,iforest,0.814,0.07,0.07,0.896666666666667,0.07,0.17873014512898
0.1,0.9,rrcforest,0.826,0.13,0.13,0.903333333333333,0.13,0.153159553193449
0.1,0.9,ocsvm,0.808,0.04,0.04,0.893333333333333,0.04,0.146056203570303
0.2,0.5,kMRCD,0.8,NaN,0,1,0,0.275539949198511
0.2,0.5,lof,0.31,0.01,0.025,0.38125,0.0142857142857143,0.109736972835445
0.2,0.5,iforest,0.613,0.30879345603272,0.755,0.5775,0.438316400580552,0.241234024014867
0.2,0.5,rrcforest,0.528,0.228,0.57,0.5175,0.325714285714286,0.199136115171652
0.2,0.5,ocsvm,0.59,0.29,0.725,0.55625,0.414285714285714,0.236167790714227
0.2,0.75,kMRCD,0.656,0.00684931506849315,0.005,0.81875,0.00578034682080925,0.173181488332357
0.2,0.75,lof,0.552,0.004,0.005,0.68875,0.00444444444444444,0.109736972835445
0.2,0.75,iforest,0.622,0.144,0.18,0.7325,0.16,0.217108000387243
0.2,0.75,rrcforest,0.62,0.14,0.175,0.73125,0.155555555555556,0.185258033204388
0.2,0.75,ocsvm,0.652,0.204,0.255,0.75125,0.226666666666667,0.215881850943246
0.2,0.9,kMRCD,0.704,0.0102040816326531,0.005,0.87875,0.00671140939597315,0.157345503295288
0.2,0.9,lof,0.7,0,0,0.875,0,0.109736972835445
0.2,0.9,iforest,0.709,0.0404040404040404,0.02,0.88125,0.0267558528428094,0.225861786236946
0.2,0.9,rrcforest,0.728,0.14,0.07,0.8925,0.0933333333333333,0.205982668243586
0.2,0.9,ocsvm,0.712,0.06,0.03,0.8825,0.04,0.226509921677118
0.3,0.5,kMRCD,0.698,0,0,0.997142857142857,0,0.267015675689851
0.3,0.5,lof,0.27,0.07,0.116666666666667,0.335714285714286,0.0875,0.175623774111059
0.3,0.5,iforest,0.473,0.272545090180361,0.453333333333333,0.481428571428571,0.340425531914894,0.254808608085193
0.3,0.5,rrcforest,0.498,0.298,0.496666666666667,0.498571428571429,0.3725,0.264397976991679
0.3,0.5,ocsvm,0.554,0.354,0.59,0.538571428571429,0.4425,0.304349125794149
0.3,0.75,kMRCD,0.596,0.043859649122807,0.0166666666666667,0.844285714285714,0.0241545893719807,0.22079457446448
0.3,0.75,lof,0.472,0.044,0.0366666666666667,0.658571428571429,0.04,0.175623774111059
0.3,0.75,iforest,0.536,0.172,0.143333333333333,0.704285714285714,0.156363636363636,0.277257569851853
0.3,0.75,rrcforest,0.526,0.152,0.126666666666667,0.697142857142857,0.138181818181818,0.248144805868018
0.3,0.75,ocsvm,0.572,0.244,0.203333333333333,0.73,0.221818181818182,0.30660097659437
0.3,0.9,kMRCD,0.61,0.0408163265306122,0.0133333333333333,0.865714285714286,0.0201005025125628,0.215621296526836
0.3,0.9,lof,0.608,0.04,0.0133333333333333,0.862857142857143,0.02,0.175623774111059
0.3,0.9,iforest,0.61,0.05,0.0166666666666667,0.864285714285714,0.025,0.290220853331242
0.3,0.9,rrcforest,0.624,0.12,0.04,0.874285714285714,0.06,0.258892738312869
0.3,0.9,ocsvm,0.62,0.1,0.0333333333333333,0.871428571428571,0.05,0.307097685418246
