e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,0.632,0,NaN,0.632,0,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.501,0,NaN,0.501,0,NaN
0,0.5,rrcforest,0.5,0,NaN,0.5,0,NaN
0,0.5,ocsvm,0.5,0,NaN,0.5,0,NaN
0,0.75,kMRCD,0.799,0,NaN,0.799,0,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.75,0,NaN,0.75,0,NaN
0,0.75,rrcforest,0.75,0,NaN,0.75,0,NaN
0,0.75,ocsvm,0.75,0,NaN,0.75,0,NaN
0,0.9,kMRCD,0.904,0,NaN,0.904,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.9,0,NaN,0.9,0,NaN
0,0.9,rrcforest,0.9,0,NaN,0.9,0,NaN
0,0.9,ocsvm,0.9,0,NaN,0.9,0,NaN
0.1,0.5,kMRCD,0.895,0,0,0.994444444444444,0,0.28346102285646
0.1,0.5,lof,0.424,0.024,0.12,0.457777777777778,0.04,0.0576248124402595
0.1,0.5,iforest,0.59,0.19,0.95,0.55,0.316666666666667,0.171502192727437
0.1,0.5,rrcforest,0.544,0.144,0.72,0.524444444444444,0.24,0.121732685023702
0.1,0.5,ocsvm,0.576,0.176,0.88,0.542222222222222,0.293333333333333,0.147156885779868
0.1,0.75,kMRCD,0.736,0.028735632183908,0.05,0.812222222222222,0.0364963503649635,0.0908689922970961
0.1,0.75,lof,0.654,0.008,0.02,0.724444444444444,0.0114285714285714,0.0576248124402595
0.1,0.75,iforest,0.721,0.140562248995984,0.35,0.762222222222222,0.200573065902579,0.14135871314118
0.1,0.75,rrcforest,0.704,0.108,0.27,0.752222222222222,0.154285714285714,0.118870514572182
0.1,0.75,ocsvm,0.72,0.14,0.35,0.761111111111111,0.2,0.130794602849822
0.1,0.9,kMRCD,0.838,0.16304347826087,0.15,0.914444444444444,0.15625,0.107261958867741
0.1,0.9,lof,0.8,0,0,0.888888888888889,0,0.0576248124402595
0.1,0.9,iforest,0.825,0.121212121212121,0.12,0.903333333333333,0.120603015075377,0.17104371591671
0.1,0.9,rrcforest,0.834,0.17,0.17,0.907777777777778,0.17,0.16131431319691
0.1,0.9,ocsvm,0.818,0.09,0.09,0.898888888888889,0.09,0.138523782936614
0.2,0.5,kMRCD,0.799,0,0,0.99875,0,0.163611322923578
0.2,0.5,lof,0.338,0.038,0.095,0.39875,0.0542857142857143,0.111619281447669
0.2,0.5,iforest,0.482,0.182,0.455,0.48875,0.26,0.170170982462355
0.2,0.5,rrcforest,0.46,0.16,0.4,0.475,0.228571428571429,0.160643823921752
0.2,0.5,ocsvm,0.532,0.232,0.58,0.52,0.331428571428571,0.204271357067438
0.2,0.75,kMRCD,0.738,0,0,0.9225,0,0.14427615355533
0.2,0.75,lof,0.562,0.024,0.03,0.695,0.0266666666666667,0.111619281447669
0.2,0.75,iforest,0.618,0.136,0.17,0.73,0.151111111111111,0.189231277220502
0.2,0.75,rrcforest,0.608,0.116,0.145,0.72375,0.128888888888889,0.166248105758201
0.2,0.75,ocsvm,0.644,0.188,0.235,0.74625,0.208888888888889,0.209597895086495
0.2,0.9,kMRCD,0.747,0,0,0.93375,0,0.136771660973398
0.2,0.9,lof,0.7,0,0,0.875,0,0.111619281447669
0.2,0.9,iforest,0.704,0.02,0.01,0.8775,0.0133333333333333,0.177559034342804
0.2,0.9,rrcforest,0.706,0.03,0.015,0.87875,0.02,0.169803941389422
0.2,0.9,ocsvm,0.72,0.1,0.05,0.8875,0.0666666666666667,0.207215008021775
0.3,0.5,kMRCD,0.7,NaN,0,1,0,0.2066711755983
0.3,0.5,lof,0.298,0.098,0.163333333333333,0.355714285714286,0.1225,0.18870175351049
0.3,0.5,iforest,0.42,0.22,0.366666666666667,0.442857142857143,0.275,0.235399392749319
0.3,0.5,rrcforest,0.42,0.22,0.366666666666667,0.442857142857143,0.275,0.229418739742499
0.3,0.5,ocsvm,0.52,0.32,0.533333333333333,0.514285714285714,0.4,0.283225282384136
0.3,0.75,kMRCD,0.658,0.08,0.0133333333333333,0.934285714285714,0.0228571428571429,0.204398077917135
0.3,0.75,lof,0.484,0.068,0.0566666666666667,0.667142857142857,0.0618181818181818,0.18870175351049
0.3,0.75,iforest,0.544,0.188,0.156666666666667,0.71,0.170909090909091,0.271197027379924
0.3,0.75,rrcforest,0.55,0.2,0.166666666666667,0.714285714285714,0.181818181818182,0.253757045956125
0.3,0.75,ocsvm,0.582,0.264,0.22,0.737142857142857,0.24,0.288983779987735
0.3,0.9,kMRCD,0.668,0.1,0.0133333333333333,0.948571428571429,0.0235294117647059,0.204637245360513
0.3,0.9,lof,0.618,0.09,0.03,0.87,0.045,0.18870175351049
0.3,0.9,iforest,0.614,0.07,0.0233333333333333,0.867142857142857,0.035,0.264512492411287
0.3,0.9,rrcforest,0.626,0.13,0.0433333333333333,0.875714285714286,0.065,0.246493266875322
0.3,0.9,ocsvm,0.624,0.12,0.04,0.874285714285714,0.06,0.302398586562643
