Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
"kMRCD (e=0.00, a=0.50)",0.498,0,NaN,0.498,0,NaN
"lof (e=0.00, a=0.50)",0.5,0,NaN,0.5,0,NaN
"iforest (e=0.00, a=0.50)",0.501,0,NaN,0.501,0,NaN
"rrcforest (e=0.00, a=0.50)",0.5,0,NaN,0.5,0,NaN
"ocsvm (e=0.00, a=0.50)",0.5,0,NaN,0.5,0,NaN
"kMRCD (e=0.00, a=0.75)",0.75,0,NaN,0.75,0,NaN
"lof (e=0.00, a=0.75)",0.75,0,NaN,0.75,0,NaN
"iforest (e=0.00, a=0.75)",0.751,0,NaN,0.751,0,NaN
"rrcforest (e=0.00, a=0.75)",0.75,0,NaN,0.75,0,NaN
"ocsvm (e=0.00, a=0.75)",0.75,0,NaN,0.75,0,NaN
"kMRCD (e=0.00, a=0.90)",0.9,0,NaN,0.9,0,NaN
"lof (e=0.00, a=0.90)",0.9,0,NaN,0.9,0,NaN
"iforest (e=0.00, a=0.90)",0.901,0,NaN,0.901,0,NaN
"rrcforest (e=0.00, a=0.90)",0.9,0,NaN,0.9,0,NaN
"ocsvm (e=0.00, a=0.90)",0.9,0,NaN,0.9,0,NaN
"kMRCD (e=0.20, a=0.50)",0.8,NaN,0,1,0,0.353674825736604
"lof (e=0.20, a=0.50)",0.348,0.048,0.12,0.405,0.0685714285714286,0.12509925692018
"iforest (e=0.20, a=0.50)",0.394,0.0907258064516129,0.225,0.43625,0.129310344827586,0.136364015928355
"rrcforest (e=0.20, a=0.50)",0.418,0.118,0.295,0.44875,0.168571428571429,0.143562157288482
"ocsvm (e=0.20, a=0.50)",0.56,0.26,0.65,0.5375,0.371428571428571,0.210484422784339
"kMRCD (e=0.20, a=0.75)",0.946,0.831818181818182,0.915,0.95375,0.871428571428571,0.916206624167634
"lof (e=0.20, a=0.75)",0.566,0.032,0.04,0.6975,0.0355555555555556,0.12509925692018
"iforest (e=0.20, a=0.75)",0.573,0.0441767068273092,0.055,0.7025,0.0489977728285078,0.156248429455038
"rrcforest (e=0.20, a=0.75)",0.584,0.068,0.085,0.70875,0.0755555555555556,0.138409563366332
"ocsvm (e=0.20, a=0.75)",0.652,0.204,0.255,0.75125,0.226666666666667,0.229481326281513
"kMRCD (e=0.20, a=0.90)",0.741,0.106666666666667,0.04,0.91625,0.0581818181818182,0.140867363685647
"lof (e=0.20, a=0.90)",0.71,0.05,0.025,0.88125,0.0333333333333333,0.12509925692018
"iforest (e=0.20, a=0.90)",0.704,0.02,0.01,0.8775,0.0133333333333333,0.141324944567514
"rrcforest (e=0.20, a=0.90)",0.72,0.1,0.05,0.8875,0.0666666666666667,0.148392574393216
"ocsvm (e=0.20, a=0.90)",0.724,0.12,0.06,0.89,0.08,0.225491935096214
"kMRCD (e=0.40, a=0.50)",0.6,NaN,0,1,0,0.292252078263683
"lof (e=0.40, a=0.50)",0.306,0.206,0.2575,0.338333333333333,0.228888888888889,0.290105523266891
"iforest (e=0.40, a=0.50)",0.172,0.072,0.09,0.226666666666667,0.08,0.237897288630535
"rrcforest (e=0.40, a=0.50)",0.274,0.174,0.2175,0.311666666666667,0.193333333333333,0.255246471463514
"ocsvm (e=0.40, a=0.50)",0.506,0.406,0.5075,0.505,0.451111111111111,0.359877331467276
"kMRCD (e=0.40, a=0.75)",0.6,NaN,0,1,0,0.23487153534393
"lof (e=0.40, a=0.75)",0.45,0.2,0.125,0.666666666666667,0.153846153846154,0.290105523266891
"iforest (e=0.40, a=0.75)",0.365,0.0242914979757085,0.015,0.598333333333333,0.0185471406491499,0.238617296765413
"rrcforest (e=0.40, a=0.75)",0.376,0.052,0.0325,0.605,0.04,0.24694791273433
"ocsvm (e=0.40, a=0.75)",0.478,0.256,0.16,0.69,0.196923076923077,0.367003503889507
"kMRCD (e=0.40, a=0.90)",0.599,0,0,0.998333333333333,0,0.235098153003393
"lof (e=0.40, a=0.90)",0.552,0.26,0.065,0.876666666666667,0.104,0.290105523266891
"iforest (e=0.40, a=0.90)",0.507,0.0303030303030303,0.0075,0.84,0.0120240480961924,0.248994453428086
"rrcforest (e=0.40, a=0.90)",0.51,0.05,0.0125,0.841666666666667,0.02,0.252139691765417
"ocsvm (e=0.40, a=0.90)",0.53,0.15,0.0375,0.858333333333333,0.06,0.362536340294069
