Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
"kMRCD (e=0.00, a=0.50)",0.5,0,NaN,0.5,0,NaN
"lof (e=0.00, a=0.50)",0.5,0,NaN,0.5,0,NaN
"iforest (e=0.00, a=0.50)",0.502,0,NaN,0.502,0,NaN
"rrcforest (e=0.00, a=0.50)",0.5,0,NaN,0.5,0,NaN
"ocsvm (e=0.00, a=0.50)",0.5,0,NaN,0.5,0,NaN
"kMRCD (e=0.00, a=0.75)",0.75,0,NaN,0.75,0,NaN
"lof (e=0.00, a=0.75)",0.75,0,NaN,0.75,0,NaN
"iforest (e=0.00, a=0.75)",0.753,0,NaN,0.753,0,NaN
"rrcforest (e=0.00, a=0.75)",0.75,0,NaN,0.75,0,NaN
"ocsvm (e=0.00, a=0.75)",0.75,0,NaN,0.75,0,NaN
"kMRCD (e=0.00, a=0.90)",0.902,0,NaN,0.902,0,NaN
"lof (e=0.00, a=0.90)",0.9,0,NaN,0.9,0,NaN
"iforest (e=0.00, a=0.90)",0.902,0,NaN,0.902,0,NaN
"rrcforest (e=0.00, a=0.90)",0.9,0,NaN,0.9,0,NaN
"ocsvm (e=0.00, a=0.90)",0.9,0,NaN,0.9,0,NaN
"kMRCD (e=0.20, a=0.50)",0.8,NaN,0,1,0,0.153990926920899
"lof (e=0.20, a=0.50)",0.374,0.074,0.185,0.42125,0.105714285714286,0.12529898886596
"iforest (e=0.20, a=0.50)",0.35,0.05,0.125,0.40625,0.0714285714285714,0.122231095291325
"rrcforest (e=0.20, a=0.50)",0.388,0.088,0.22,0.43,0.125714285714286,0.129310407039669
"ocsvm (e=0.20, a=0.50)",0.532,0.232,0.58,0.52,0.331428571428571,0.200525316997716
"kMRCD (e=0.20, a=0.75)",0.93,0.768595041322314,0.93,0.93,0.841628959276018,0.662990237037956
"lof (e=0.20, a=0.75)",0.584,0.068,0.085,0.70875,0.0755555555555556,0.12529898886596
"iforest (e=0.20, a=0.75)",0.568,0.036,0.045,0.69875,0.04,0.127184936928931
"rrcforest (e=0.20, a=0.75)",0.584,0.068,0.085,0.70875,0.0755555555555556,0.131290781201206
"ocsvm (e=0.20, a=0.75)",0.632,0.164,0.205,0.73875,0.182222222222222,0.208635053586164
"kMRCD (e=0.20, a=0.90)",0.76,0,0,0.95,0,0.108454987264967
"lof (e=0.20, a=0.90)",0.712,0.06,0.03,0.8825,0.04,0.12529898886596
"iforest (e=0.20, a=0.90)",0.702,0.01,0.005,0.87625,0.00666666666666667,0.119139662663792
"rrcforest (e=0.20, a=0.90)",0.714,0.07,0.035,0.88375,0.0466666666666667,0.143444023051941
"ocsvm (e=0.20, a=0.90)",0.72,0.1,0.05,0.8875,0.0666666666666667,0.19606501904349
"kMRCD (e=0.40, a=0.50)",0.6,NaN,0,1,0,0.234248375126796
"lof (e=0.40, a=0.50)",0.266,0.166,0.2075,0.305,0.184444444444444,0.271479550821054
"iforest (e=0.40, a=0.50)",0.126,0.026,0.0325,0.188333333333333,0.0288888888888889,0.234543942778231
"rrcforest (e=0.40, a=0.50)",0.214,0.114,0.1425,0.261666666666667,0.126666666666667,0.246829150858194
"ocsvm (e=0.40, a=0.50)",0.464,0.364,0.455,0.47,0.404444444444444,0.339357392488048
"kMRCD (e=0.40, a=0.75)",0.6,NaN,0,1,0,0.234393710574368
"lof (e=0.40, a=0.75)",0.408,0.116,0.0725,0.631666666666667,0.0892307692307692,0.271479550821054
"iforest (e=0.40, a=0.75)",0.364,0.0241935483870968,0.015,0.596666666666667,0.0185185185185185,0.236441854024656
"rrcforest (e=0.40, a=0.75)",0.368,0.036,0.0225,0.598333333333333,0.0276923076923077,0.243308106245931
"ocsvm (e=0.40, a=0.75)",0.446,0.192,0.12,0.663333333333333,0.147692307692308,0.327983320668303
"kMRCD (e=0.40, a=0.90)",0.6,NaN,0,1,0,0.234588564201174
"lof (e=0.40, a=0.90)",0.532,0.16,0.04,0.86,0.064,0.271479550821054
"iforest (e=0.40, a=0.90)",0.502,0.01,0.0025,0.835,0.004,0.237093803854139
"rrcforest (e=0.40, a=0.90)",0.512,0.06,0.015,0.843333333333333,0.024,0.248544547967613
"ocsvm (e=0.40, a=0.90)",0.524,0.12,0.03,0.853333333333333,0.048,0.334737596534075
