Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
"kMRCD (e=0.00, a=0.50)",0.5,0,NaN,0.5,0,NaN
"lof (e=0.00, a=0.50)",0.5,0,NaN,0.5,0,NaN
"iforest (e=0.00, a=0.50)",0.5,0,NaN,0.5,0,NaN
"rrcforest (e=0.00, a=0.50)",0.5,0,NaN,0.5,0,NaN
"ocsvm (e=0.00, a=0.50)",0.5,0,NaN,0.5,0,NaN
"kMRCD (e=0.00, a=0.75)",0.75,0,NaN,0.75,0,NaN
"lof (e=0.00, a=0.75)",0.75,0,NaN,0.75,0,NaN
"iforest (e=0.00, a=0.75)",0.751,0,NaN,0.751,0,NaN
"rrcforest (e=0.00, a=0.75)",0.75,0,NaN,0.75,0,NaN
"ocsvm (e=0.00, a=0.75)",0.75,0,NaN,0.75,0,NaN
"kMRCD (e=0.00, a=0.90)",0.9,0,NaN,0.9,0,NaN
"lof (e=0.00, a=0.90)",0.9,0,NaN,0.9,0,NaN
"iforest (e=0.00, a=0.90)",0.901,0,NaN,0.901,0,NaN
"rrcforest (e=0.00, a=0.90)",0.9,0,NaN,0.9,0,NaN
"ocsvm (e=0.00, a=0.90)",0.9,0,NaN,0.9,0,NaN
"kMRCD (e=0.20, a=0.50)",0.8,NaN,0,1,0,0.181673582731334
"lof (e=0.20, a=0.50)",0.34,0.04,0.1,0.4,0.0571428571428571,0.114407159143327
"iforest (e=0.20, a=0.50)",0.418,0.118,0.295,0.44875,0.168571428571429,0.139057886282311
"rrcforest (e=0.20, a=0.50)",0.408,0.108,0.27,0.4425,0.154285714285714,0.135615225999613
"ocsvm (e=0.20, a=0.50)",0.57,0.27,0.675,0.54375,0.385714285714286,0.226676192421936
"kMRCD (e=0.20, a=0.75)",0.945,0.813852813852814,0.94,0.94625,0.872389791183295,0.906611786235715
"lof (e=0.20, a=0.75)",0.576,0.052,0.065,0.70375,0.0577777777777778,0.114407159143327
"iforest (e=0.20, a=0.75)",0.574,0.040650406504065,0.05,0.705,0.0448430493273543,0.142909529082622
"rrcforest (e=0.20, a=0.75)",0.568,0.036,0.045,0.69875,0.04,0.127821690250646
"ocsvm (e=0.20, a=0.75)",0.636,0.172,0.215,0.74125,0.191111111111111,0.215807600153374
"kMRCD (e=0.20, a=0.90)",0.718,0.0340909090909091,0.015,0.89375,0.0208333333333333,0.116418824800398
"lof (e=0.20, a=0.90)",0.706,0.03,0.015,0.87875,0.02,0.114407159143327
"iforest (e=0.20, a=0.90)",0.71,0.0408163265306122,0.02,0.8825,0.0268456375838926,0.140211443263316
"rrcforest (e=0.20, a=0.90)",0.708,0.04,0.02,0.88,0.0266666666666667,0.149958196387906
"ocsvm (e=0.20, a=0.90)",0.716,0.08,0.04,0.885,0.0533333333333333,0.228562268932053
"kMRCD (e=0.40, a=0.50)",0.6,NaN,0,1,0,0.257059957344613
"lof (e=0.40, a=0.50)",0.276,0.176,0.22,0.313333333333333,0.195555555555556,0.273819001384103
"iforest (e=0.40, a=0.50)",0.202,0.102,0.1275,0.251666666666667,0.113333333333333,0.246265042348299
"rrcforest (e=0.40, a=0.50)",0.242,0.142,0.1775,0.285,0.157777777777778,0.25044343788078
"ocsvm (e=0.40, a=0.50)",0.518,0.418,0.5225,0.515,0.464444444444444,0.366108137521569
"kMRCD (e=0.40, a=0.75)",0.6,NaN,0,1,0,0.23504318384217
"lof (e=0.40, a=0.75)",0.434,0.168,0.105,0.653333333333333,0.129230769230769,0.273819001384103
"iforest (e=0.40, a=0.75)",0.358,0.016,0.01,0.59,0.0123076923076923,0.236400105893126
"rrcforest (e=0.40, a=0.75)",0.392,0.084,0.0525,0.618333333333333,0.0646153846153846,0.257065005875687
"ocsvm (e=0.40, a=0.75)",0.486,0.272,0.17,0.696666666666667,0.209230769230769,0.383686139564366
"kMRCD (e=0.40, a=0.90)",0.575,0.037037037037037,0.0025,0.956666666666667,0.00468384074941452,0.235252485580941
"lof (e=0.40, a=0.90)",0.534,0.17,0.0425,0.861666666666667,0.068,0.273819001384103
"iforest (e=0.40, a=0.90)",0.503,0.0101010101010101,0.0025,0.836666666666667,0.00400801603206413,0.237454233825109
"rrcforest (e=0.40, a=0.90)",0.508,0.04,0.01,0.84,0.016,0.257019992925556
"ocsvm (e=0.40, a=0.90)",0.524,0.12,0.03,0.853333333333333,0.048,0.358513729511441
