accuracy,precision,sensitivity,specificity,f1Score,aucpr,name,iteration
0.695,0.244389027431421,0.98,0.663333333333333,0.391217564870259,0.385765276102689,kMRCD,1
0.434,0.034,0.17,0.463333333333333,0.0566666666666667,0.0620343629591445,lof,1
0.541,0.135902636916836,0.67,0.526666666666667,0.225969645868465,0.119633085105956,iforest,1
0.692,0.242574257425743,0.98,0.66,0.388888888888889,0.482619251639792,kMRCD,2
0.418,0.018,0.09,0.454444444444444,0.03,0.0553364826602068,lof,2
0.556,0.151821862348178,0.75,0.534444444444444,0.252525252525253,0.140817741508338,iforest,2
0.69,0.241379310344828,0.98,0.657777777777778,0.387351778656126,0.465241891752454,kMRCD,3
0.452,0.052,0.26,0.473333333333333,0.0866666666666667,0.0705687886181612,lof,3
0.561,0.160320641282565,0.8,0.534444444444444,0.267111853088481,0.154821865510774,iforest,3
0.71,0.256410256410256,1,0.677777777777778,0.408163265306122,0.765285619971478,kMRCD,4
0.442,0.042,0.21,0.467777777777778,0.07,0.0635771364573738,lof,4
0.552,0.150602409638554,0.75,0.53,0.250836120401338,0.129061142780722,iforest,4
0.9,NaN,0,1,0,0.222172992173117,kMRCD,5
0.416,0.016,0.08,0.453333333333333,0.0266666666666667,0.0552699214978647,lof,5
0.538,0.13508064516129,0.67,0.523333333333333,0.224832214765101,0.116016237980886,iforest,5
0.781,0.309904153354633,0.97,0.76,0.469733656174334,0.386587941940818,kMRCD,6
0.448,0.048,0.24,0.471111111111111,0.08,0.0668533935149865,lof,6
0.552,0.150602409638554,0.75,0.53,0.250836120401338,0.134810693197295,iforest,6
0.739,0.274509803921569,0.98,0.712222222222222,0.428884026258206,0.385791670296689,kMRCD,7
0.442,0.042,0.21,0.467777777777778,0.07,0.0698750704048225,lof,7
0.567,0.162271805273834,0.8,0.541111111111111,0.269814502529511,0.141669903955508,iforest,7
0.737,0.275482093663912,1,0.707777777777778,0.431965442764579,0.801611491316758,kMRCD,8
0.448,0.048,0.24,0.471111111111111,0.08,0.0689154323475197,lof,8
0.544,0.144,0.72,0.524444444444444,0.24,0.122370539600192,iforest,8
0.714,0.256544502617801,0.98,0.684444444444444,0.406639004149378,0.442921645266818,kMRCD,9
0.432,0.032,0.16,0.462222222222222,0.0533333333333333,0.0615502085692362,lof,9
0.514,0.110887096774194,0.55,0.51,0.184563758389262,0.097085944868602,iforest,9
0.754,0.284023668639053,0.96,0.731111111111111,0.438356164383562,0.43604640319532,kMRCD,10
0.454,0.054,0.27,0.474444444444444,0.09,0.0707547369942957,lof,10
0.562,0.160642570281124,0.8,0.535555555555556,0.267558528428094,0.152389937749291,iforest,10
0.76,0.294117647058824,1,0.733333333333333,0.454545454545455,0.868412216783793,kMRCD,11
0.462,0.062,0.31,0.478888888888889,0.103333333333333,0.0744309681237715,lof,11
0.54,0.13855421686747,0.69,0.523333333333333,0.230769230769231,0.116598387115314,iforest,11
0.799,0.332225913621262,1,0.776666666666667,0.498753117206983,0.722001974402712,kMRCD,12
0.46,0.06,0.3,0.477777777777778,0.1,0.078560839993941,lof,12
0.557,0.152129817444219,0.75,0.535555555555556,0.252951096121417,0.145882705066167,iforest,12
0.752,0.28735632183908,1,0.724444444444444,0.446428571428571,0.761880586596357,kMRCD,13
0.424,0.024,0.12,0.457777777777778,0.04,0.0583005130871722,lof,13
0.554,0.152610441767068,0.76,0.531111111111111,0.254180602006689,0.155859866036968,iforest,13
0.759,0.293255131964809,1,0.732222222222222,0.453514739229025,0.767422198975538,kMRCD,14
0.426,0.026,0.13,0.458888888888889,0.0433333333333333,0.0630400567390824,lof,14
0.535,0.129817444219067,0.64,0.523333333333333,0.215851602023609,0.11130540002109,iforest,14
0.933,0.62043795620438,0.85,0.942222222222222,0.717299578059072,0.744442646452033,kMRCD,15
0.432,0.032,0.16,0.462222222222222,0.0533333333333333,0.0610483564055283,lof,15
0.547,0.143434343434343,0.71,0.528888888888889,0.238655462184874,0.116485129415122,iforest,15
0.688,0.240196078431373,0.98,0.655555555555556,0.385826771653543,0.295262028084617,kMRCD,16
0.452,0.052,0.26,0.473333333333333,0.0866666666666667,0.064851303335774,lof,16
0.499,0.094949494949495,0.47,0.502222222222222,0.157983193277311,0.0908496717325945,iforest,16
0.718,0.261780104712042,1,0.686666666666667,0.4149377593361,0.81252640649311,kMRCD,17
0.44,0.04,0.2,0.466666666666667,0.0666666666666667,0.0676369103342129,lof,17
0.534,0.134,0.67,0.518888888888889,0.223333333333333,0.109184611822199,iforest,17
0.732,0.269230769230769,0.98,0.704444444444444,0.422413793103448,0.4859347844344,kMRCD,18
0.422,0.022,0.11,0.456666666666667,0.0366666666666667,0.0594511446767915,lof,18
0.581,0.177777777777778,0.88,0.547777777777778,0.295798319327731,0.178242833968232,iforest,18
0.733,0.272479564032698,1,0.703333333333333,0.428265524625268,0.772036266094718,kMRCD,19
0.46,0.06,0.3,0.477777777777778,0.1,0.0798118249495276,lof,19
0.533,0.130784708249497,0.65,0.52,0.217755443886097,0.106385751671523,iforest,19
0.695,0.246913580246914,1,0.661111111111111,0.396039603960396,0.809412325727432,kMRCD,20
0.442,0.042,0.21,0.467777777777778,0.07,0.0830809677866536,lof,20
0.519,0.118236472945892,0.59,0.511111111111111,0.196994991652755,0.104642190216302,iforest,20
0.872,0.438053097345133,0.99,0.858888888888889,0.607361963190184,0.729448711567732,kMRCD,21
0.462,0.062,0.31,0.478888888888889,0.103333333333333,0.0720686911383516,lof,21
0.547,0.144869215291751,0.72,0.527777777777778,0.241206030150754,0.142653144825314,iforest,21
0.696,0.245,0.98,0.664444444444444,0.392,0.300142526207588,kMRCD,22
0.444,0.044,0.22,0.468888888888889,0.0733333333333333,0.0625433833691839,lof,22
0.557,0.156312625250501,0.78,0.532222222222222,0.260434056761269,0.150532463789474,iforest,22
0.735,0.271468144044321,0.98,0.707777777777778,0.425162689804772,0.472837269248533,kMRCD,23
0.424,0.024,0.12,0.457777777777778,0.04,0.0576239119712526,lof,23
0.574,0.171370967741935,0.85,0.543333333333333,0.285234899328859,0.18065215675353,iforest,23
0.695,0.244389027431421,0.98,0.663333333333333,0.391217564870259,0.482761818314112,kMRCD,24
0.414,0.014,0.07,0.452222222222222,0.0233333333333333,0.0567638238798888,lof,24
0.521,0.120240480961924,0.6,0.512222222222222,0.200333889816361,0.101506829618017,iforest,24
0.763,0.29673590504451,1,0.736666666666667,0.45766590389016,0.740580590203898,kMRCD,25
