accuracy,precision,sensitivity,specificity,f1Score,aucpr,name,iteration
0.887,0.469194312796209,0.99,0.875555555555556,0.636655948553055,0.931132426747766,kMRCD,1
0.67,0.04,0.1,0.733333333333333,0.0571428571428571,0.064707545547549,lof,1
0.723,0.1417004048583,0.35,0.764444444444444,0.201729106628242,0.131598787017202,iforest,1
0.867,0.427947598253275,0.98,0.854444444444444,0.595744680851064,0.55497721674964,kMRCD,2
0.662,0.024,0.06,0.728888888888889,0.0342857142857143,0.0594715902537939,lof,2
0.725,0.142857142857143,0.35,0.766666666666667,0.202898550724638,0.130153374333732,iforest,2
0.871,0.435555555555556,0.98,0.858888888888889,0.603076923076923,0.6223519155894,kMRCD,3
0.658,0.016,0.04,0.726666666666667,0.0228571428571429,0.0597185094406213,lof,3
0.716,0.129032258064516,0.32,0.76,0.183908045977011,0.131654520082092,iforest,3
0.867,0.427947598253275,0.98,0.854444444444444,0.595744680851064,0.701748161013508,kMRCD,4
0.666,0.032,0.08,0.731111111111111,0.0457142857142857,0.0658641708208711,lof,4
0.713,0.124497991967871,0.31,0.757777777777778,0.177650429799427,0.123792668594749,iforest,4
0.881,0.456221198156682,0.99,0.868888888888889,0.624605678233438,0.894723229734837,kMRCD,5
0.67,0.04,0.1,0.733333333333333,0.0571428571428571,0.0678797986092443,lof,5
0.702,0.100806451612903,0.25,0.752222222222222,0.14367816091954,0.117098020819113,iforest,5
0.874,0.441964285714286,0.99,0.861111111111111,0.611111111111111,0.862817788684001,kMRCD,6
0.662,0.024,0.06,0.728888888888889,0.0342857142857143,0.059121049645366,lof,6
0.72,0.14,0.35,0.761111111111111,0.2,0.123082166067154,iforest,6
0.88,0.454545454545455,1,0.866666666666667,0.625,0.923802813594994,kMRCD,7
0.674,0.048,0.12,0.735555555555556,0.0685714285714286,0.0740250671488907,lof,7
0.7,0.1,0.25,0.75,0.142857142857143,0.107869947407818,iforest,7
0.875,0.440758293838863,0.93,0.868888888888889,0.598070739549839,0.41394032138412,kMRCD,8
0.654,0.008,0.02,0.724444444444444,0.0114285714285714,0.0533583740250265,lof,8
0.756,0.204918032786885,0.5,0.784444444444444,0.290697674418605,0.218275176948784,iforest,8
0.856,0.408333333333333,0.98,0.842222222222222,0.576470588235294,0.90136737654714,kMRCD,9
0.664,0.028,0.07,0.73,0.04,0.0680253030341376,lof,9
0.768,0.236,0.59,0.787777777777778,0.337142857142857,0.245398453883477,iforest,9
0.781,0.223255813953488,0.48,0.814444444444444,0.304761904761905,0.130531303289469,kMRCD,10
0.66,0.02,0.05,0.727777777777778,0.0285714285714286,0.0568853921793685,lof,10
0.706,0.108870967741935,0.27,0.754444444444444,0.155172413793103,0.111493769783466,iforest,10
0.759,0.152709359605911,0.31,0.808888888888889,0.204620462046205,0.0966011483000397,kMRCD,11
0.67,0.04,0.1,0.733333333333333,0.0571428571428571,0.066689699652385,lof,11
0.685,0.0647773279352227,0.16,0.743333333333333,0.0922190201729107,0.0910198337660734,iforest,11
0.885,0.465116279069767,1,0.872222222222222,0.634920634920635,0.92206933485425,kMRCD,12
0.666,0.032,0.08,0.731111111111111,0.0457142857142857,0.0661824994334515,lof,12
0.738,0.173387096774194,0.43,0.772222222222222,0.247126436781609,0.180190679194141,iforest,12
0.877,0.447488584474886,0.98,0.865555555555556,0.614420062695925,0.706164971849771,kMRCD,13
0.67,0.04,0.1,0.733333333333333,0.0571428571428571,0.0689998436775834,lof,13
0.747,0.192771084337349,0.48,0.776666666666667,0.275071633237822,0.168277190079078,iforest,13
0.881,0.455399061032864,0.97,0.871111111111111,0.619808306709265,0.496738545494903,kMRCD,14
0.668,0.036,0.09,0.732222222222222,0.0514285714285714,0.0620529116159192,lof,14
0.729,0.153846153846154,0.38,0.767777777777778,0.219020172910663,0.166056663670608,iforest,14
0.716,0.04,0.08,0.786666666666667,0.0533333333333333,0.0694741586067662,kMRCD,15
0.662,0.024,0.06,0.728888888888889,0.0342857142857143,0.059649330458489,lof,15
0.755,0.206477732793522,0.51,0.782222222222222,0.293948126801153,0.182128801987951,iforest,15
0.874,0.440909090909091,0.97,0.863333333333333,0.60625,0.628126811984136,kMRCD,16
0.672,0.044,0.11,0.734444444444444,0.0628571428571429,0.0691019389482798,lof,16
0.725,0.139917695473251,0.34,0.767777777777778,0.198250728862974,0.138746427038482,iforest,16
0.87,0.432432432432432,0.96,0.86,0.596273291925466,0.557552048811652,kMRCD,17
0.658,0.016,0.04,0.726666666666667,0.0228571428571429,0.0602525912893059,lof,17
0.74,0.18,0.45,0.772222222222222,0.257142857142857,0.172073007805493,iforest,17
0.878,0.45045045045045,1,0.864444444444444,0.62111801242236,0.920579287979558,kMRCD,18
0.66,0.02,0.05,0.727777777777778,0.0285714285714286,0.0635769598223143,lof,18
0.735,0.163265306122449,0.4,0.772222222222222,0.231884057971014,0.149490338268226,iforest,18
0.765,0.122905027932961,0.22,0.825555555555556,0.157706093189964,0.120318964566981,kMRCD,19
0.664,0.028,0.07,0.73,0.04,0.0607960487578284,lof,19
0.736,0.163934426229508,0.4,0.773333333333333,0.232558139534884,0.153617482234218,iforest,19
0.847,0.391836734693878,0.96,0.834444444444444,0.556521739130435,0.641205105034183,kMRCD,20
0.66,0.02,0.05,0.727777777777778,0.0285714285714286,0.0642105662398591,lof,20
0.778,0.252032520325203,0.62,0.795555555555556,0.358381502890173,0.227467479639727,iforest,20
0.879,0.452488687782805,1,0.865555555555556,0.623052959501558,0.921458855153764,kMRCD,21
0.658,0.016,0.04,0.726666666666667,0.0228571428571429,0.0647366164481709,lof,21
0.704,0.104838709677419,0.26,0.753333333333333,0.149425287356322,0.104916336981452,iforest,21
0.872,0.436363636363636,0.96,0.862222222222222,0.6,0.454083337638554,kMRCD,22
0.658,0.016,0.04,0.726666666666667,0.0228571428571429,0.0596011131542325,lof,22
0.732,0.164,0.41,0.767777777777778,0.234285714285714,0.154783301692955,iforest,22
0.881,0.45662100456621,1,0.867777777777778,0.626959247648903,0.925424266194292,kMRCD,23
0.668,0.036,0.09,0.732222222222222,0.0514285714285714,0.0633770953626437,lof,23
0.692,0.0806451612903226,0.2,0.746666666666667,0.114942528735632,0.10092662163587,iforest,23
0.743,0.138248847926267,0.3,0.792222222222222,0.189274447949527,0.102457243469984,kMRCD,24
0.674,0.048,0.12,0.735555555555556,0.0685714285714286,0.0600322171619965,lof,24
0.727,0.1440329218107,0.35,0.768888888888889,0.204081632653061,0.137868983339578,iforest,24
0.882,0.458715596330275,1,0.868888888888889,0.628930817610063,0.914392313938322,kMRCD,25
0.66,0.02,0.05,0.727777777777778,0.0285714285714286,0.0641374257502732,lof,25
0.758,0.213709677419355,0.53,0.783333333333333,0.304597701149425,0.20438053780687,iforest,25
0.869,0.430493273542601,0.96,0.858888888888889,0.594427244582043,0.507193067395249,kMRCD,26
0.664,0.028,0.07,0.73,0.04,0.0575040140299495,lof,26
0.769,0.234817813765182,0.58,0.79,0.334293948126801,0.243000984846192,iforest,26
0.878,0.44954128440367,0.98,0.866666666666667,0.616352201257862,0.671756908752275,kMRCD,27
0.67,0.04,0.1,0.733333333333333,0.0571428571428571,0.058997786245428,lof,27
0.778,0.252032520325203,0.62,0.795555555555556,0.358381502890173,0.2618149694666,iforest,27
0.876,0.446428571428571,1,0.862222222222222,0.617283950617284,0.901023847771431,kMRCD,28
0.66,0.02,0.05,0.727777777777778,0.0285714285714286,0.0645610310128748,lof,28
0.726,0.149193548387097,0.37,0.765555555555556,0.21264367816092,0.129052497848248,iforest,28
0.88,0.453703703703704,0.98,0.868888888888889,0.620253164556962,0.783542827157905,kMRCD,29
0.672,0.044,0.11,0.734444444444444,0.0628571428571429,0.0623057640414325,lof,29
0.709,0.11336032388664,0.28,0.756666666666667,0.161383285302594,0.117899518887555,iforest,29
0.877,0.447963800904977,0.99,0.864444444444444,0.616822429906542,0.877039885303824,kMRCD,30
0.672,0.044,0.11,0.734444444444444,0.0628571428571429,0.0706600155146083,lof,30
0.722,0.135245901639344,0.33,0.765555555555556,0.191860465116279,0.142122202900298,iforest,30
0.875,0.442396313364055,0.96,0.865555555555556,0.605678233438486,0.575467528913659,kMRCD,31
0.662,0.024,0.06,0.728888888888889,0.0342857142857143,0.0595473290071362,lof,31
0.722,0.141129032258065,0.35,0.763333333333333,0.201149425287356,0.140430725210809,iforest,31
0.868,0.429203539823009,0.97,0.856666666666667,0.595092024539877,0.68034883776609,kMRCD,32
0.68,0.06,0.15,0.738888888888889,0.0857142857142857,0.0817111733770503,lof,32
0.718,0.136,0.34,0.76,0.194285714285714,0.13735351262397,iforest,32
0.882,0.458333333333333,0.99,0.87,0.626582278481013,0.822810155237513,kMRCD,33
0.668,0.036,0.09,0.732222222222222,0.0514285714285714,0.0629143621129841,lof,33
0.744,0.188,0.47,0.774444444444444,0.268571428571429,0.161559522282443,iforest,33
0.876,0.445454545454545,0.98,0.864444444444444,0.6125,0.630968056101186,kMRCD,34
0.662,0.024,0.06,0.728888888888889,0.0342857142857143,0.0634438824865624,lof,34
0.724,0.148,0.37,0.763333333333333,0.211428571428571,0.142253839977244,iforest,34
0.872,0.436363636363636,0.96,0.862222222222222,0.6,0.475220995558115,kMRCD,35
0.672,0.044,0.11,0.734444444444444,0.0628571428571429,0.0630134012850969,lof,35
0.745,0.183673469387755,0.45,0.777777777777778,0.260869565217391,0.186820125784819,iforest,35
0.868,0.431034482758621,1,0.853333333333333,0.602409638554217,0.902117709745699,kMRCD,36
0.68,0.06,0.15,0.738888888888889,0.0857142857142857,0.0772792231274296,lof,36
0.712,0.124,0.31,0.756666666666667,0.177142857142857,0.12622187267665,iforest,36
0.854,0.403361344537815,0.96,0.842222222222222,0.568047337278107,0.619822971124928,kMRCD,37
0.674,0.048,0.12,0.735555555555556,0.0685714285714286,0.0718863592700316,lof,37
0.703,0.0912863070539419,0.22,0.756666666666667,0.129032258064516,0.110359200242218,iforest,37
0.808,0.0106382978723404,0.01,0.896666666666667,0.0103092783505155,0.0634165848779654,kMRCD,38
0.658,0.016,0.04,0.726666666666667,0.0228571428571429,0.0563600155919602,lof,38
0.743,0.182186234817814,0.45,0.775555555555556,0.259365994236311,0.167280534806192,iforest,38
0.721,0.050251256281407,0.1,0.79,0.0668896321070234,0.0807864278996242,kMRCD,39
0.674,0.048,0.12,0.735555555555556,0.0685714285714286,0.0613720151397446,lof,39
0.749,0.191836734693878,0.47,0.78,0.272463768115942,0.160478454540454,iforest,39
0.868,0.427927927927928,0.95,0.858888888888889,0.590062111801242,0.398823627786313,kMRCD,40
0.656,0.012,0.03,0.725555555555556,0.0171428571428571,0.0563946975809818,lof,40
0.723,0.144578313253012,0.36,0.763333333333333,0.206303724928367,0.147899365540843,iforest,40
0.879,0.452488687782805,1,0.865555555555556,0.623052959501558,0.907525881925124,kMRCD,41
0.662,0.024,0.06,0.728888888888889,0.0342857142857143,0.0637882537994948,lof,41
0.721,0.137651821862348,0.34,0.763333333333333,0.195965417867435,0.131916835745906,iforest,41
0.875,0.441860465116279,0.95,0.866666666666667,0.603174603174603,0.531436471935713,kMRCD,42
0.664,0.028,0.07,0.73,0.04,0.0695802466848979,lof,42
0.745,0.181069958847737,0.44,0.778888888888889,0.256559766763848,0.146514258816149,iforest,42
0.875,0.443438914027149,0.98,0.863333333333333,0.610591900311526,0.730236820741857,kMRCD,43
0.658,0.016,0.04,0.726666666666667,0.0228571428571429,0.0566858726946179,lof,43
0.726,0.152,0.38,0.764444444444444,0.217142857142857,0.131216204340864,iforest,43
0.88,0.454128440366972,0.99,0.867777777777778,0.622641509433962,0.922734770975302,kMRCD,44
0.666,0.032,0.08,0.731111111111111,0.0457142857142857,0.0658708178728484,lof,44
0.718,0.133064516129032,0.33,0.761111111111111,0.189655172413793,0.126490193631554,iforest,44
0.878,0.449074074074074,0.97,0.867777777777778,0.613924050632911,0.653342001651435,kMRCD,45
0.664,0.028,0.07,0.73,0.04,0.0649604476342386,lof,45
0.742,0.184,0.46,0.773333333333333,0.262857142857143,0.167777517527973,iforest,45
0.881,0.455813953488372,0.98,0.87,0.622222222222222,0.58031487810089,kMRCD,46
0.656,0.012,0.03,0.725555555555556,0.0171428571428571,0.0564418650769458,lof,46
0.73,0.151639344262295,0.37,0.77,0.215116279069767,0.153801040335343,iforest,46
0.882,0.457943925233645,0.98,0.871111111111111,0.624203821656051,0.664063103433565,kMRCD,47
0.662,0.024,0.06,0.728888888888889,0.0342857142857143,0.0577901528255095,lof,47
0.712,0.124,0.31,0.756666666666667,0.177142857142857,0.124135893190296,iforest,47
0.874,0.440366972477064,0.96,0.864444444444444,0.60377358490566,0.484070016407141,kMRCD,48
0.66,0.02,0.05,0.727777777777778,0.0285714285714286,0.0600418010304932,lof,48
0.756,0.207317073170732,0.51,0.783333333333333,0.294797687861272,0.193069824410394,iforest,48
0.867,0.426008968609865,0.95,0.857777777777778,0.588235294117647,0.431687574565937,kMRCD,49
0.66,0.02,0.05,0.727777777777778,0.0285714285714286,0.0611420870776773,lof,49
0.729,0.156626506024096,0.39,0.766666666666667,0.223495702005731,0.162803960507107,iforest,49
0.874,0.440909090909091,0.97,0.863333333333333,0.60625,0.632677170725848,kMRCD,50
0.672,0.044,0.11,0.734444444444444,0.0628571428571429,0.0613391737453103,lof,50
0.734,0.168,0.42,0.768888888888889,0.24,0.145069100767306,iforest,50
0.876,0.445454545454545,0.98,0.864444444444444,0.6125,0.612185438320588,kMRCD,51
0.658,0.016,0.04,0.726666666666667,0.0228571428571429,0.0627822757944914,lof,51
0.682,0.064,0.16,0.74,0.0914285714285714,0.0914155546154698,iforest,51
0.869,0.432900432900433,1,0.854444444444444,0.604229607250755,0.860682194864514,kMRCD,52
0.68,0.06,0.15,0.738888888888889,0.0857142857142857,0.0826380100956748,lof,52
0.764,0.225806451612903,0.56,0.786666666666667,0.32183908045977,0.190978238076961,iforest,52
0.871,0.436123348017621,0.99,0.857777777777778,0.605504587155963,0.946569148368142,kMRCD,53
0.664,0.028,0.07,0.73,0.04,0.0770180729341191,lof,53
0.753,0.202429149797571,0.5,0.781111111111111,0.288184438040346,0.167959211739448,iforest,53
0.879,0.452054794520548,0.99,0.866666666666667,0.620689655172414,0.936006880366891,kMRCD,54
0.676,0.052,0.13,0.736666666666667,0.0742857142857143,0.0822977234473139,lof,54
0.722,0.141129032258065,0.35,0.763333333333333,0.201149425287356,0.138121272748193,iforest,54
0.873,0.439461883408072,0.98,0.861111111111111,0.606811145510836,0.750315019645175,kMRCD,55
0.686,0.072,0.18,0.742222222222222,0.102857142857143,0.081772800939978,lof,55
0.766,0.232,0.58,0.786666666666667,0.331428571428571,0.207055317754662,iforest,55
0.876,0.444444444444444,0.96,0.866666666666667,0.607594936708861,0.750160724713149,kMRCD,56
0.672,0.044,0.11,0.734444444444444,0.0628571428571429,0.0712852490592178,lof,56
0.741,0.180722891566265,0.45,0.773333333333333,0.257879656160458,0.176677318007277,iforest,56
