e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,0.5,0,NaN,0.5,0,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.506,0,NaN,0.506,0,NaN
0,0.5,rrcforest,0.5,0,NaN,0.5,0,NaN
0,0.5,ocsvm,0.5,0,NaN,0.5,0,NaN
0,0.75,kMRCD,0.75,0,NaN,0.75,0,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.754,0,NaN,0.754,0,NaN
0,0.75,rrcforest,0.75,0,NaN,0.75,0,NaN
0,0.75,ocsvm,0.75,0,NaN,0.75,0,NaN
0,0.9,kMRCD,0.9,0,NaN,0.9,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.904,0,NaN,0.904,0,NaN
0,0.9,rrcforest,0.9,0,NaN,0.9,0,NaN
0,0.9,ocsvm,0.9,0,NaN,0.9,0,NaN
0.1,0.5,kMRCD,0.635,0.213822894168467,0.99,0.595555555555556,0.351687388987567,0.839636095596928
0.1,0.5,lof,0.49,0.09,0.45,0.494444444444444,0.15,0.120028085236772
0.1,0.5,iforest,0.505,0.104208416833667,0.52,0.503333333333333,0.173622704507513,0.092631226491219
0.1,0.5,rrcforest,0.484,0.084,0.42,0.491111111111111,0.14,0.0862533574748779
0.1,0.5,ocsvm,0.514,0.114,0.57,0.507777777777778,0.19,0.101572052687497
0.1,0.75,kMRCD,0.727,0.138075313807531,0.33,0.771111111111111,0.194690265486726,0.0854321431073398
0.1,0.75,lof,0.706,0.112,0.28,0.753333333333333,0.16,0.120028085236772
0.1,0.75,iforest,0.69,0.08,0.2,0.744444444444444,0.114285714285714,0.0838441944330101
0.1,0.75,rrcforest,0.712,0.124,0.31,0.756666666666667,0.177142857142857,0.113117763452604
0.1,0.75,ocsvm,0.692,0.084,0.21,0.745555555555556,0.12,0.10369775661494
0.1,0.9,kMRCD,0.813,0.0421052631578947,0.04,0.898888888888889,0.041025641025641,0.0560053378453751
0.1,0.9,lof,0.83,0.15,0.15,0.905555555555556,0.15,0.120028085236772
0.1,0.9,iforest,0.808,0.04,0.04,0.893333333333333,0.04,0.0918242430169034
0.1,0.9,rrcforest,0.802,0.01,0.01,0.89,0.01,0.0705092395240994
0.1,0.9,ocsvm,0.81,0.05,0.05,0.894444444444444,0.05,0.109618039716912
0.2,0.5,kMRCD,0.746,0.422857142857143,0.74,0.7475,0.538181818181818,0.367516417293442
0.2,0.5,lof,0.456,0.156,0.39,0.4725,0.222857142857143,0.179412742299227
0.2,0.5,iforest,0.421,0.117171717171717,0.29,0.45375,0.166906474820144,0.145640337367751
0.2,0.5,rrcforest,0.384,0.084,0.21,0.4275,0.12,0.127083165328769
0.2,0.5,ocsvm,0.476,0.176,0.44,0.485,0.251428571428571,0.17370186873822
0.2,0.75,kMRCD,0.8,NaN,0,1,0,0.108766694688487
0.2,0.75,lof,0.626,0.152,0.19,0.735,0.168888888888889,0.179412742299227
0.2,0.75,iforest,0.563,0.0240963855421687,0.03,0.69625,0.0267260579064588,0.116211641790457
0.2,0.75,rrcforest,0.58,0.06,0.075,0.70625,0.0666666666666667,0.127780344432383
0.2,0.75,ocsvm,0.614,0.128,0.16,0.7275,0.142222222222222,0.185520804871234
0.2,0.9,kMRCD,0.795,0,0,0.99375,0,0.108749298029116
0.2,0.9,lof,0.744,0.22,0.11,0.9025,0.146666666666667,0.179412742299227
0.2,0.9,iforest,0.7,0,0,0.875,0,0.117141858870715
0.2,0.9,rrcforest,0.708,0.04,0.02,0.88,0.0266666666666667,0.141077657283868
0.2,0.9,ocsvm,0.72,0.1,0.05,0.8875,0.0666666666666667,0.166708802881437
0.3,0.5,kMRCD,0.7,NaN,0,1,0,0.32978451121196
0.3,0.5,lof,0.422,0.222,0.37,0.444285714285714,0.2775,0.309054819139061
0.3,0.5,iforest,0.247,0.0442655935613682,0.0733333333333333,0.321428571428571,0.055207026348808,0.172535434427874
0.3,0.5,rrcforest,0.3,0.1,0.166666666666667,0.357142857142857,0.125,0.183042273860239
0.3,0.5,ocsvm,0.442,0.242,0.403333333333333,0.458571428571429,0.3025,0.239802873861326
0.3,0.75,kMRCD,0.7,NaN,0,1,0,0.169612628118564
0.3,0.75,lof,0.604,0.308,0.256666666666667,0.752857142857143,0.28,0.309054819139061
0.3,0.75,iforest,0.466,0.0204918032786885,0.0166666666666667,0.658571428571429,0.0183823529411765,0.174247389380477
0.3,0.75,rrcforest,0.484,0.068,0.0566666666666667,0.667142857142857,0.0618181818181818,0.184198296644682
0.3,0.75,ocsvm,0.546,0.192,0.16,0.711428571428571,0.174545454545455,0.242916145549842
0.3,0.9,kMRCD,0.7,NaN,0,1,0,0.170394207180214
0.3,0.9,lof,0.688,0.44,0.146666666666667,0.92,0.22,0.309054819139061
0.3,0.9,iforest,0.607,0.0206185567010309,0.00666666666666667,0.864285714285714,0.0100755667506297,0.17699150350225
0.3,0.9,rrcforest,0.61,0.05,0.0166666666666667,0.864285714285714,0.025,0.180625668615464
0.3,0.9,ocsvm,0.628,0.14,0.0466666666666667,0.877142857142857,0.07,0.241042390432408
