e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,0.501,0,NaN,0.501,0,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.5,0,NaN,0.5,0,NaN
0,0.5,rrcforest,0.5,0,NaN,0.5,0,NaN
0,0.5,ocsvm,0.5,0,NaN,0.5,0,NaN
0,0.75,kMRCD,0.759,0,NaN,0.759,0,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.751,0,NaN,0.751,0,NaN
0,0.75,rrcforest,0.75,0,NaN,0.75,0,NaN
0,0.75,ocsvm,0.75,0,NaN,0.75,0,NaN
0,0.9,kMRCD,0.901,0,NaN,0.901,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.9,0,NaN,0.9,0,NaN
0,0.9,rrcforest,0.9,0,NaN,0.9,0,NaN
0,0.9,ocsvm,0.9,0,NaN,0.9,0,NaN
0.1,0.5,kMRCD,0.9,NaN,0,1,0,0.554047817851412
0.1,0.5,lof,0.472,0.072,0.36,0.484444444444444,0.12,0.0848754734686706
0.1,0.5,iforest,0.491,0.0885311871227364,0.44,0.496666666666667,0.147403685092127,0.0822443540238715
0.1,0.5,rrcforest,0.468,0.068,0.34,0.482222222222222,0.113333333333333,0.0728751383855376
0.1,0.5,ocsvm,0.51,0.11,0.55,0.505555555555556,0.183333333333333,0.103702899279784
0.1,0.75,kMRCD,0.686,0.0307017543859649,0.07,0.754444444444444,0.0426829268292683,0.0645266992627685
0.1,0.75,lof,0.688,0.076,0.19,0.743333333333333,0.108571428571429,0.0848754734686706
0.1,0.75,iforest,0.684,0.068,0.17,0.741111111111111,0.0971428571428571,0.0944834741040902
0.1,0.75,rrcforest,0.674,0.048,0.12,0.735555555555556,0.0685714285714286,0.0724367632357554
0.1,0.75,ocsvm,0.69,0.08,0.2,0.744444444444444,0.114285714285714,0.0987714036976937
0.1,0.9,kMRCD,0.805,0.0202020202020202,0.02,0.892222222222222,0.0201005025125628,0.054174703247351
0.1,0.9,lof,0.818,0.09,0.09,0.898888888888889,0.09,0.0848754734686706
0.1,0.9,iforest,0.806,0.0204081632653061,0.02,0.893333333333333,0.0202020202020202,0.0651936315912452
0.1,0.9,rrcforest,0.806,0.03,0.03,0.892222222222222,0.03,0.075928522188001
0.1,0.9,ocsvm,0.81,0.05,0.05,0.894444444444444,0.05,0.0998046180863127
0.2,0.5,kMRCD,0.8,NaN,0,1,0,0.688124983044413
0.2,0.5,lof,0.484,0.184,0.46,0.49,0.262857142857143,0.205275631872624
0.2,0.5,iforest,0.374,0.072289156626506,0.18,0.4225,0.103151862464183,0.122780029362204
0.2,0.5,rrcforest,0.374,0.074,0.185,0.42125,0.105714285714286,0.122055471370533
0.2,0.5,ocsvm,0.494,0.194,0.485,0.49625,0.277142857142857,0.176427007142729
0.2,0.75,kMRCD,0.8,NaN,0,1,0,0.108138164470163
0.2,0.75,lof,0.658,0.216,0.27,0.755,0.24,0.205275631872624
0.2,0.75,iforest,0.565,0.0204081632653061,0.025,0.7,0.0224719101123595,0.114698718206405
0.2,0.75,rrcforest,0.57,0.04,0.05,0.7,0.0444444444444444,0.12119163539952
0.2,0.75,ocsvm,0.606,0.112,0.14,0.7225,0.124444444444444,0.17496034486722
0.2,0.9,kMRCD,0.797,0,0,0.99625,0,0.108148495817207
0.2,0.9,lof,0.756,0.28,0.14,0.91,0.186666666666667,0.205275631872624
0.2,0.9,iforest,0.7,0,0,0.875,0,0.115577739392185
0.2,0.9,rrcforest,0.7,0,0,0.875,0,0.117989513371244
0.2,0.9,ocsvm,0.714,0.07,0.035,0.88375,0.0466666666666667,0.173927485620645
0.3,0.5,kMRCD,0.7,NaN,0,1,0,0.270388146401419
0.3,0.5,lof,0.502,0.302,0.503333333333333,0.501428571428571,0.3775,0.358855719825371
0.3,0.5,iforest,0.245,0.0422535211267606,0.07,0.32,0.0526976160602258,0.172525482323099
0.3,0.5,rrcforest,0.29,0.09,0.15,0.35,0.1125,0.177714661639028
0.3,0.5,ocsvm,0.47,0.27,0.45,0.478571428571429,0.3375,0.258517413138728
0.3,0.75,kMRCD,0.7,NaN,0,1,0,0.168689022308749
0.3,0.75,lof,0.638,0.376,0.313333333333333,0.777142857142857,0.341818181818182,0.358855719825371
0.3,0.75,iforest,0.455,0.00803212851405622,0.00666666666666667,0.647142857142857,0.00728597449908925,0.169470097241108
0.3,0.75,rrcforest,0.476,0.052,0.0433333333333333,0.661428571428571,0.0472727272727273,0.183203730212521
0.3,0.75,ocsvm,0.524,0.148,0.123333333333333,0.695714285714286,0.134545454545455,0.250089711500536
0.3,0.9,kMRCD,0.7,NaN,0,1,0,0.168637373659559
0.3,0.9,lof,0.694,0.47,0.156666666666667,0.924285714285714,0.235,0.358855719825371
0.3,0.9,iforest,0.608,0.0306122448979592,0.01,0.864285714285714,0.0150753768844221,0.169507579053708
0.3,0.9,rrcforest,0.612,0.06,0.02,0.865714285714286,0.03,0.183371022612491
0.3,0.9,ocsvm,0.616,0.08,0.0266666666666667,0.868571428571429,0.04,0.247420293220118
