e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,0.501,0,NaN,0.501,0,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.5,0,NaN,0.5,0,NaN
0,0.5,rrcforest,0.5,0,NaN,0.5,0,NaN
0,0.5,ocsvm,0.5,0,NaN,0.5,0,NaN
0,0.75,kMRCD,0.772,0,NaN,0.772,0,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.752,0,NaN,0.752,0,NaN
0,0.75,rrcforest,0.75,0,NaN,0.75,0,NaN
0,0.75,ocsvm,0.75,0,NaN,0.75,0,NaN
0,0.9,kMRCD,0.916,0,NaN,0.916,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.901,0,NaN,0.901,0,NaN
0,0.9,rrcforest,0.9,0,NaN,0.9,0,NaN
0,0.9,ocsvm,0.9,0,NaN,0.9,0,NaN
0.1,0.5,kMRCD,0.596,0.196,0.98,0.553333333333333,0.326666666666667,0.17843009370662
0.1,0.5,lof,0.412,0.012,0.06,0.451111111111111,0.02,0.0576449976573192
0.1,0.5,iforest,0.464,0.0622489959839357,0.31,0.481111111111111,0.103678929765886,0.0774980442040005
0.1,0.5,rrcforest,0.472,0.072,0.36,0.484444444444444,0.12,0.0772905876890425
0.1,0.5,ocsvm,0.514,0.114,0.57,0.507777777777778,0.19,0.0961415425249458
0.1,0.75,kMRCD,0.663,0.00829875518672199,0.02,0.734444444444444,0.0117302052785924,0.059569394172479
0.1,0.75,lof,0.654,0.008,0.02,0.724444444444444,0.0114285714285714,0.0576449976573192
0.1,0.75,iforest,0.656,0.012,0.03,0.725555555555556,0.0171428571428571,0.0747285082591471
0.1,0.75,rrcforest,0.68,0.06,0.15,0.738888888888889,0.0857142857142857,0.086284527797427
0.1,0.75,ocsvm,0.67,0.04,0.1,0.733333333333333,0.0571428571428571,0.0928386429202187
0.1,0.9,kMRCD,0.81,0.05,0.05,0.894444444444444,0.05,0.0604508181195747
0.1,0.9,lof,0.804,0.02,0.02,0.891111111111111,0.02,0.0576449976573192
0.1,0.9,iforest,0.803,0,0,0.892222222222222,0,0.0744491628272143
0.1,0.9,rrcforest,0.81,0.05,0.05,0.894444444444444,0.05,0.0776173503220092
0.1,0.9,ocsvm,0.806,0.03,0.03,0.892222222222222,0.03,0.0973313812266014
0.2,0.5,kMRCD,0.693,0.392354124748491,0.975,0.6225,0.559540889526542,0.320890793408167
0.2,0.5,lof,0.34,0.04,0.1,0.4,0.0571428571428571,0.120426747731919
0.2,0.5,iforest,0.423,0.120724346076459,0.3,0.45375,0.172166427546628,0.142775870329872
0.2,0.5,rrcforest,0.424,0.124,0.31,0.4525,0.177142857142857,0.14315934741029
0.2,0.5,ocsvm,0.502,0.202,0.505,0.50125,0.288571428571429,0.183615086358154
0.2,0.75,kMRCD,0.8,NaN,0,1,0,0.115064687010796
0.2,0.75,lof,0.556,0.012,0.015,0.69125,0.0133333333333333,0.120426747731919
0.2,0.75,iforest,0.575,0.037037037037037,0.045,0.7075,0.0406320541760722,0.128323741153151
0.2,0.75,rrcforest,0.562,0.024,0.03,0.695,0.0266666666666667,0.1253729618772
0.2,0.75,ocsvm,0.612,0.124,0.155,0.72625,0.137777777777778,0.188117217211413
0.2,0.9,kMRCD,0.705,0.0202020202020202,0.01,0.87875,0.0133779264214047,0.115338778708848
0.2,0.9,lof,0.704,0.02,0.01,0.8775,0.0133333333333333,0.120426747731919
0.2,0.9,iforest,0.703,0,0,0.87875,0,0.12300099684067
0.2,0.9,rrcforest,0.704,0.02,0.01,0.8775,0.0133333333333333,0.141709529664321
0.2,0.9,ocsvm,0.706,0.03,0.015,0.87875,0.02,0.173167687330365
0.3,0.5,kMRCD,0.695,0,0,0.992857142857143,0,0.325143877072972
0.3,0.5,lof,0.284,0.084,0.14,0.345714285714286,0.105,0.188367063914242
0.3,0.5,iforest,0.3,0.0983935742971888,0.163333333333333,0.358571428571429,0.12280701754386,0.1865805931076
0.3,0.5,rrcforest,0.348,0.148,0.246666666666667,0.391428571428571,0.185,0.202506129769379
0.3,0.5,ocsvm,0.45,0.25,0.416666666666667,0.464285714285714,0.3125,0.245460487757966
0.3,0.75,kMRCD,0.7,NaN,0,1,0,0.173924914114798
0.3,0.75,lof,0.466,0.032,0.0266666666666667,0.654285714285714,0.0290909090909091,0.188367063914242
0.3,0.75,iforest,0.464,0.0241935483870968,0.02,0.654285714285714,0.0218978102189781,0.189460541600359
0.3,0.75,rrcforest,0.498,0.096,0.08,0.677142857142857,0.0872727272727273,0.204688940223062
0.3,0.75,ocsvm,0.504,0.108,0.09,0.681428571428571,0.0981818181818182,0.244379459920316
0.3,0.9,kMRCD,0.685,0,0,0.978571428571429,0,0.174534354218655
0.3,0.9,lof,0.612,0.06,0.02,0.865714285714286,0.03,0.188367063914242
0.3,0.9,iforest,0.6,0,0,0.857142857142857,0,0.177306830897226
0.3,0.9,rrcforest,0.604,0.02,0.00666666666666667,0.86,0.01,0.204438553772332
0.3,0.9,ocsvm,0.606,0.03,0.01,0.861428571428571,0.015,0.241139873968148
