e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,1,NaN,NaN,1,NaN,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.5,0,NaN,0.5,0,NaN
0,0.75,kMRCD,1,NaN,NaN,1,NaN,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.75,0,NaN,0.75,0,NaN
0,0.9,kMRCD,0.991,0,NaN,0.991,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.901,0,NaN,0.901,0,NaN
0.1,0.5,kMRCD,0.9,NaN,0,1,0,0.052695473314785
0.1,0.5,lof,0.418,0.018,0.09,0.454444444444444,0.03,0.0553392129309598
0.1,0.5,iforest,0.404,0,0,0.448888888888889,0,0.0524407853315735
0.1,0.75,kMRCD,0.899,0,0,0.998888888888889,0,0.0615169224256999
0.1,0.75,lof,0.656,0.012,0.03,0.725555555555556,0.0171428571428571,0.0589237523257623
0.1,0.75,iforest,0.654,0.008,0.02,0.724444444444444,0.0114285714285714,0.0643966497242836
0.1,0.9,kMRCD,0.887,0,0,0.985555555555556,0,0.0651591660572427
0.1,0.9,lof,0.8,0,0,0.888888888888889,0,0.0584808108483882
0.1,0.9,iforest,0.8,0,0,0.888888888888889,0,0.0666432014410114
0.2,0.5,kMRCD,0.8,NaN,0,1,0,0.107689316532951
0.2,0.5,lof,0.338,0.038,0.095,0.39875,0.0542857142857143,0.11309269812083
0.2,0.5,iforest,0.301,0,0,0.37625,0,0.107628586202402
0.2,0.75,kMRCD,0.8,NaN,0,1,0,0.118132871836449
0.2,0.75,lof,0.568,0.036,0.045,0.69875,0.04,0.114383811937888
0.2,0.75,iforest,0.555,0.00803212851405622,0.01,0.69125,0.0089086859688196,0.1236260592112
0.2,0.9,kMRCD,0.791,0,0,0.98875,0,0.120236389373996
0.2,0.9,lof,0.702,0.01,0.005,0.87625,0.00666666666666667,0.115047819040171
0.2,0.9,iforest,0.706,0,0,0.8825,0,0.124174626141018
0.3,0.5,kMRCD,0.7,NaN,0,1,0,0.170209252158989
0.3,0.5,lof,0.338,0.138,0.23,0.384285714285714,0.1725,0.216473079415007
0.3,0.5,iforest,0.227,0.0260521042084168,0.0433333333333333,0.305714285714286,0.032540675844806,0.174000435555359
0.3,0.75,kMRCD,0.7,NaN,0,1,0,0.173893597369407
0.3,0.75,lof,0.519,0.136546184738956,0.113333333333333,0.692857142857143,0.123861566484517,0.209957342806773
0.3,0.75,iforest,0.457,0.0120481927710843,0.01,0.648571428571429,0.0109289617486339,0.180526118359749
0.3,0.9,kMRCD,0.695,0,0,0.992857142857143,0,0.177974094106802
0.3,0.9,lof,0.624,0.12,0.04,0.874285714285714,0.06,0.19658928901145
0.3,0.9,iforest,0.602,0.01,0.00333333333333333,0.858571428571429,0.005,0.181279655360006
