accuracy,precision,sensitivity,specificity,f1Score,aucpr,name,iteration
0.699,0,0,0.998571428571429,0,0.173410121798899,kMRCD,1
0.374,0.174,0.29,0.41,0.2175,0.21972423186273,lof,1
0.362,0.159274193548387,0.263333333333333,0.404285714285714,0.198492462311558,0.203314616380191,iforest,1
0.7,NaN,0,1,0,0.174318483649155,kMRCD,2
0.385,0.18436873747495,0.306666666666667,0.418571428571429,0.230287859824781,0.219835949551069,lof,2
0.364,0.164,0.273333333333333,0.402857142857143,0.205,0.200870894327324,iforest,2
0.698,0,0,0.997142857142857,0,0.174719593425229,kMRCD,3
0.382,0.182,0.303333333333333,0.415714285714286,0.2275,0.216517272910512,lof,3
0.357,0.154929577464789,0.256666666666667,0.4,0.193224592220828,0.201699011520111,iforest,3
0.695,0,0,0.992857142857143,0,0.174832608262335,kMRCD,4
0.342,0.142,0.236666666666667,0.387142857142857,0.1775,0.199243486600277,lof,4
0.361,0.160320641282565,0.266666666666667,0.401428571428571,0.200250312891114,0.204409883816374,iforest,4
0.7,NaN,0,1,0,0.174142152724942,kMRCD,5
0.37,0.17,0.283333333333333,0.407142857142857,0.2125,0.221606111613867,lof,5
0.355,0.152917505030181,0.253333333333333,0.398571428571429,0.190715181932246,0.200641531171491,iforest,5
0.698,0,0,0.997142857142857,0,0.174894964982599,kMRCD,6
0.366,0.166,0.276666666666667,0.404285714285714,0.2075,0.206528852541672,lof,6
0.33,0.13,0.216666666666667,0.378571428571429,0.1625,0.193397428236781,iforest,6
0.697,0,0,0.995714285714286,0,0.175639405226996,kMRCD,7
0.358,0.158,0.263333333333333,0.398571428571429,0.1975,0.208561084965237,lof,7
0.393,0.191146881287726,0.316666666666667,0.425714285714286,0.238393977415307,0.218003959016859,iforest,7
0.698,0,0,0.997142857142857,0,0.178422236699236,kMRCD,8
0.364,0.164,0.273333333333333,0.402857142857143,0.205,0.212709109515441,lof,8
0.326,0.124497991967871,0.206666666666667,0.377142857142857,0.155388471177945,0.193659064356622,iforest,8
0.7,NaN,0,1,0,0.173541958032066,kMRCD,9
0.358,0.158,0.263333333333333,0.398571428571429,0.1975,0.208761305474152,lof,9
0.33,0.13,0.216666666666667,0.378571428571429,0.1625,0.195727965785792,iforest,9
0.7,NaN,0,1,0,0.173943698908285,kMRCD,10
0.364,0.164,0.273333333333333,0.402857142857143,0.205,0.196578946192307,lof,10
0.36,0.15863453815261,0.263333333333333,0.401428571428571,0.197994987468672,0.204635015011101,iforest,10
0.697,0,0,0.995714285714286,0,0.176133558069537,kMRCD,11
0.382,0.182,0.303333333333333,0.415714285714286,0.2275,0.222882845645505,lof,11
0.344,0.144,0.24,0.388571428571429,0.18,0.200325105408112,iforest,11
0.7,NaN,0,1,0,0.188786306401394,kMRCD,12
0.358,0.158,0.263333333333333,0.398571428571429,0.1975,0.218003153815875,lof,12
