accuracy,precision,sensitivity,specificity,f1Score,aucpr,name,iteration
0.691,0.0836653386454183,0.21,0.744444444444444,0.11965811965812,0.0836395159668402,kMRCD,1
0.682,0.064,0.16,0.74,0.0914285714285714,0.0796204884484411,lof,1
0.678,0.056,0.14,0.737777777777778,0.08,0.0772490891134095,iforest,1
0.688,0.0826771653543307,0.21,0.741111111111111,0.11864406779661,0.0866680885708074,kMRCD,2
0.682,0.064,0.16,0.74,0.0914285714285714,0.0851876182257947,lof,2
0.7,0.1,0.25,0.75,0.142857142857143,0.112016485576305,iforest,2
0.672,0.0511811023622047,0.13,0.732222222222222,0.0734463276836158,0.0729766344568265,kMRCD,3
0.672,0.044,0.11,0.734444444444444,0.0628571428571429,0.07607318166786,lof,3
0.702,0.104,0.26,0.751111111111111,0.148571428571429,0.0936840360311305,iforest,3
0.698,0.102362204724409,0.26,0.746666666666667,0.146892655367232,0.0868467009702954,kMRCD,4
0.672,0.044,0.11,0.734444444444444,0.0628571428571429,0.0765524139775397,lof,4
0.706,0.102459016393443,0.25,0.756666666666667,0.145348837209302,0.0991334386553422,iforest,4
0.687,0.0790513833992095,0.2,0.741111111111111,0.113314447592068,0.0836303472448179,kMRCD,5
0.688,0.076,0.19,0.743333333333333,0.108571428571429,0.0892863066338022,lof,5
0.709,0.11336032388664,0.28,0.756666666666667,0.161383285302594,0.0904163446175664,iforest,5
0.685,0.075098814229249,0.19,0.74,0.107648725212465,0.0822275519121043,kMRCD,6
0.686,0.072,0.18,0.742222222222222,0.102857142857143,0.0879620284107304,lof,6
0.696,0.092,0.23,0.747777777777778,0.131428571428571,0.0926506459530205,iforest,6
0.757,0.109289617486339,0.2,0.818888888888889,0.141342756183746,0.096368702641927,kMRCD,7
0.69,0.08,0.2,0.744444444444444,0.114285714285714,0.0889353941507648,lof,7
0.713,0.121457489878543,0.3,0.758888888888889,0.172910662824208,0.113233753824751,iforest,7
0.688,0.0826771653543307,0.21,0.741111111111111,0.11864406779661,0.0821307755724036,kMRCD,8
0.678,0.056,0.14,0.737777777777778,0.08,0.0760002424741078,lof,8
0.685,0.0647773279352227,0.16,0.743333333333333,0.0922190201729107,0.0853098108513685,iforest,8
0.693,0.0909090909090909,0.23,0.744444444444444,0.130311614730878,0.088319338838006,kMRCD,9
0.682,0.064,0.16,0.74,0.0914285714285714,0.0853503643817625,lof,9
0.706,0.108870967741935,0.27,0.754444444444444,0.155172413793103,0.103056225471679,iforest,9
0.695,0.0948616600790514,0.24,0.745555555555556,0.135977337110482,0.0918220934678853,kMRCD,10
0.686,0.072,0.18,0.742222222222222,0.102857142857143,0.0880402943458757,lof,10
0.701,0.100401606425703,0.25,0.751111111111111,0.143266475644699,0.101967276998272,iforest,10
0.682,0.0674603174603175,0.17,0.738888888888889,0.0965909090909091,0.0801503945721204,kMRCD,11
0.688,0.076,0.19,0.743333333333333,0.108571428571429,0.0864723063562134,lof,11
0.694,0.0708333333333333,0.17,0.752222222222222,0.1,0.0948531544604878,iforest,11
0.694,0.094488188976378,0.24,0.744444444444444,0.135593220338983,0.0918338552202525,kMRCD,12
0.698,0.096,0.24,0.748888888888889,0.137142857142857,0.0926232514302581,lof,12
0.684,0.0645161290322581,0.16,0.742222222222222,0.0919540229885057,0.086712408576955,iforest,12
0.698,0.0992063492063492,0.25,0.747777777777778,0.142045454545455,0.0878536194054963,kMRCD,13
0.68,0.06,0.15,0.738888888888889,0.0857142857142857,0.0796463010423055,lof,13
0.71,0.104166666666667,0.25,0.761111111111111,0.147058823529412,0.0989242573301794,iforest,13
0.683,0.0677290836653386,0.17,0.74,0.0968660968660969,0.0780095748900591,kMRCD,14
0.692,0.084,0.21,0.745555555555556,0.12,0.0869383767565735,lof,14
0.686,0.0614754098360656,0.15,0.745555555555556,0.0872093023255814,0.0847401709069131,iforest,14
0.69,0.0833333333333333,0.21,0.743333333333333,0.119318181818182,0.0825640938756092,kMRCD,15
0.672,0.044,0.11,0.734444444444444,0.0628571428571429,0.0830532522663813,lof,15
0.686,0.072,0.18,0.742222222222222,0.102857142857143,0.0808483708309908,iforest,15
0.69,0.08,0.2,0.744444444444444,0.114285714285714,0.0840290242934124,kMRCD,16
0.684,0.068,0.17,0.741111111111111,0.0971428571428571,0.0807412322141109,lof,16
0.691,0.0769230769230769,0.19,0.746666666666667,0.109510086455331,0.0896563017347497,iforest,16
0.679,0.0632411067193676,0.16,0.736666666666667,0.0906515580736544,0.0812691864352898,kMRCD,17
0.694,0.088,0.22,0.746666666666667,0.125714285714286,0.0909913433616962,lof,17
0.693,0.0843373493975904,0.21,0.746666666666667,0.120343839541547,0.0917214370741671,iforest,17
0.681,0.0671936758893281,0.17,0.737777777777778,0.0963172804532578,0.0821796352372499,kMRCD,18
0.688,0.076,0.19,0.743333333333333,0.108571428571429,0.0875221329721858,lof,18
0.708,0.10655737704918,0.26,0.757777777777778,0.151162790697674,0.111819822233378,iforest,18
0.691,0.0869565217391304,0.22,0.743333333333333,0.124645892351275,0.0834936469665012,kMRCD,19
0.68,0.06,0.15,0.738888888888889,0.0857142857142857,0.0779890279258414,lof,19
0.687,0.0653061224489796,0.16,0.745555555555556,0.0927536231884058,0.0813324481262785,iforest,19
0.693,0.0941176470588235,0.24,0.743333333333333,0.135211267605634,0.083922647376783,kMRCD,20
0.68,0.06,0.15,0.738888888888889,0.0857142857142857,0.0783014849167239,lof,20
0.704,0.0983606557377049,0.24,0.755555555555556,0.13953488372093,0.097075149007105,iforest,20
