e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,0.498,0,NaN,0.498,0,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.505,0,NaN,0.505,0,NaN
0,0.5,rrcforest,0.5,0,NaN,0.5,0,NaN
0,0.5,ocsvm,0.5,0,NaN,0.5,0,NaN
0,0.75,kMRCD,0.75,0,NaN,0.75,0,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.754,0,NaN,0.754,0,NaN
0,0.75,rrcforest,0.75,0,NaN,0.75,0,NaN
0,0.75,ocsvm,0.75,0,NaN,0.75,0,NaN
0,0.9,kMRCD,0.899,0,NaN,0.899,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.9,0,NaN,0.9,0,NaN
0,0.9,rrcforest,0.9,0,NaN,0.9,0,NaN
0,0.9,ocsvm,0.9,0,NaN,0.9,0,NaN
0.1,0.5,kMRCD,0.476,0.076,0.38,0.486666666666667,0.126666666666667,0.0711722403087262
0.1,0.5,lof,0.464,0.064,0.32,0.48,0.106666666666667,0.070841980710942
0.1,0.5,iforest,0.5,0.0967741935483871,0.48,0.502222222222222,0.161073825503356,0.0888279631371831
0.1,0.5,rrcforest,0.506,0.106,0.53,0.503333333333333,0.176666666666667,0.0963375547301785
0.1,0.5,ocsvm,0.47,0.07,0.35,0.483333333333333,0.116666666666667,0.0771540058308312
0.1,0.75,kMRCD,0.687,0.0756972111553785,0.19,0.742222222222222,0.108262108262108,0.0739560561570756
0.1,0.75,lof,0.676,0.052,0.13,0.736666666666667,0.0742857142857143,0.070841980710942
0.1,0.75,iforest,0.688,0.076,0.19,0.743333333333333,0.108571428571429,0.0831698237345606
0.1,0.75,rrcforest,0.694,0.088,0.22,0.746666666666667,0.125714285714286,0.089598069624201
0.1,0.75,ocsvm,0.672,0.044,0.11,0.734444444444444,0.0628571428571429,0.0711231188359919
0.1,0.9,kMRCD,0.811,0.0679611650485437,0.07,0.893333333333333,0.0689655172413793,0.0725772296111884
0.1,0.9,lof,0.804,0.02,0.02,0.891111111111111,0.02,0.070841980710942
0.1,0.9,iforest,0.81,0.0408163265306122,0.04,0.895555555555556,0.0404040404040404,0.0767646910307334
0.1,0.9,rrcforest,0.826,0.13,0.13,0.903333333333333,0.13,0.108061800123461
0.1,0.9,ocsvm,0.804,0.02,0.02,0.891111111111111,0.02,0.0755141614236294
0.2,0.5,kMRCD,0.46,0.161354581673307,0.405,0.47375,0.230769230769231,0.149766145482239
0.2,0.5,lof,0.44,0.14,0.35,0.4625,0.2,0.149884081572329
0.2,0.5,iforest,0.476,0.174698795180723,0.435,0.48625,0.249283667621777,0.172175459681779
0.2,0.5,rrcforest,0.492,0.192,0.48,0.495,0.274285714285714,0.190134917356464
0.2,0.5,ocsvm,0.466,0.166,0.415,0.47875,0.237142857142857,0.167299844580524
0.2,0.75,kMRCD,0.629,0.159362549800797,0.2,0.73625,0.177383592017738,0.156670368228915
0.2,0.75,lof,0.604,0.108,0.135,0.72125,0.12,0.149884081572329
0.2,0.75,iforest,0.609,0.11336032388664,0.14,0.72625,0.125279642058166,0.15965659189349
0.2,0.75,rrcforest,0.632,0.164,0.205,0.73875,0.182222222222222,0.189207584664467
0.2,0.75,ocsvm,0.62,0.14,0.175,0.73125,0.155555555555556,0.164422654670606
0.2,0.9,kMRCD,0.745,0.227722772277228,0.115,0.9025,0.152823920265781,0.169140027892385
0.2,0.9,lof,0.718,0.09,0.045,0.88625,0.06,0.149884081572329
0.2,0.9,iforest,0.728,0.14,0.07,0.8925,0.0933333333333333,0.179171785622749
0.2,0.9,rrcforest,0.736,0.18,0.09,0.8975,0.12,0.189461023504988
0.2,0.9,ocsvm,0.728,0.14,0.07,0.8925,0.0933333333333333,0.172635341256901
0.3,0.5,kMRCD,0.443,0.243512974051896,0.406666666666667,0.458571428571429,0.304619225967541,0.222679947893668
0.3,0.5,lof,0.392,0.192,0.32,0.422857142857143,0.24,0.217206921148476
0.3,0.5,iforest,0.442,0.238866396761134,0.393333333333333,0.462857142857143,0.297229219143577,0.241974149028923
0.3,0.5,rrcforest,0.448,0.248,0.413333333333333,0.462857142857143,0.31,0.253222866998651
0.3,0.5,ocsvm,0.458,0.258,0.43,0.47,0.3225,0.250277496176778
0.3,0.75,kMRCD,0.567,0.235059760956175,0.196666666666667,0.725714285714286,0.214156079854809,0.23015481262172
0.3,0.75,lof,0.514,0.128,0.106666666666667,0.688571428571429,0.116363636363636,0.217206921148476
0.3,0.75,iforest,0.538,0.176,0.146666666666667,0.705714285714286,0.16,0.245747905800998
0.3,0.75,rrcforest,0.564,0.228,0.19,0.724285714285714,0.207272727272727,0.259410030533637
0.3,0.75,ocsvm,0.554,0.208,0.173333333333333,0.717142857142857,0.189090909090909,0.247252665264431
0.3,0.9,kMRCD,0.66,0.303921568627451,0.103333333333333,0.898571428571429,0.154228855721393,0.24366047087479
0.3,0.9,lof,0.622,0.11,0.0366666666666667,0.872857142857143,0.055,0.217206921148476
0.3,0.9,iforest,0.641,0.195876288659794,0.0633333333333333,0.888571428571429,0.0957178841309824,0.246984390629955
0.3,0.9,rrcforest,0.636,0.18,0.06,0.882857142857143,0.09,0.247070865153999
0.3,0.9,ocsvm,0.638,0.19,0.0633333333333333,0.884285714285714,0.095,0.252385725752248
