e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,0.499,0,NaN,0.499,0,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.5,0,NaN,0.5,0,NaN
0,0.5,rrcforest,0.5,0,NaN,0.5,0,NaN
0,0.5,ocsvm,0.5,0,NaN,0.5,0,NaN
0,0.75,kMRCD,0.749,0,NaN,0.749,0,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.752,0,NaN,0.752,0,NaN
0,0.75,rrcforest,0.75,0,NaN,0.75,0,NaN
0,0.75,ocsvm,0.75,0,NaN,0.75,0,NaN
0,0.9,kMRCD,0.899,0,NaN,0.899,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.901,0,NaN,0.901,0,NaN
0,0.9,rrcforest,0.9,0,NaN,0.9,0,NaN
0,0.9,ocsvm,0.9,0,NaN,0.9,0,NaN
0.1,0.5,kMRCD,0.48,0.0816733067729084,0.41,0.487777777777778,0.136212624584718,0.0780727593588527
0.1,0.5,lof,0.47,0.07,0.35,0.483333333333333,0.116666666666667,0.0810134203249541
0.1,0.5,iforest,0.491,0.0851926977687627,0.42,0.498888888888889,0.141652613827993,0.082815620745189
0.1,0.5,rrcforest,0.498,0.098,0.49,0.498888888888889,0.163333333333333,0.0939217403892662
0.1,0.5,ocsvm,0.484,0.084,0.42,0.491111111111111,0.14,0.0810369016861393
0.1,0.75,kMRCD,0.691,0.0836653386454183,0.21,0.744444444444444,0.11965811965812,0.0835181668327796
0.1,0.75,lof,0.68,0.06,0.15,0.738888888888889,0.0857142857142857,0.0810134203249541
0.1,0.75,iforest,0.685,0.0647773279352227,0.16,0.743333333333333,0.0922190201729107,0.0810381562704602
0.1,0.75,rrcforest,0.702,0.104,0.26,0.751111111111111,0.148571428571429,0.103910906958086
0.1,0.75,ocsvm,0.686,0.072,0.18,0.742222222222222,0.102857142857143,0.079795248634041
0.1,0.9,kMRCD,0.817,0.0891089108910891,0.09,0.897777777777778,0.0895522388059701,0.0830462997981925
0.1,0.9,lof,0.818,0.09,0.09,0.898888888888889,0.09,0.0810134203249541
0.1,0.9,iforest,0.815,0.0707070707070707,0.07,0.897777777777778,0.0703517587939698,0.0884070099316029
0.1,0.9,rrcforest,0.816,0.08,0.08,0.897777777777778,0.08,0.0893905661402168
0.1,0.9,ocsvm,0.812,0.06,0.06,0.895555555555556,0.06,0.0777237748171752
0.2,0.5,kMRCD,0.472,0.172,0.43,0.4825,0.245714285714286,0.153224937659409
0.2,0.5,lof,0.432,0.132,0.33,0.4575,0.188571428571429,0.145981656407118
0.2,0.5,iforest,0.463,0.158215010141988,0.39,0.48125,0.225108225108225,0.158911179318121
0.2,0.5,rrcforest,0.494,0.194,0.485,0.49625,0.277142857142857,0.183072359975082
0.2,0.5,ocsvm,0.472,0.172,0.43,0.4825,0.245714285714286,0.166360062169187
0.2,0.75,kMRCD,0.642,0.184,0.23,0.745,0.204444444444444,0.164519695001086
0.2,0.75,lof,0.596,0.092,0.115,0.71625,0.102222222222222,0.145981656407118
0.2,0.75,iforest,0.628,0.150406504065041,0.185,0.73875,0.165919282511211,0.17117163224972
0.2,0.75,rrcforest,0.636,0.172,0.215,0.74125,0.191111111111111,0.20650190356841
0.2,0.75,ocsvm,0.61,0.12,0.15,0.725,0.133333333333333,0.171891861175705
0.2,0.9,kMRCD,0.736,0.18,0.09,0.8975,0.12,0.159515288282341
0.2,0.9,lof,0.714,0.07,0.035,0.88375,0.0466666666666667,0.145981656407118
0.2,0.9,iforest,0.715,0.0618556701030928,0.03,0.88625,0.0404040404040404,0.164578618197269
0.2,0.9,rrcforest,0.736,0.18,0.09,0.8975,0.12,0.180036482016588
0.2,0.9,ocsvm,0.712,0.06,0.03,0.8825,0.04,0.165264438384618
0.3,0.5,kMRCD,0.439,0.239520958083832,0.4,0.455714285714286,0.299625468164794,0.223594433779462
0.3,0.5,lof,0.424,0.224,0.373333333333333,0.445714285714286,0.28,0.223468976147703
0.3,0.5,iforest,0.462,0.261044176706827,0.433333333333333,0.474285714285714,0.325814536340852,0.247645535809258
0.3,0.5,rrcforest,0.448,0.248,0.413333333333333,0.462857142857143,0.31,0.248760711231237
0.3,0.5,ocsvm,0.446,0.246,0.41,0.461428571428571,0.3075,0.241187843707624
0.3,0.75,kMRCD,0.569,0.239043824701195,0.2,0.727142857142857,0.217785843920145,0.23257110196734
0.3,0.75,lof,0.508,0.116,0.0966666666666667,0.684285714285714,0.105454545454545,0.223468976147703
0.3,0.75,iforest,0.585,0.269076305220884,0.223333333333333,0.74,0.24408014571949,0.270620630857903
0.3,0.75,rrcforest,0.58,0.26,0.216666666666667,0.735714285714286,0.236363636363636,0.260445225900501
0.3,0.75,ocsvm,0.548,0.196,0.163333333333333,0.712857142857143,0.178181818181818,0.243166511130225
0.3,0.9,kMRCD,0.653,0.271844660194175,0.0933333333333333,0.892857142857143,0.138957816377171,0.240843754183963
0.3,0.9,lof,0.61,0.05,0.0166666666666667,0.864285714285714,0.025,0.223468976147703
0.3,0.9,iforest,0.638,0.19,0.0633333333333333,0.884285714285714,0.095,0.257602692105807
0.3,0.9,rrcforest,0.65,0.25,0.0833333333333333,0.892857142857143,0.125,0.264825799275876
0.3,0.9,ocsvm,0.64,0.2,0.0666666666666667,0.885714285714286,0.1,0.252145392358011
