accuracy,precision,sensitivity,specificity,f1Score,aucpr,name,iteration
0.684,0.0714285714285714,0.18,0.74,0.102272727272727,0.078095426835204,kMRCD,1
0.676,0.052,0.13,0.736666666666667,0.0742857142857143,0.0782404220569536,lof,1
0.691,0.0803212851405622,0.2,0.745555555555556,0.114613180515759,0.0892734581453143,iforest,1
0.696,0.092,0.23,0.747777777777778,0.131428571428571,0.0835360940847995,kMRCD,2
0.678,0.056,0.14,0.737777777777778,0.08,0.079976663944768,lof,2
0.703,0.0946502057613169,0.23,0.755555555555556,0.134110787172012,0.0891725014886521,iforest,2
0.69,0.08,0.2,0.744444444444444,0.114285714285714,0.0799461154683029,kMRCD,3
0.67,0.04,0.1,0.733333333333333,0.0571428571428571,0.0758113380237019,lof,3
0.682,0.064,0.16,0.74,0.0914285714285714,0.0815768598254958,iforest,3
0.696,0.092,0.23,0.747777777777778,0.131428571428571,0.0799378329187316,kMRCD,4
0.674,0.048,0.12,0.735555555555556,0.0685714285714286,0.0745374075653678,lof,4
0.674,0.048,0.12,0.735555555555556,0.0685714285714286,0.0763104384920272,iforest,4
0.693,0.0876494023904383,0.22,0.745555555555556,0.125356125356125,0.0788738046336726,kMRCD,5
0.672,0.044,0.11,0.734444444444444,0.0628571428571429,0.0767426217238675,lof,5
0.676,0.052,0.13,0.736666666666667,0.0742857142857143,0.0779114479616574,iforest,5
0.694,0.088,0.22,0.746666666666667,0.125714285714286,0.0810095286302632,kMRCD,6
0.672,0.044,0.11,0.734444444444444,0.0628571428571429,0.0720003653567496,lof,6
0.694,0.0813008130081301,0.2,0.748888888888889,0.115606936416185,0.0836768403191719,iforest,6
0.688,0.076,0.19,0.743333333333333,0.108571428571429,0.0781064176708211,kMRCD,7
0.68,0.06,0.15,0.738888888888889,0.0857142857142857,0.07342907961951,lof,7
0.691,0.073469387755102,0.18,0.747777777777778,0.104347826086957,0.0860257181815292,iforest,7
0.68,0.0634920634920635,0.16,0.737777777777778,0.0909090909090909,0.0726027903778072,kMRCD,8
0.668,0.036,0.09,0.732222222222222,0.0514285714285714,0.0701511417455405,lof,8
0.691,0.0803212851405622,0.2,0.745555555555556,0.114613180515759,0.0951021543539244,iforest,8
0.698,0.096,0.24,0.748888888888889,0.137142857142857,0.0860981964936078,kMRCD,9
0.672,0.044,0.11,0.734444444444444,0.0628571428571429,0.0737364651706347,lof,9
0.69,0.08,0.2,0.744444444444444,0.114285714285714,0.0840817325922551,iforest,9
0.677,0.0557768924302789,0.14,0.736666666666667,0.0797720797720798,0.0761029254199334,kMRCD,10
0.684,0.068,0.17,0.741111111111111,0.0971428571428571,0.0858836566672276,lof,10
0.693,0.0843373493975904,0.21,0.746666666666667,0.120343839541547,0.0928699986291139,iforest,10
0.686,0.072,0.18,0.742222222222222,0.102857142857143,0.0747316400827708,kMRCD,11
0.67,0.04,0.1,0.733333333333333,0.0571428571428571,0.0749908336955593,lof,11
0.696,0.0819672131147541,0.2,0.751111111111111,0.116279069767442,0.0850152197215584,iforest,11
0.678,0.0595238095238095,0.15,0.736666666666667,0.0852272727272727,0.075872151424786,kMRCD,12
0.678,0.056,0.14,0.737777777777778,0.08,0.0805773739011381,lof,12
0.688,0.076,0.19,0.743333333333333,0.108571428571429,0.0875499223206143,iforest,12
0.705,0.111553784860558,0.28,0.752222222222222,0.15954415954416,0.0853752734734038,kMRCD,13
0.676,0.052,0.13,0.736666666666667,0.0742857142857143,0.0732808087224481,lof,13
0.673,0.0441767068273092,0.11,0.735555555555556,0.0630372492836676,0.0763537004198637,iforest,13
0.695,0.0916334661354582,0.23,0.746666666666667,0.131054131054131,0.0812886082234165,kMRCD,14
0.674,0.048,0.12,0.735555555555556,0.0685714285714286,0.0704292644823047,lof,14
0.686,0.0614754098360656,0.15,0.745555555555556,0.0872093023255814,0.0824028084124131,iforest,14
0.685,0.0717131474103586,0.18,0.741111111111111,0.102564102564103,0.0754675867376077,kMRCD,15
