e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,0.499,0,NaN,0.499,0,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.5,0,NaN,0.5,0,NaN
0,0.5,rrcforest,0.5,0,NaN,0.5,0,NaN
0,0.5,ocsvm,0.5,0,NaN,0.5,0,NaN
0,0.75,kMRCD,0.75,0,NaN,0.75,0,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.753,0,NaN,0.753,0,NaN
0,0.75,rrcforest,0.75,0,NaN,0.75,0,NaN
0,0.75,ocsvm,0.75,0,NaN,0.75,0,NaN
0,0.9,kMRCD,0.9,0,NaN,0.9,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.901,0,NaN,0.901,0,NaN
0,0.9,rrcforest,0.9,0,NaN,0.9,0,NaN
0,0.9,ocsvm,0.9,0,NaN,0.9,0,NaN
0.1,0.5,kMRCD,0.496,0.096,0.48,0.497777777777778,0.16,0.0922678625274659
0.1,0.5,lof,0.488,0.088,0.44,0.493333333333333,0.146666666666667,0.0840428941976121
0.1,0.5,iforest,0.489,0.0848484848484849,0.42,0.496666666666667,0.141176470588235,0.0895572426824857
0.1,0.5,rrcforest,0.474,0.074,0.37,0.485555555555556,0.123333333333333,0.0851331442671887
0.1,0.5,ocsvm,0.486,0.086,0.43,0.492222222222222,0.143333333333333,0.0894543437003661
0.1,0.75,kMRCD,0.682,0.064,0.16,0.74,0.0914285714285714,0.0847572408048221
0.1,0.75,lof,0.684,0.068,0.17,0.741111111111111,0.0971428571428571,0.0840428941976121
0.1,0.75,iforest,0.692,0.084,0.21,0.745555555555556,0.12,0.091892295988093
0.1,0.75,rrcforest,0.694,0.088,0.22,0.746666666666667,0.125714285714286,0.09351452344309
0.1,0.75,ocsvm,0.678,0.056,0.14,0.737777777777778,0.08,0.0913580469036607
0.1,0.9,kMRCD,0.816,0.08,0.08,0.897777777777778,0.08,0.0883225263500835
0.1,0.9,lof,0.816,0.08,0.08,0.897777777777778,0.08,0.0840428941976121
0.1,0.9,iforest,0.812,0.0416666666666667,0.04,0.897777777777778,0.0408163265306122,0.0827717748702886
0.1,0.9,rrcforest,0.82,0.1,0.1,0.9,0.1,0.087292189138129
0.1,0.9,ocsvm,0.812,0.06,0.06,0.895555555555556,0.06,0.0901252263720056
0.2,0.5,kMRCD,0.492,0.192,0.48,0.495,0.274285714285714,0.17501144699219
0.2,0.5,lof,0.466,0.166,0.415,0.47875,0.237142857142857,0.165559050930683
0.2,0.5,iforest,0.48,0.17741935483871,0.44,0.49,0.252873563218391,0.176816792698819
0.2,0.5,rrcforest,0.488,0.188,0.47,0.4925,0.268571428571429,0.19853718418131
0.2,0.5,ocsvm,0.476,0.176,0.44,0.485,0.251428571428571,0.173732211134009
0.2,0.75,kMRCD,0.65,0.2,0.25,0.75,0.222222222222222,0.178442907679144
0.2,0.75,lof,0.63,0.16,0.2,0.7375,0.177777777777778,0.165559050930683
0.2,0.75,iforest,0.652,0.199186991869919,0.245,0.75375,0.219730941704036,0.187225702578511
0.2,0.75,rrcforest,0.652,0.204,0.255,0.75125,0.226666666666667,0.198960790029862
0.2,0.75,ocsvm,0.638,0.176,0.22,0.7425,0.195555555555556,0.176147136658017
0.2,0.9,kMRCD,0.736,0.18,0.09,0.8975,0.12,0.177829860514133
0.2,0.9,lof,0.72,0.1,0.05,0.8875,0.0666666666666667,0.165559050930683
0.2,0.9,iforest,0.728,0.14,0.07,0.8925,0.0933333333333333,0.183892948250958
0.2,0.9,rrcforest,0.74,0.2,0.1,0.9,0.133333333333333,0.21291891710897
0.2,0.9,ocsvm,0.724,0.12,0.06,0.89,0.08,0.174299897213549
0.3,0.5,kMRCD,0.458,0.258,0.43,0.47,0.3225,0.252344347911894
0.3,0.5,lof,0.45,0.25,0.416666666666667,0.464285714285714,0.3125,0.24626473482994
0.3,0.5,iforest,0.461,0.260521042084168,0.433333333333333,0.472857142857143,0.32540675844806,0.268830350560897
0.3,0.5,rrcforest,0.448,0.248,0.413333333333333,0.462857142857143,0.31,0.261393655204579
0.3,0.5,ocsvm,0.436,0.236,0.393333333333333,0.454285714285714,0.295,0.250817032351723
0.3,0.75,kMRCD,0.584,0.268,0.223333333333333,0.738571428571429,0.243636363636364,0.255734007668639
0.3,0.75,lof,0.558,0.216,0.18,0.72,0.196363636363636,0.24626473482994
0.3,0.75,iforest,0.572,0.244,0.203333333333333,0.73,0.221818181818182,0.247233289777643
0.3,0.75,rrcforest,0.57,0.24,0.2,0.728571428571429,0.218181818181818,0.270737709245456
0.3,0.75,ocsvm,0.568,0.236,0.196666666666667,0.727142857142857,0.214545454545455,0.256102938429945
0.3,0.9,kMRCD,0.662,0.31,0.103333333333333,0.901428571428571,0.155,0.259364862280384
0.3,0.9,lof,0.634,0.17,0.0566666666666667,0.881428571428571,0.085,0.24626473482994
0.3,0.9,iforest,0.646,0.23,0.0766666666666667,0.89,0.115,0.258684709377824
0.3,0.9,rrcforest,0.634,0.17,0.0566666666666667,0.881428571428571,0.085,0.253976520097642
0.3,0.9,ocsvm,0.642,0.21,0.07,0.887142857142857,0.105,0.252929727476544
