e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,0.5,0,NaN,0.5,0,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.502,0,NaN,0.502,0,NaN
0,0.5,rrcforest,0.5,0,NaN,0.5,0,NaN
0,0.5,ocsvm,0.5,0,NaN,0.5,0,NaN
0,0.75,kMRCD,0.751,0,NaN,0.751,0,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.752,0,NaN,0.752,0,NaN
0,0.75,rrcforest,0.75,0,NaN,0.75,0,NaN
0,0.75,ocsvm,0.75,0,NaN,0.75,0,NaN
0,0.9,kMRCD,0.92,0,NaN,0.92,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.903,0,NaN,0.903,0,NaN
0,0.9,rrcforest,0.9,0,NaN,0.9,0,NaN
0,0.9,ocsvm,0.9,0,NaN,0.9,0,NaN
0.1,0.5,kMRCD,0.496,0.096,0.48,0.497777777777778,0.16,0.0885042885629421
0.1,0.5,lof,0.494,0.094,0.47,0.496666666666667,0.156666666666667,0.0849028489610393
0.1,0.5,iforest,0.498,0.094758064516129,0.47,0.501111111111111,0.157718120805369,0.0878956823305639
0.1,0.5,rrcforest,0.478,0.078,0.39,0.487777777777778,0.13,0.082955393590499
0.1,0.5,ocsvm,0.488,0.088,0.44,0.493333333333333,0.146666666666667,0.0846453289049404
0.1,0.75,kMRCD,0.712,0.0948275862068965,0.22,0.766666666666667,0.132530120481928,0.089080080821645
0.1,0.75,lof,0.684,0.068,0.17,0.741111111111111,0.0971428571428571,0.0849028489610393
0.1,0.75,iforest,0.696,0.0887096774193548,0.22,0.748888888888889,0.126436781609195,0.0915153169639591
0.1,0.75,rrcforest,0.7,0.1,0.25,0.75,0.142857142857143,0.0970963626358897
0.1,0.75,ocsvm,0.694,0.088,0.22,0.746666666666667,0.125714285714286,0.087534279251101
0.1,0.9,kMRCD,0.829,0.0506329113924051,0.04,0.916666666666667,0.0446927374301676,0.0864812800525081
0.1,0.9,lof,0.812,0.06,0.06,0.895555555555556,0.06,0.0849028489610393
0.1,0.9,iforest,0.819,0.0824742268041237,0.08,0.901111111111111,0.0812182741116751,0.0891325562022928
0.1,0.9,rrcforest,0.814,0.07,0.07,0.896666666666667,0.07,0.0855851518237693
0.1,0.9,ocsvm,0.814,0.07,0.07,0.896666666666667,0.07,0.0871223292193099
0.2,0.5,kMRCD,0.496,0.196,0.49,0.4975,0.28,0.175459652845008
0.2,0.5,lof,0.464,0.164,0.41,0.4775,0.234285714285714,0.161208110062463
0.2,0.5,iforest,0.503,0.202404809619238,0.505,0.5025,0.28898426323319,0.195264192356578
0.2,0.5,rrcforest,0.482,0.182,0.455,0.48875,0.26,0.181678207455418
0.2,0.5,ocsvm,0.47,0.17,0.425,0.48125,0.242857142857143,0.17610936355506
0.2,0.75,kMRCD,0.647,0.174468085106383,0.205,0.7575,0.188505747126437,0.171305933679605
0.2,0.75,lof,0.614,0.128,0.16,0.7275,0.142222222222222,0.161208110062463
0.2,0.75,iforest,0.626,0.152,0.19,0.735,0.168888888888889,0.176763276199292
0.2,0.75,rrcforest,0.646,0.192,0.24,0.7475,0.213333333333333,0.198049822136858
0.2,0.75,ocsvm,0.618,0.136,0.17,0.73,0.151111111111111,0.178216622656763
0.2,0.9,kMRCD,0.738,0.130952380952381,0.055,0.90875,0.0774647887323944,0.163339959953972
0.2,0.9,lof,0.712,0.06,0.03,0.8825,0.04,0.161208110062463
0.2,0.9,iforest,0.737,0.175257731958763,0.085,0.9,0.114478114478114,0.179781750926298
0.2,0.9,rrcforest,0.728,0.14,0.07,0.8925,0.0933333333333333,0.170391758820911
0.2,0.9,ocsvm,0.736,0.18,0.09,0.8975,0.12,0.176930734854916
0.3,0.5,kMRCD,0.486,0.286,0.476666666666667,0.49,0.3575,0.25815439607696
0.3,0.5,lof,0.466,0.266,0.443333333333333,0.475714285714286,0.3325,0.266415134858998
0.3,0.5,iforest,0.481,0.280561122244489,0.466666666666667,0.487142857142857,0.350438047559449,0.267679437364559
0.3,0.5,rrcforest,0.454,0.254,0.423333333333333,0.467142857142857,0.3175,0.262468123898984
0.3,0.5,ocsvm,0.45,0.25,0.416666666666667,0.464285714285714,0.3125,0.249866637771389
0.3,0.75,kMRCD,0.575,0.246963562753036,0.203333333333333,0.734285714285714,0.223034734917733,0.254466622659455
0.3,0.75,lof,0.574,0.248,0.206666666666667,0.731428571428571,0.225454545454545,0.266415134858998
0.3,0.75,iforest,0.567,0.230769230769231,0.19,0.728571428571429,0.208409506398537,0.255587582599335
0.3,0.75,rrcforest,0.574,0.248,0.206666666666667,0.731428571428571,0.225454545454545,0.263893579190976
0.3,0.75,ocsvm,0.556,0.212,0.176666666666667,0.718571428571429,0.192727272727273,0.248505394810059
0.3,0.9,kMRCD,0.645,0.142857142857143,0.0366666666666667,0.905714285714286,0.0583554376657825,0.250167741620421
0.3,0.9,lof,0.648,0.24,0.08,0.891428571428571,0.12,0.266415134858998
0.3,0.9,iforest,0.641,0.195876288659794,0.0633333333333333,0.888571428571429,0.0957178841309824,0.25436369966556
0.3,0.9,rrcforest,0.642,0.21,0.07,0.887142857142857,0.105,0.269509254435448
0.3,0.9,ocsvm,0.63,0.15,0.05,0.878571428571429,0.075,0.249282764457324
