accuracy,precision,sensitivity,specificity,f1Score,aucpr,name,iteration
0.598,0.096,0.12,0.7175,0.106666666666667,0.14876298213927,kMRCD,1
0.608,0.116,0.145,0.72375,0.128888888888889,0.1561517856363,lof,1
0.614,0.128,0.16,0.7275,0.142222222222222,0.158347778146333,iforest,1
0.616,0.132,0.165,0.72875,0.146666666666667,0.145649792534275,kMRCD,2
0.61,0.12,0.15,0.725,0.133333333333333,0.146660274246227,lof,2
0.62,0.131147540983607,0.16,0.735,0.144144144144144,0.153843364378542,iforest,2
0.616,0.132,0.165,0.72875,0.146666666666667,0.151834134449725,kMRCD,3
0.596,0.092,0.115,0.71625,0.102222222222222,0.149360173769854,lof,3
0.625,0.14859437751004,0.185,0.735,0.164810690423163,0.170451867042745,iforest,3
0.61,0.12,0.15,0.725,0.133333333333333,0.149498024511478,kMRCD,4
0.602,0.104,0.13,0.72,0.115555555555556,0.148671592902126,lof,4
0.616,0.122950819672131,0.15,0.7325,0.135135135135135,0.162273677863577,iforest,4
0.628,0.156,0.195,0.73625,0.173333333333333,0.15883372202533,kMRCD,5
0.622,0.144,0.18,0.7325,0.16,0.165513822551581,lof,5
0.623,0.1417004048583,0.175,0.735,0.156599552572707,0.162749982682812,iforest,5
0.614,0.128,0.16,0.7275,0.142222222222222,0.148299118103075,kMRCD,6
0.606,0.112,0.14,0.7225,0.124444444444444,0.151332913932321,lof,6
0.599,0.0897959183673469,0.11,0.72125,0.098876404494382,0.148079685347891,iforest,6
0.606,0.112,0.14,0.7225,0.124444444444444,0.151486446703201,kMRCD,7
0.626,0.152,0.19,0.735,0.168888888888889,0.156069011124881,lof,7
0.606,0.112,0.14,0.7225,0.124444444444444,0.151735939552202,iforest,7
0.602,0.104,0.13,0.72,0.115555555555556,0.146779281397157,kMRCD,8
0.612,0.124,0.155,0.72625,0.137777777777778,0.149997820958119,lof,8
0.614,0.125,0.155,0.72875,0.138392857142857,0.158680492321687,iforest,8
0.62,0.14,0.175,0.73125,0.155555555555556,0.154558202602717,kMRCD,9
0.612,0.124,0.155,0.72625,0.137777777777778,0.152598526695613,lof,9
0.618,0.136,0.17,0.73,0.151111111111111,0.168495478479571,iforest,9
0.626,0.152,0.19,0.735,0.168888888888889,0.155535236466851,kMRCD,10
0.606,0.112,0.14,0.7225,0.124444444444444,0.149016716343949,lof,10
0.621,0.13469387755102,0.165,0.735,0.148314606741573,0.159545488030969,iforest,10
0.622,0.144,0.18,0.7325,0.16,0.154751069943914,kMRCD,11
0.608,0.116,0.145,0.72375,0.128888888888889,0.145525408136311,lof,11
0.615,0.122448979591837,0.15,0.73125,0.134831460674157,0.162311377694567,iforest,11
0.624,0.148,0.185,0.73375,0.164444444444444,0.157381233688678,kMRCD,12
0.634,0.168,0.21,0.74,0.186666666666667,0.161451072159765,lof,12
0.62,0.14,0.175,0.73125,0.155555555555556,0.158113442527395,iforest,12
0.608,0.109756097560976,0.135,0.72625,0.121076233183857,0.146559983595576,kMRCD,13
0.604,0.108,0.135,0.72125,0.12,0.153171174168117,lof,13
0.611,0.117408906882591,0.145,0.7275,0.129753914988814,0.159053019664548,iforest,13
0.6,0.1,0.125,0.71875,0.111111111111111,0.142935454067785,kMRCD,14
0.602,0.104,0.13,0.72,0.115555555555556,0.148349437083916,lof,14
0.619,0.136546184738956,0.17,0.73125,0.151447661469933,0.165668296844208,iforest,14
0.6,0.1,0.125,0.71875,0.111111111111111,0.145522787219217,kMRCD,15
0.608,0.116,0.145,0.72375,0.128888888888889,0.151681285178372,lof,15
0.614,0.128,0.16,0.7275,0.142222222222222,0.157049299971052,iforest,15
0.602,0.104,0.13,0.72,0.115555555555556,0.142512384738349,kMRCD,16
0.602,0.104,0.13,0.72,0.115555555555556,0.145619631858287,lof,16
0.619,0.130612244897959,0.16,0.73375,0.143820224719101,0.166543911560851,iforest,16
0.63,0.16,0.2,0.7375,0.177777777777778,0.159735336566764,kMRCD,17
0.608,0.116,0.145,0.72375,0.128888888888889,0.154867747375729,lof,17
0.612,0.124,0.155,0.72625,0.137777777777778,0.162259772270357,iforest,17
0.606,0.112,0.14,0.7225,0.124444444444444,0.144241483528527,kMRCD,18
0.61,0.12,0.15,0.725,0.133333333333333,0.147316316058136,lof,18
0.624,0.139344262295082,0.17,0.7375,0.153153153153153,0.165573014140578,iforest,18
0.62,0.14,0.175,0.73125,0.155555555555556,0.154432226199035,kMRCD,19
0.614,0.128,0.16,0.7275,0.142222222222222,0.152665620456943,lof,19
0.616,0.132,0.165,0.72875,0.146666666666667,0.170062109911763,iforest,19
0.624,0.148,0.185,0.73375,0.164444444444444,0.153426524916354,kMRCD,20
0.608,0.116,0.145,0.72375,0.128888888888889,0.14960725445362,lof,20
0.598,0.0894308943089431,0.11,0.72,0.0986547085201794,0.154030596406255,iforest,20
0.636,0.172,0.215,0.74125,0.191111111111111,0.163681398332688,kMRCD,21
0.618,0.136,0.17,0.73,0.151111111111111,0.15892128162233,lof,21
