e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,0.5,0,NaN,0.5,0,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.501,0,NaN,0.501,0,NaN
0,0.5,rrcforest,0.5,0,NaN,0.5,0,NaN
0,0.5,ocsvm,0.5,0,NaN,0.5,0,NaN
0,0.75,kMRCD,0.758,0,NaN,0.758,0,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.752,0,NaN,0.752,0,NaN
0,0.75,rrcforest,0.75,0,NaN,0.75,0,NaN
0,0.75,ocsvm,0.75,0,NaN,0.75,0,NaN
0,0.9,kMRCD,0.909,0,NaN,0.909,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.9,0,NaN,0.9,0,NaN
0,0.9,rrcforest,0.9,0,NaN,0.9,0,NaN
0,0.9,ocsvm,0.9,0,NaN,0.9,0,NaN
0.1,0.5,kMRCD,0.528,0.128,0.64,0.515555555555556,0.213333333333333,0.242239525059788
0.1,0.5,lof,0.558,0.158,0.79,0.532222222222222,0.263333333333333,0.149158009268911
0.1,0.5,iforest,0.549,0.145454545454545,0.72,0.53,0.242016806722689,0.220859342705679
0.1,0.5,rrcforest,0.542,0.142,0.71,0.523333333333333,0.236666666666667,0.166419007944519
0.1,0.5,ocsvm,0.54,0.14,0.7,0.522222222222222,0.233333333333333,0.214141957338619
0.1,0.75,kMRCD,0.702,0.104,0.26,0.751111111111111,0.148571428571429,0.178335724848474
0.1,0.75,lof,0.73,0.16,0.4,0.766666666666667,0.228571428571429,0.149158009268911
0.1,0.75,iforest,0.756,0.207317073170732,0.51,0.783333333333333,0.294797687861272,0.19752767587519
0.1,0.75,rrcforest,0.74,0.18,0.45,0.772222222222222,0.257142857142857,0.169951040945372
0.1,0.75,ocsvm,0.752,0.204,0.51,0.778888888888889,0.291428571428571,0.203477429804885
0.1,0.9,kMRCD,0.802,0.0196078431372549,0.02,0.888888888888889,0.0198019801980198,0.131803623866327
0.1,0.9,lof,0.824,0.12,0.12,0.902222222222222,0.12,0.149158009268911
0.1,0.9,iforest,0.857,0.278350515463918,0.27,0.922222222222222,0.274111675126904,0.212340408915801
0.1,0.9,rrcforest,0.824,0.12,0.12,0.902222222222222,0.12,0.135490084908925
0.1,0.9,ocsvm,0.86,0.3,0.3,0.922222222222222,0.3,0.238212391643555
0.2,0.5,kMRCD,0.504,0.204,0.51,0.5025,0.291428571428571,0.256223801349095
0.2,0.5,lof,0.522,0.222,0.555,0.51375,0.317142857142857,0.18867723763518
0.2,0.5,iforest,0.52,0.218875502008032,0.545,0.51375,0.312320916905444,0.231939149179818
0.2,0.5,rrcforest,0.532,0.232,0.58,0.52,0.331428571428571,0.214595139861532
0.2,0.5,ocsvm,0.518,0.218,0.545,0.51125,0.311428571428571,0.237642292383368
0.2,0.75,kMRCD,0.691,0.273858921161826,0.33,0.78125,0.299319727891156,0.255121866110726
0.2,0.75,lof,0.632,0.164,0.205,0.73875,0.182222222222222,0.18867723763518
0.2,0.75,iforest,0.682,0.262096774193548,0.325,0.77125,0.290178571428571,0.244522456857257
0.2,0.75,rrcforest,0.652,0.204,0.255,0.75125,0.226666666666667,0.205800493130864
0.2,0.75,ocsvm,0.694,0.288,0.36,0.7775,0.32,0.251736680703892
0.2,0.9,kMRCD,0.757,0.278350515463918,0.135,0.9125,0.181818181818182,0.252399649711947
0.2,0.9,lof,0.72,0.1,0.05,0.8875,0.0666666666666667,0.18867723763518
0.2,0.9,iforest,0.778,0.382978723404255,0.18,0.9275,0.244897959183673,0.319894161367618
0.2,0.9,rrcforest,0.75,0.25,0.125,0.90625,0.166666666666667,0.229592834637316
0.2,0.9,ocsvm,0.768,0.34,0.17,0.9175,0.226666666666667,0.250683735987716
0.3,0.5,kMRCD,0.545,0.345309381237525,0.576666666666667,0.531428571428571,0.431960049937578,0.434105691464649
0.3,0.5,lof,0.516,0.316,0.526666666666667,0.511428571428571,0.395,0.290096121594041
0.3,0.5,iforest,0.55,0.347560975609756,0.57,0.541428571428571,0.431818181818182,0.333483995923722
0.3,0.5,rrcforest,0.558,0.358,0.596666666666667,0.541428571428571,0.4475,0.375367742717827
0.3,0.5,ocsvm,0.552,0.352,0.586666666666667,0.537142857142857,0.44,0.392351040364323
0.3,0.75,kMRCD,0.588,0.276,0.23,0.741428571428571,0.250909090909091,0.363342993948969
0.3,0.75,lof,0.592,0.284,0.236666666666667,0.744285714285714,0.258181818181818,0.290096121594041
0.3,0.75,iforest,0.638,0.375,0.31,0.778571428571429,0.339416058394161,0.376106507513783
0.3,0.75,rrcforest,0.638,0.376,0.313333333333333,0.777142857142857,0.341818181818182,0.379265164224192
0.3,0.75,ocsvm,0.654,0.408,0.34,0.788571428571429,0.370909090909091,0.37978588190662
0.3,0.9,kMRCD,0.628,0.14,0.0466666666666667,0.877142857142857,0.07,0.323831632886895
0.3,0.9,lof,0.63,0.15,0.05,0.878571428571429,0.075,0.290096121594041
0.3,0.9,iforest,0.685,0.422680412371134,0.136666666666667,0.92,0.206549118387909,0.384523465931635
0.3,0.9,rrcforest,0.682,0.41,0.136666666666667,0.915714285714286,0.205,0.367933006726015
0.3,0.9,ocsvm,0.684,0.42,0.14,0.917142857142857,0.21,0.369583440716489
