e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,0.5,0,NaN,0.5,0,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.504,0,NaN,0.504,0,NaN
0,0.5,rrcforest,0.5,0,NaN,0.5,0,NaN
0,0.5,ocsvm,0.5,0,NaN,0.5,0,NaN
0,0.75,kMRCD,0.748,0,NaN,0.748,0,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.754,0,NaN,0.754,0,NaN
0,0.75,rrcforest,0.75,0,NaN,0.75,0,NaN
0,0.75,ocsvm,0.75,0,NaN,0.75,0,NaN
0,0.9,kMRCD,0.916,0,NaN,0.916,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.903,0,NaN,0.903,0,NaN
0,0.9,rrcforest,0.9,0,NaN,0.9,0,NaN
0,0.9,ocsvm,0.9,0,NaN,0.9,0,NaN
0.1,0.5,kMRCD,0.518,0.118,0.59,0.51,0.196666666666667,0.163266090621429
0.1,0.5,lof,0.528,0.128,0.64,0.515555555555556,0.213333333333333,0.106712811562733
0.1,0.5,iforest,0.533,0.129292929292929,0.64,0.521111111111111,0.215126050420168,0.151594534705475
0.1,0.5,rrcforest,0.518,0.118,0.59,0.51,0.196666666666667,0.122919343049786
0.1,0.5,ocsvm,0.534,0.134,0.67,0.518888888888889,0.223333333333333,0.148830952568929
0.1,0.75,kMRCD,0.9,NaN,0,1,0,0.182959666164305
0.1,0.75,lof,0.702,0.104,0.26,0.751111111111111,0.148571428571429,0.106712811562733
0.1,0.75,iforest,0.723,0.144578313253012,0.36,0.763333333333333,0.206303724928367,0.158761373326609
0.1,0.75,rrcforest,0.712,0.124,0.31,0.756666666666667,0.177142857142857,0.117705697680135
0.1,0.75,ocsvm,0.742,0.184,0.46,0.773333333333333,0.262857142857143,0.154318218922154
0.1,0.9,kMRCD,0.849,0.231578947368421,0.22,0.918888888888889,0.225641025641026,0.179197045702778
0.1,0.9,lof,0.806,0.03,0.03,0.892222222222222,0.03,0.106712811562733
0.1,0.9,iforest,0.839,0.185567010309278,0.18,0.912222222222222,0.182741116751269,0.165234502439047
0.1,0.9,rrcforest,0.842,0.21,0.21,0.912222222222222,0.21,0.147161709684817
0.1,0.9,ocsvm,0.836,0.18,0.18,0.908888888888889,0.18,0.152215151909081
0.2,0.5,kMRCD,0.516,0.216,0.54,0.51,0.308571428571429,0.262372109120446
0.2,0.5,lof,0.514,0.214,0.535,0.50875,0.305714285714286,0.188929455485372
0.2,0.5,iforest,0.555,0.251521298174442,0.62,0.53875,0.357864357864358,0.296189411740055
0.2,0.5,rrcforest,0.518,0.218,0.545,0.51125,0.311428571428571,0.213009575030754
0.2,0.5,ocsvm,0.528,0.228,0.57,0.5175,0.325714285714286,0.247745074170889
0.2,0.75,kMRCD,0.663,0.227091633466135,0.285,0.7575,0.252771618625277,0.251950058106625
0.2,0.75,lof,0.63,0.16,0.2,0.7375,0.177777777777778,0.188929455485372
0.2,0.75,iforest,0.667,0.232931726907631,0.29,0.76125,0.258351893095768,0.247602250178295
0.2,0.75,rrcforest,0.686,0.272,0.34,0.7725,0.302222222222222,0.251152401776087
0.2,0.75,ocsvm,0.682,0.264,0.33,0.77,0.293333333333333,0.238444172643174
0.2,0.9,kMRCD,0.774,0.355555555555556,0.16,0.9275,0.220689655172414,0.273893123928582
0.2,0.9,lof,0.706,0.03,0.015,0.87875,0.02,0.188929455485372
0.2,0.9,iforest,0.757,0.282828282828283,0.14,0.91125,0.187290969899666,0.256655648040045
0.2,0.9,rrcforest,0.758,0.29,0.145,0.91125,0.193333333333333,0.236442669860587
0.2,0.9,ocsvm,0.754,0.27,0.135,0.90875,0.18,0.238242855342949
0.3,0.5,kMRCD,0.484,0.284,0.473333333333333,0.488571428571429,0.355,0.356292484915712
0.3,0.5,lof,0.49,0.29,0.483333333333333,0.492857142857143,0.3625,0.261234067262376
0.3,0.5,iforest,0.55,0.35,0.583333333333333,0.535714285714286,0.4375,0.360728604812089
0.3,0.5,rrcforest,0.548,0.348,0.58,0.534285714285714,0.435,0.365391960676321
0.3,0.5,ocsvm,0.524,0.324,0.54,0.517142857142857,0.405,0.351838610618937
0.3,0.75,kMRCD,0.541,0.183266932270916,0.153333333333333,0.707142857142857,0.166969147005445,0.276677217778023
0.3,0.75,lof,0.54,0.18,0.15,0.707142857142857,0.163636363636364,0.261234067262376
0.3,0.75,iforest,0.646,0.390243902439024,0.32,0.785714285714286,0.351648351648352,0.378356035877253
0.3,0.75,rrcforest,0.662,0.424,0.353333333333333,0.794285714285714,0.385454545454545,0.39946918154938
0.3,0.75,ocsvm,0.624,0.348,0.29,0.767142857142857,0.316363636363636,0.338855985650918
0.3,0.9,kMRCD,0.657,0.252873563218391,0.0733333333333333,0.907142857142857,0.113695090439276,0.331087271859001
0.3,0.9,lof,0.612,0.06,0.02,0.865714285714286,0.03,0.261234067262376
0.3,0.9,iforest,0.685,0.424242424242424,0.14,0.918571428571429,0.210526315789474,0.381990397920167
0.3,0.9,rrcforest,0.672,0.36,0.12,0.908571428571429,0.18,0.353982898284975
0.3,0.9,ocsvm,0.68,0.4,0.133333333333333,0.914285714285714,0.2,0.344744065976592
