accuracy,precision,sensitivity,specificity,f1Score,aucpr,name,iteration
0.804,0.02,0.02,0.891111111111111,0.02,0.126854046380136,kMRCD,1
0.816,0.08,0.08,0.897777777777778,0.08,0.1148800534256,lof,1
0.851,0.252525252525253,0.25,0.917777777777778,0.251256281407035,0.230035357628419,iforest,1
0.866,0.185185185185185,0.1,0.951111111111111,0.12987012987013,0.156766669324037,kMRCD,2
0.808,0.04,0.04,0.893333333333333,0.04,0.108374890522168,lof,2
0.829,0.141414141414141,0.14,0.905555555555556,0.14070351758794,0.123973553137697,iforest,2
0.872,0.294117647058824,0.2,0.946666666666667,0.238095238095238,0.200629723256847,kMRCD,3
0.804,0.02,0.02,0.891111111111111,0.02,0.1038261883726,lof,3
0.842,0.21,0.21,0.912222222222222,0.21,0.174064871998757,iforest,3
0.858,0.25,0.21,0.93,0.228260869565217,0.186389699635681,kMRCD,4
0.81,0.05,0.05,0.894444444444444,0.05,0.105802734507927,lof,4
0.837,0.181818181818182,0.18,0.91,0.180904522613065,0.146868804284895,iforest,4
0.859,0.219178082191781,0.16,0.936666666666667,0.184971098265896,0.18518028181345,kMRCD,5
0.81,0.05,0.05,0.894444444444444,0.05,0.108084820609463,lof,5
0.831,0.151515151515152,0.15,0.906666666666667,0.150753768844221,0.125291699386555,iforest,5
0.808,0.04,0.04,0.893333333333333,0.04,0.105640164717955,kMRCD,6
0.806,0.03,0.03,0.892222222222222,0.03,0.100291311069586,lof,6
0.835,0.171717171717172,0.17,0.908888888888889,0.170854271356784,0.129444783809186,iforest,6
0.838,0.1125,0.09,0.921111111111111,0.1,0.146388775768114,kMRCD,7
0.806,0.03,0.03,0.892222222222222,0.03,0.110819261278361,lof,7
0.831,0.151515151515152,0.15,0.906666666666667,0.150753768844221,0.134373569552428,iforest,7
0.857,0.234567901234568,0.19,0.931111111111111,0.209944751381215,0.173187183933149,kMRCD,8
0.808,0.04,0.04,0.893333333333333,0.04,0.115251910676056,lof,8
0.834,0.17,0.17,0.907777777777778,0.17,0.144369303412792,iforest,8
0.842,0.177777777777778,0.16,0.917777777777778,0.168421052631579,0.131760714092037,kMRCD,9
0.802,0.01,0.01,0.89,0.01,0.0989297514359642,lof,9
0.824,0.12,0.12,0.902222222222222,0.12,0.126114339365817,iforest,9
0.87,0.279411764705882,0.19,0.945555555555556,0.226190476190476,0.204005403693283,kMRCD,10
0.804,0.02,0.02,0.891111111111111,0.02,0.101213719350174,lof,10
0.836,0.18,0.18,0.908888888888889,0.18,0.153065146325317,iforest,10
0.847,0.195402298850575,0.17,0.922222222222222,0.181818181818182,0.169020259210171,kMRCD,11
0.806,0.03,0.03,0.892222222222222,0.03,0.111346837336233,lof,11
0.842,0.204081632653061,0.2,0.913333333333333,0.202020202020202,0.156843779966997,iforest,11
0.868,0.241935483870968,0.15,0.947777777777778,0.185185185185185,0.179077270585585,kMRCD,12
0.802,0.01,0.01,0.89,0.01,0.0996425599865032,lof,12
0.841,0.195876288659794,0.19,0.913333333333333,0.192893401015228,0.137231816480738,iforest,12
0.865,0.253521126760563,0.18,0.941111111111111,0.210526315789474,0.190301776186834,kMRCD,13
0.804,0.02,0.02,0.891111111111111,0.02,0.106580472686275,lof,13
0.825,0.121212121212121,0.12,0.903333333333333,0.120603015075377,0.146127655070282,iforest,13
0.845,0.176470588235294,0.15,0.922222222222222,0.162162162162162,0.188665812388344,kMRCD,14
0.802,0.01,0.01,0.89,0.01,0.0940559766267566,lof,14
0.834,0.17,0.17,0.907777777777778,0.17,0.130604523810295,iforest,14
0.827,0.0804597701149425,0.07,0.911111111111111,0.0748663101604278,0.123873128120574,kMRCD,15
0.804,0.02,0.02,0.891111111111111,0.02,0.10103131897273,lof,15
0.834,0.17,0.17,0.907777777777778,0.17,0.160444433824858,iforest,15
0.866,0.234375,0.15,0.945555555555556,0.182926829268293,0.195873208835385,kMRCD,16
0.802,0.01,0.01,0.89,0.01,0.112904241498321,lof,16
0.839,0.191919191919192,0.19,0.911111111111111,0.190954773869347,0.158040910007502,iforest,16
