e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,0.5,0,NaN,0.5,0,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.503,0,NaN,0.503,0,NaN
0,0.5,rrcforest,0.5,0,NaN,0.5,0,NaN
0,0.5,ocsvm,0.5,0,NaN,0.5,0,NaN
0,0.75,kMRCD,0.763,0,NaN,0.763,0,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.753,0,NaN,0.753,0,NaN
0,0.75,rrcforest,0.75,0,NaN,0.75,0,NaN
0,0.75,ocsvm,0.75,0,NaN,0.75,0,NaN
0,0.9,kMRCD,0.902,0,NaN,0.902,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.9,0,NaN,0.9,0,NaN
0,0.9,rrcforest,0.9,0,NaN,0.9,0,NaN
0,0.9,ocsvm,0.9,0,NaN,0.9,0,NaN
0.1,0.5,kMRCD,0.528,0.128,0.64,0.515555555555556,0.213333333333333,0.23383151100562
0.1,0.5,lof,0.548,0.148,0.74,0.526666666666667,0.246666666666667,0.13708209639103
0.1,0.5,iforest,0.555,0.154308617234469,0.77,0.531111111111111,0.257095158597663,0.219630225480681
0.1,0.5,rrcforest,0.534,0.134,0.67,0.518888888888889,0.223333333333333,0.162857691025288
0.1,0.5,ocsvm,0.556,0.156,0.78,0.531111111111111,0.26,0.231201745300584
0.1,0.75,kMRCD,0.724,0.148,0.37,0.763333333333333,0.211428571428571,0.194480048068852
0.1,0.75,lof,0.722,0.144,0.36,0.762222222222222,0.205714285714286,0.13708209639103
0.1,0.75,iforest,0.752,0.199186991869919,0.49,0.781111111111111,0.283236994219653,0.211489294700013
0.1,0.75,rrcforest,0.744,0.188,0.47,0.774444444444444,0.268571428571429,0.189136024486698
0.1,0.75,ocsvm,0.752,0.204,0.51,0.778888888888889,0.291428571428571,0.235469685545349
0.1,0.9,kMRCD,0.864,0.308510638297872,0.29,0.927777777777778,0.298969072164948,0.227893834042925
0.1,0.9,lof,0.824,0.12,0.12,0.902222222222222,0.12,0.13708209639103
0.1,0.9,iforest,0.851,0.252525252525253,0.25,0.917777777777778,0.251256281407035,0.23691015677637
0.1,0.9,rrcforest,0.848,0.24,0.24,0.915555555555556,0.24,0.183743830527946
0.1,0.9,ocsvm,0.858,0.29,0.29,0.921111111111111,0.29,0.231390382566802
0.2,0.5,kMRCD,0.544,0.244,0.61,0.5275,0.348571428571429,0.294403109501689
0.2,0.5,lof,0.526,0.226,0.565,0.51625,0.322857142857143,0.196490051068279
0.2,0.5,iforest,0.561,0.259557344064386,0.645,0.54,0.370157819225251,0.317286872431869
0.2,0.5,rrcforest,0.556,0.256,0.64,0.535,0.365714285714286,0.253026772491741
0.2,0.5,ocsvm,0.546,0.246,0.615,0.52875,0.351428571428571,0.273226663098765
0.2,0.75,kMRCD,0.659,0.221343873517787,0.28,0.75375,0.247240618101545,0.246311872171569
0.2,0.75,lof,0.632,0.164,0.205,0.73875,0.182222222222222,0.196490051068279
0.2,0.75,iforest,0.73,0.357723577235772,0.44,0.8025,0.394618834080717,0.316950669721829
0.2,0.75,rrcforest,0.704,0.308,0.385,0.78375,0.342222222222222,0.294387966779569
0.2,0.75,ocsvm,0.706,0.312,0.39,0.785,0.346666666666667,0.271988152417027
0.2,0.9,kMRCD,0.75,0.239583333333333,0.115,0.90875,0.155405405405405,0.254272129999202
0.2,0.9,lof,0.73,0.15,0.075,0.89375,0.1,0.196490051068279
0.2,0.9,iforest,0.772,0.357142857142857,0.175,0.92125,0.23489932885906,0.295197373420055
0.2,0.9,rrcforest,0.778,0.39,0.195,0.92375,0.26,0.286910132514065
0.2,0.9,ocsvm,0.764,0.32,0.16,0.915,0.213333333333333,0.265312938001345
0.3,0.5,kMRCD,0.53,0.33,0.55,0.521428571428571,0.4125,0.394757557879336
0.3,0.5,lof,0.518,0.318,0.53,0.512857142857143,0.3975,0.300823436551495
0.3,0.5,iforest,0.614,0.414,0.69,0.581428571428571,0.5175,0.429994074876604
0.3,0.5,rrcforest,0.566,0.366,0.61,0.547142857142857,0.4575,0.390645785240403
0.3,0.5,ocsvm,0.582,0.382,0.636666666666667,0.558571428571429,0.4775,0.392162131069052
0.3,0.75,kMRCD,0.596,0.292,0.243333333333333,0.747142857142857,0.265454545454545,0.360168605313895
0.3,0.75,lof,0.594,0.288,0.24,0.745714285714286,0.261818181818182,0.300823436551495
0.3,0.75,iforest,0.654,0.405737704918033,0.33,0.792857142857143,0.363970588235294,0.39350292754444
0.3,0.75,rrcforest,0.654,0.408,0.34,0.788571428571429,0.370909090909091,0.405379851274428
0.3,0.75,ocsvm,0.652,0.404,0.336666666666667,0.787142857142857,0.367272727272727,0.383992071240662
0.3,0.9,kMRCD,0.67,0.346938775510204,0.113333333333333,0.908571428571429,0.170854271356784,0.369668971830502
0.3,0.9,lof,0.644,0.22,0.0733333333333333,0.888571428571429,0.11,0.300823436551495
0.3,0.9,iforest,0.67,0.35,0.116666666666667,0.907142857142857,0.175,0.366309710942732
0.3,0.9,rrcforest,0.688,0.44,0.146666666666667,0.92,0.22,0.372844451086039
0.3,0.9,ocsvm,0.686,0.43,0.143333333333333,0.918571428571429,0.215,0.373416200399317
