e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,0.5,0,NaN,0.5,0,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.504,0,NaN,0.504,0,NaN
0,0.5,rrcforest,0.5,0,NaN,0.5,0,NaN
0,0.5,ocsvm,0.5,0,NaN,0.5,0,NaN
0,0.75,kMRCD,0.926,0,NaN,0.926,0,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.75,0,NaN,0.75,0,NaN
0,0.75,rrcforest,0.75,0,NaN,0.75,0,NaN
0,0.75,ocsvm,0.75,0,NaN,0.75,0,NaN
0,0.9,kMRCD,0.9,0,NaN,0.9,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.9,0,NaN,0.9,0,NaN
0,0.9,rrcforest,0.9,0,NaN,0.9,0,NaN
0,0.9,ocsvm,0.9,0,NaN,0.9,0,NaN
0.1,0.5,kMRCD,0.53,0.13,0.65,0.516666666666667,0.216666666666667,0.197539244349782
0.1,0.5,lof,0.544,0.144,0.72,0.524444444444444,0.24,0.134582375029485
0.1,0.5,iforest,0.548,0.145161290322581,0.72,0.528888888888889,0.241610738255034,0.19987079113342
0.1,0.5,rrcforest,0.552,0.152,0.76,0.528888888888889,0.253333333333333,0.18259064389064
0.1,0.5,ocsvm,0.55,0.15,0.75,0.527777777777778,0.25,0.219980751584339
0.1,0.75,kMRCD,0.708,0.116,0.29,0.754444444444444,0.165714285714286,0.171101294061413
0.1,0.75,lof,0.724,0.148,0.37,0.763333333333333,0.211428571428571,0.134582375029485
0.1,0.75,iforest,0.737,0.172690763052209,0.43,0.771111111111111,0.246418338108883,0.165820611744045
0.1,0.75,rrcforest,0.748,0.196,0.49,0.776666666666667,0.28,0.209538358831587
0.1,0.75,ocsvm,0.748,0.196,0.49,0.776666666666667,0.28,0.216814033435918
0.1,0.9,kMRCD,0.827,0.0602409638554217,0.05,0.913333333333333,0.0546448087431694,0.134316223571821
0.1,0.9,lof,0.828,0.14,0.14,0.904444444444444,0.14,0.134582375029485
0.1,0.9,iforest,0.84,0.2,0.2,0.911111111111111,0.2,0.196439334255648
0.1,0.9,rrcforest,0.842,0.21,0.21,0.912222222222222,0.21,0.178090868952637
0.1,0.9,ocsvm,0.85,0.25,0.25,0.916666666666667,0.25,0.203561447933945
0.2,0.5,kMRCD,0.544,0.244,0.61,0.5275,0.348571428571429,0.291975956701241
0.2,0.5,lof,0.516,0.216,0.54,0.51,0.308571428571429,0.200080009307654
0.2,0.5,iforest,0.552,0.251004016064257,0.625,0.53375,0.358166189111748,0.241818409708681
0.2,0.5,rrcforest,0.548,0.248,0.62,0.53,0.354285714285714,0.273072465430974
0.2,0.5,ocsvm,0.536,0.236,0.59,0.5225,0.337142857142857,0.265379979601728
0.2,0.75,kMRCD,0.72,0.330508474576271,0.39,0.8025,0.357798165137615,0.287179449656331
0.2,0.75,lof,0.65,0.2,0.25,0.75,0.222222222222222,0.200080009307654
0.2,0.75,iforest,0.728,0.356,0.445,0.79875,0.395555555555556,0.307124762918521
0.2,0.75,rrcforest,0.708,0.316,0.395,0.78625,0.351111111111111,0.28251033390374
0.2,0.75,ocsvm,0.702,0.304,0.38,0.7825,0.337777777777778,0.268481747264434
0.2,0.9,kMRCD,0.778,0.39,0.195,0.92375,0.26,0.281631250304386
0.2,0.9,lof,0.718,0.09,0.045,0.88625,0.06,0.200080009307654
0.2,0.9,iforest,0.764,0.316326530612245,0.155,0.91625,0.208053691275168,0.267944557011272
0.2,0.9,rrcforest,0.762,0.31,0.155,0.91375,0.206666666666667,0.290637067269872
0.2,0.9,ocsvm,0.774,0.37,0.185,0.92125,0.246666666666667,0.257296425214745
0.3,0.5,kMRCD,0.563,0.362725450901804,0.603333333333333,0.545714285714286,0.453066332916145,0.446848262174182
0.3,0.5,lof,0.538,0.338,0.563333333333333,0.527142857142857,0.4225,0.317985907238077
0.3,0.5,iforest,0.609,0.408817635270541,0.68,0.578571428571429,0.51063829787234,0.475281805601391
0.3,0.5,rrcforest,0.584,0.384,0.64,0.56,0.48,0.413828603669915
0.3,0.5,ocsvm,0.566,0.366,0.61,0.547142857142857,0.4575,0.401053366237188
0.3,0.75,kMRCD,0.614,0.322314049586777,0.26,0.765714285714286,0.287822878228782,0.383418981099244
0.3,0.75,lof,0.61,0.32,0.266666666666667,0.757142857142857,0.290909090909091,0.317985907238077
0.3,0.75,iforest,0.683,0.465863453815261,0.386666666666667,0.81,0.422586520947177,0.452274984623913
0.3,0.75,rrcforest,0.666,0.432,0.36,0.797142857142857,0.392727272727273,0.415928306855191
0.3,0.75,ocsvm,0.672,0.444,0.37,0.801428571428571,0.403636363636364,0.40392120904994
0.3,0.9,kMRCD,0.649,0.185185185185185,0.05,0.905714285714286,0.078740157480315,0.346856721573021
0.3,0.9,lof,0.658,0.29,0.0966666666666667,0.898571428571429,0.145,0.317985907238077
0.3,0.9,iforest,0.72,0.6,0.2,0.942857142857143,0.3,0.489157576058248
0.3,0.9,rrcforest,0.682,0.41,0.136666666666667,0.915714285714286,0.205,0.377538944749778
0.3,0.9,ocsvm,0.706,0.53,0.176666666666667,0.932857142857143,0.265,0.405743795427579
