e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,0.775,0,NaN,0.775,0,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.501,0,NaN,0.501,0,NaN
0,0.5,rrcforest,0.5,0,NaN,0.5,0,NaN
0,0.5,ocsvm,0.5,0,NaN,0.5,0,NaN
0,0.75,kMRCD,1,NaN,NaN,1,NaN,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.754,0,NaN,0.754,0,NaN
0,0.75,rrcforest,0.75,0,NaN,0.75,0,NaN
0,0.75,ocsvm,0.75,0,NaN,0.75,0,NaN
0,0.9,kMRCD,0.947,0,NaN,0.947,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.9,0,NaN,0.9,0,NaN
0,0.9,rrcforest,0.9,0,NaN,0.9,0,NaN
0,0.9,ocsvm,0.9,0,NaN,0.9,0,NaN
0.1,0.5,kMRCD,0.9,NaN,0,1,0,0.20561438783694
0.1,0.5,lof,0.534,0.134,0.67,0.518888888888889,0.223333333333333,0.123997281270789
0.1,0.5,iforest,0.536,0.134538152610442,0.67,0.521111111111111,0.224080267558528,0.183908444201174
0.1,0.5,rrcforest,0.522,0.122,0.61,0.512222222222222,0.203333333333333,0.136491754001253
0.1,0.5,ocsvm,0.54,0.14,0.7,0.522222222222222,0.233333333333333,0.181756118133524
0.1,0.75,kMRCD,0.9,NaN,0,1,0,0.215042207792579
0.1,0.75,lof,0.712,0.124,0.31,0.756666666666667,0.177142857142857,0.123997281270789
0.1,0.75,iforest,0.742,0.184,0.46,0.773333333333333,0.262857142857143,0.181229434263649
0.1,0.75,rrcforest,0.714,0.128,0.32,0.757777777777778,0.182857142857143,0.126276689136842
0.1,0.75,ocsvm,0.73,0.16,0.4,0.766666666666667,0.228571428571429,0.175857923415932
0.1,0.9,kMRCD,0.856,0.265957446808511,0.25,0.923333333333333,0.257731958762887,0.215929975358126
0.1,0.9,lof,0.818,0.09,0.09,0.898888888888889,0.09,0.123997281270789
0.1,0.9,iforest,0.835,0.171717171717172,0.17,0.908888888888889,0.170854271356784,0.156113695314712
0.1,0.9,rrcforest,0.846,0.23,0.23,0.914444444444444,0.23,0.170364707404477
0.1,0.9,ocsvm,0.844,0.22,0.22,0.913333333333333,0.22,0.173374673358868
0.2,0.5,kMRCD,0.8,NaN,0,1,0,0.268573544028909
0.2,0.5,lof,0.522,0.222,0.555,0.51375,0.317142857142857,0.199779537859637
0.2,0.5,iforest,0.52,0.22,0.55,0.5125,0.314285714285714,0.211498918617566
0.2,0.5,rrcforest,0.538,0.238,0.595,0.52375,0.34,0.286952470720698
0.2,0.5,ocsvm,0.53,0.23,0.575,0.51875,0.328571428571429,0.243726197394919
0.2,0.75,kMRCD,0.8,NaN,0,1,0,0.266281432662243
0.2,0.75,lof,0.652,0.204,0.255,0.75125,0.226666666666667,0.199779537859637
0.2,0.75,iforest,0.668,0.227272727272727,0.275,0.76625,0.248868778280543,0.213976965543857
0.2,0.75,rrcforest,0.67,0.24,0.3,0.7625,0.266666666666667,0.230649930753577
0.2,0.75,ocsvm,0.68,0.26,0.325,0.76875,0.288888888888889,0.243007448665011
0.2,0.9,kMRCD,0.774,0.341463414634146,0.14,0.9325,0.198581560283688,0.260274773363535
0.2,0.9,lof,0.72,0.1,0.05,0.8875,0.0666666666666667,0.199779537859637
0.2,0.9,iforest,0.74,0.2,0.1,0.9,0.133333333333333,0.225009707544892
0.2,0.9,rrcforest,0.748,0.24,0.12,0.905,0.16,0.229118852141901
0.2,0.9,ocsvm,0.756,0.28,0.14,0.91,0.186666666666667,0.240203530755961
0.3,0.5,kMRCD,0.7,NaN,0,1,0,0.397234930324369
0.3,0.5,lof,0.504,0.304,0.506666666666667,0.502857142857143,0.38,0.280336565079256
0.3,0.5,iforest,0.538,0.338,0.563333333333333,0.527142857142857,0.4225,0.340354528396969
0.3,0.5,rrcforest,0.548,0.348,0.58,0.534285714285714,0.435,0.364613909968825
0.3,0.5,ocsvm,0.54,0.34,0.566666666666667,0.528571428571429,0.425,0.404348085714664
0.3,0.75,kMRCD,0.7,NaN,0,1,0,0.440308479402519
0.3,0.75,lof,0.576,0.252,0.21,0.732857142857143,0.229090909090909,0.280336565079256
0.3,0.75,iforest,0.648,0.396,0.33,0.784285714285714,0.36,0.404747270786373
0.3,0.75,rrcforest,0.634,0.368,0.306666666666667,0.774285714285714,0.334545454545455,0.344515579575527
0.3,0.75,ocsvm,0.636,0.372,0.31,0.775714285714286,0.338181818181818,0.365900971144026
0.3,0.9,kMRCD,0.708,0.547619047619048,0.153333333333333,0.945714285714286,0.239583333333333,0.423926642752601
0.3,0.9,lof,0.628,0.14,0.0466666666666667,0.877142857142857,0.07,0.280336565079256
0.3,0.9,iforest,0.693,0.463917525773196,0.15,0.925714285714286,0.226700251889169,0.392121280959407
0.3,0.9,rrcforest,0.688,0.44,0.146666666666667,0.92,0.22,0.37131574232455
0.3,0.9,ocsvm,0.69,0.45,0.15,0.921428571428571,0.225,0.368563166126373
