e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,0.5,0,NaN,0.5,0,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.5,0,NaN,0.5,0,NaN
0,0.5,rrcforest,0.5,0,NaN,0.5,0,NaN
0,0.5,ocsvm,0.5,0,NaN,0.5,0,NaN
0,0.75,kMRCD,1,NaN,NaN,1,NaN,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.754,0,NaN,0.754,0,NaN
0,0.75,rrcforest,0.75,0,NaN,0.75,0,NaN
0,0.75,ocsvm,0.75,0,NaN,0.75,0,NaN
0,0.9,kMRCD,0.925,0,NaN,0.925,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.902,0,NaN,0.902,0,NaN
0,0.9,rrcforest,0.9,0,NaN,0.9,0,NaN
0,0.9,ocsvm,0.9,0,NaN,0.9,0,NaN
0.1,0.5,kMRCD,0.508,0.108,0.54,0.504444444444444,0.18,0.154837982591532
0.1,0.5,lof,0.52,0.12,0.6,0.511111111111111,0.2,0.10024003903782
0.1,0.5,iforest,0.526,0.124497991967871,0.62,0.515555555555556,0.207357859531773,0.176534086075297
0.1,0.5,rrcforest,0.514,0.114,0.57,0.507777777777778,0.19,0.130154842800262
0.1,0.5,ocsvm,0.536,0.136,0.68,0.52,0.226666666666667,0.1584156505311
0.1,0.75,kMRCD,0.9,NaN,0,1,0,0.192403237098509
0.1,0.75,lof,0.694,0.088,0.22,0.746666666666667,0.125714285714286,0.10024003903782
0.1,0.75,iforest,0.738,0.176,0.44,0.771111111111111,0.251428571428571,0.196421608591309
0.1,0.75,rrcforest,0.712,0.124,0.31,0.756666666666667,0.177142857142857,0.119505298848291
0.1,0.75,ocsvm,0.738,0.176,0.44,0.771111111111111,0.251428571428571,0.163103804084393
0.1,0.9,kMRCD,0.853,0.247311827956989,0.23,0.922222222222222,0.238341968911917,0.18917273292769
0.1,0.9,lof,0.81,0.05,0.05,0.894444444444444,0.05,0.10024003903782
0.1,0.9,iforest,0.834,0.17,0.17,0.907777777777778,0.17,0.182676892411094
0.1,0.9,rrcforest,0.826,0.13,0.13,0.903333333333333,0.13,0.140395416114338
0.1,0.9,ocsvm,0.836,0.18,0.18,0.908888888888889,0.18,0.155623527605068
0.2,0.5,kMRCD,0.8,NaN,0,1,0,0.240823192758342
0.2,0.5,lof,0.538,0.238,0.595,0.52375,0.34,0.197949710579997
0.2,0.5,iforest,0.565,0.264529058116232,0.66,0.54125,0.377682403433476,0.264737574929886
0.2,0.5,rrcforest,0.542,0.242,0.605,0.52625,0.345714285714286,0.24814518148555
0.2,0.5,ocsvm,0.528,0.228,0.57,0.5175,0.325714285714286,0.237149862395225
0.2,0.75,kMRCD,0.8,NaN,0,1,0,0.278123107389472
0.2,0.75,lof,0.636,0.172,0.215,0.74125,0.191111111111111,0.197949710579997
0.2,0.75,iforest,0.684,0.266129032258065,0.33,0.7725,0.294642857142857,0.248336746054583
0.2,0.75,rrcforest,0.662,0.224,0.28,0.7575,0.248888888888889,0.210178925128957
0.2,0.75,ocsvm,0.68,0.26,0.325,0.76875,0.288888888888889,0.231149406763092
0.2,0.9,kMRCD,0.772,0.340909090909091,0.15,0.9275,0.208333333333333,0.268811844556337
0.2,0.9,lof,0.714,0.07,0.035,0.88375,0.0466666666666667,0.197949710579997
0.2,0.9,iforest,0.756,0.28,0.14,0.91,0.186666666666667,0.259623635206743
0.2,0.9,rrcforest,0.754,0.27,0.135,0.90875,0.18,0.234794271183648
0.2,0.9,ocsvm,0.764,0.32,0.16,0.915,0.213333333333333,0.243859803122326
0.3,0.5,kMRCD,0.482,0.282,0.47,0.487142857142857,0.3525,0.375949714478375
0.3,0.5,lof,0.468,0.268,0.446666666666667,0.477142857142857,0.335,0.24850433717647
0.3,0.5,iforest,0.576,0.374493927125506,0.616666666666667,0.558571428571429,0.465994962216625,0.391423278276112
0.3,0.5,rrcforest,0.542,0.342,0.57,0.53,0.4275,0.353222108290806
0.3,0.5,ocsvm,0.51,0.31,0.516666666666667,0.507142857142857,0.3875,0.347136209579357
0.3,0.75,kMRCD,0.7,NaN,0,1,0,0.425386964485978
0.3,0.75,lof,0.548,0.196,0.163333333333333,0.712857142857143,0.178181818181818,0.24850433717647
0.3,0.75,iforest,0.633,0.364372469635628,0.3,0.775714285714286,0.329067641681901,0.346339897745761
0.3,0.75,rrcforest,0.62,0.34,0.283333333333333,0.764285714285714,0.309090909090909,0.341732171757508
0.3,0.75,ocsvm,0.626,0.352,0.293333333333333,0.768571428571429,0.32,0.342131883034305
0.3,0.9,kMRCD,0.694,0.4625,0.123333333333333,0.938571428571429,0.194736842105263,0.407848631917641
0.3,0.9,lof,0.614,0.07,0.0233333333333333,0.867142857142857,0.035,0.24850433717647
0.3,0.9,iforest,0.669,0.343434343434343,0.113333333333333,0.907142857142857,0.170426065162907,0.356950365924028
0.3,0.9,rrcforest,0.686,0.43,0.143333333333333,0.918571428571429,0.215,0.364671746388121
0.3,0.9,ocsvm,0.678,0.39,0.13,0.912857142857143,0.195,0.336832837039434
