e,a,Name,accuracy,precision,sensitivity,specificity,f1Score,aucpr
0,0.5,kMRCD,1,NaN,NaN,1,NaN,NaN
0,0.5,lof,0.5,0,NaN,0.5,0,NaN
0,0.5,iforest,0.503,0,NaN,0.503,0,NaN
0,0.75,kMRCD,0.997,0,NaN,0.997,0,NaN
0,0.75,lof,0.75,0,NaN,0.75,0,NaN
0,0.75,iforest,0.751,0,NaN,0.751,0,NaN
0,0.9,kMRCD,0.989,0,NaN,0.989,0,NaN
0,0.9,lof,0.9,0,NaN,0.9,0,NaN
0,0.9,iforest,0.902,0,NaN,0.902,0,NaN
0.1,0.5,kMRCD,0.899,0,0,0.998888888888889,0,0.112759842154736
0.1,0.5,lof,0.524,0.124,0.62,0.513333333333333,0.206666666666667,0.106047623959065
0.1,0.5,iforest,0.523,0.122244488977956,0.61,0.513333333333333,0.203672787979967,0.101999669767547
0.1,0.75,kMRCD,0.895,0.142857142857143,0.01,0.993333333333333,0.0186915887850467,0.113561118337145
0.1,0.75,lof,0.712,0.124,0.31,0.756666666666667,0.177142857142857,0.105074654145175
0.1,0.75,iforest,0.714,0.125,0.31,0.758888888888889,0.17816091954023,0.11925651673065
0.1,0.9,kMRCD,0.883,0.130434782608696,0.03,0.977777777777778,0.0487804878048781,0.115023118211173
0.1,0.9,lof,0.816,0.08,0.08,0.897777777777778,0.08,0.10489320602388
0.1,0.9,iforest,0.827,0.131313131313131,0.13,0.904444444444444,0.130653266331658,0.113981862430338
0.2,0.5,kMRCD,0.799,0,0,0.99875,0,0.255393981156087
0.2,0.5,lof,0.496,0.196,0.49,0.4975,0.28,0.192545526961906
0.2,0.5,iforest,0.544,0.241935483870968,0.6,0.53,0.344827586206897,0.265409709959038
0.2,0.75,kMRCD,0.796,0.166666666666667,0.005,0.99375,0.00970873786407767,0.26038362794617
0.2,0.75,lof,0.65,0.2,0.25,0.75,0.222222222222222,0.19468232549909
0.2,0.75,iforest,0.69,0.278225806451613,0.345,0.77625,0.308035714285714,0.262844437971868
0.2,0.9,kMRCD,0.787,0.24,0.03,0.97625,0.0533333333333333,0.249750318683301
0.2,0.9,lof,0.734,0.17,0.085,0.89625,0.113333333333333,0.196410296023525
0.2,0.9,iforest,0.76,0.3,0.15,0.9125,0.2,0.249147525805876
0.3,0.5,kMRCD,0.7,NaN,0,1,0,0.395703154998051
0.3,0.5,lof,0.488,0.288,0.48,0.491428571428571,0.36,0.278489538777327
0.3,0.5,iforest,0.522,0.321285140562249,0.533333333333333,0.517142857142857,0.401002506265664,0.323036506155459
0.3,0.75,kMRCD,0.699,0,0,0.998571428571429,0,0.335654310146923
0.3,0.75,lof,0.592,0.284,0.236666666666667,0.744285714285714,0.258181818181818,0.279711503028205
0.3,0.75,iforest,0.636,0.372,0.31,0.775714285714286,0.338181818181818,0.357124503106586
0.3,0.9,kMRCD,0.702,0.625,0.0166666666666667,0.995714285714286,0.0324675324675325,0.327957670120667
0.3,0.9,lof,0.646,0.23,0.0766666666666667,0.89,0.115,0.283221160843806
0.3,0.9,iforest,0.67,0.35,0.116666666666667,0.907142857142857,0.175,0.353054051038153
